UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
483328,97,103,103,89,14,27,0,76,0,0,89,22,0,67,0,0,14,5,0,9,0,0,1,2,13,23,0,59,2,0,0,94,1,2,13,23,0,59,2,0,0,94,,,,,,,,,,,0,0,100,0,0,100,,,
483337,208,281,281,193,88,39,0,242,0,0,193,28,0,165,0,0,88,11,0,77,0,0,1,1,21,6,0,69,2,0,0,96,1,1,21,6,0,69,2,0,0,96,,,,,,,,,,,0,0,100,0,0,100,,,
483346,49,137,137,137,0,45,0,92,0,0,137,45,0,92,0,0,0,0,0,0,0,0,1,10,19,19,0,32,7,10,1,80,1,10,19,19,0,32,7,10,1,80,,,,,,,,,,,0,0,100,0,0,100,,,
483355,238,259,259,259,0,41,0,218,0,0,259,41,0,218,0,0,0,0,0,0,0,0,0,1,66,2,0,27,4,0,0,95,0,1,66,2,0,27,4,0,0,95,,,,,,,,,,,0,0,100,0,0,100,,,
483364,195,218,218,218,0,57,0,161,0,0,218,57,0,161,0,0,0,0,0,0,0,0,0,1,69,2,0,25,3,0,0,95,0,1,69,2,0,25,3,0,0,95,,,,,,,,,,,0,0,100,0,0,100,,,
483373,193,263,263,240,23,40,90,133,0,0,240,40,90,110,0,0,23,0,0,23,0,0,2,6,0,84,0,5,0,2,0,95,2,6,0,84,0,5,0,2,0,95,,,,,,,,,,,2,51,48,2,51,48,,,
483382,296,480,480,480,0,292,0,188,0,0,480,292,0,188,0,0,0,0,0,0,0,0,1,3,17,40,0,36,0,4,0,1,1,3,17,40,0,36,0,4,0,1,,,,,,,,,,,0,0,100,0,0,100,,,
483425,68,72,72,72,0,24,0,48,0,0,72,24,0,48,0,0,0,0,0,0,0,0,3,1,17,4,0,68,6,1,0,99,3,1,17,4,0,68,6,1,0,99,,,,,,,,,,,0,0,100,0,0,100,,,
483470,113,147,147,147,0,117,0,30,0,0,147,117,0,30,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,88,0,0,0,100,0,0,0,0,0,88,,,,,,,,,,,0,0,100,0,0,100,,,
483504,403,947,947,947,0,520,41,386,0,0,947,520,41,386,0,0,0,0,0,0,0,0,1,0,61,8,1,14,5,10,0,65,1,0,61,8,1,14,5,10,0,65,,,,,,,,,,,0,100,0,0,100,0,,,
483513,56,60,60,60,0,42,0,18,0,0,60,42,0,18,0,0,0,0,0,0,0,0,0,0,35,50,0,8,7,0,0,35,0,0,35,50,0,8,7,0,0,35,,,,,,,,,,,0,0,100,0,0,100,,,
483559,84,120,120,85,35,69,0,51,0,0,85,49,0,36,0,0,35,20,0,15,0,0,0,1,22,16,0,61,0,1,0,90,0,1,22,16,0,61,0,1,0,90,,,,,,,,,,,0,0,100,0,0,100,,,
483577,71,113,113,52,61,17,0,96,0,0,52,11,0,41,0,0,61,6,0,55,0,0,0,7,12,4,0,66,8,3,0,93,0,7,12,4,0,66,8,3,0,93,,,,,,,,,,,0,0,100,0,0,100,,,
483595,7138,11028,6719,5852,5176,1031,1691,3997,0,4309,3000,482,659,1859,0,2852,3719,549,1032,2138,0,1457,0,0,0,80,0,2,0,16,1,75,0,0,0,78,0,3,0,17,2,76,0,0,0,84,0,0,0,15,1,73,81,1,17,79,1,20,85,2,13
