UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
163028,68,69,64,0,79,83,0,63,77,74,58,68,,0,,,,,,,,,,,,,,,,,67,,74,,68,
163046,79,77,81,50,66,66,,70,70,83,65,100,58,17,73,78,79,77,81,50,66,66,,70,70,83,65,100,58,17,69,69,78,78,83,83
163204,33,29,36,50,47,47,,29,48,30,28,30,33,35,10,17,20,21,19,100,25,25,,16,29,19,15,15,25,36,26,18,45,33,35,18
163268,70,66,76,,74,74,100,72,62,70,72,50,60,14,48,65,69,65,75,,72,72,100,71,62,69,72,50,60,14,68,67,64,63,72,72
163286,89,87,90,56,92,92,,85,84,89,89,87,81,8,77,87,89,87,90,56,92,92,,86,84,89,89,88,81,8,84,84,87,87,90,90
163295,72,66,74,,77,77,,67,79,65,65,70,79,,52,70,72,66,74,,77,77,,67,79,65,65,70,79,,66,66,65,65,77,77
163338,35,30,39,100,43,43,,34,25,38,33,38,43,35,17,30,35,30,39,100,43,43,,34,25,38,33,38,43,35,29,29,38,38,47,47
163347,44,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,37,,100,,100,
163408,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,50,,50,,,
163426,32,29,36,100,40,40,0,26,30,33,26,0,44,19,,,,,,,,,,,,,,,,,30,,44,,34,
163453,41,32,47,0,33,33,,41,33,43,42,31,71,20,19,35,41,32,47,0,33,33,,41,33,43,42,31,71,20,38,38,43,43,47,47
163462,65,64,67,100,75,75,75,57,62,70,50,67,67,28,62,65,65,64,67,100,75,75,75,57,62,70,50,67,67,28,57,57,67,67,70,70
163532,24,24,,,,,,,,24,,,0,6,18,21,24,24,,,,,,,,24,,,0,6,22,22,,,24,24
163541,61,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,65,,15,,,
163578,50,,50,,83,83,,33,54,62,47,50,100,40,43,49,50,,50,,83,83,,33,54,62,47,50,100,40,44,44,64,64,52,52
163657,18,18,19,0,43,44,0,16,20,17,13,15,32,14,,,,,,,,,,,,,,,,,18,,18,,19,
163815,75,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,83,,100,,0,
163851,68,62,73,55,65,64,100,62,56,71,50,79,57,22,51,65,68,62,73,55,65,64,100,62,56,71,50,79,57,22,58,58,64,64,74,74
163912,70,69,71,,80,78,100,42,58,76,56,67,50,23,60,68,70,69,71,,80,78,100,42,58,76,56,67,50,23,67,67,58,58,74,74
163976,71,65,79,,83,83,,0,71,75,77,,61,8,62,68,71,65,79,,83,83,,0,71,75,77,,61,8,78,78,63,63,74,74
164076,69,61,75,0,67,67,100,71,65,71,56,73,66,19,47,65,69,61,75,0,67,67,100,71,65,71,56,73,66,19,66,66,71,71,71,71
164155,93,93,94,67,96,96,88,84,91,94,94,91,86,,92,93,93,93,94,67,96,96,88,84,91,94,94,91,86,,,,,,93,93
164173,68,59,75,50,53,54,50,65,66,72,76,64,25,25,61,67,68,59,75,50,53,54,50,65,66,72,76,64,25,25,61,61,73,73,70,70
164216,65,58,70,0,33,25,100,50,50,71,,75,50,27,61,65,65,58,70,0,33,25,100,50,50,71,,75,50,27,53,53,72,72,69,69
164270,63,56,71,100,85,85,,55,48,66,73,47,,0,56,62,63,56,71,100,85,85,,55,48,66,73,47,,0,55,55,67,67,67,67
164313,27,24,31,,0,0,0,15,25,31,30,33,,27,,,,,,,,,,,,,,,,,23,,14,,36,
164368,67,62,77,,,,,,,,,58,69,,54,65,67,62,77,,,,,,,,,58,69,,0,0,100,100,68,68
164447,46,47,45,50,73,83,60,39,36,60,24,32,50,,36,45,46,47,45,50,73,83,60,39,36,60,24,32,50,,38,38,50,50,62,62
164465,94,91,97,100,93,93,,88,98,93,96,100,100,3,75,92,94,91,97,100,93,93,,88,98,93,96,100,100,3,92,92,88,88,96,96
164492,46,39,53,50,43,43,,37,41,49,50,70,,,36,44,46,39,53,50,43,43,,37,41,49,50,70,,,49,49,43,43,42,42
164535,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,50,,,,50,
164562,75,68,81,100,70,70,,58,64,77,85,73,83,,70,75,75,68,81,100,70,70,,58,64,77,85,73,83,,69,69,78,78,76,76
164580,93,91,95,100,97,97,100,89,96,92,82,86,95,,84,93,93,91,95,100,97,97,100,89,96,92,82,86,95,,89,89,93,93,94,94
164614,14,0,25,,,,,0,0,25,,,,29,0,14,14,0,25,,,,,0,0,25,,,,29,17,17,0,0,,
164632,44,,44,,20,20,,50,36,48,50,60,33,40,36,44,44,,44,,20,20,,50,36,48,50,60,33,40,42,42,45,45,50,50
164739,87,84,91,,83,83,,80,81,90,80,89,85,10,81,86,87,84,91,,83,83,,80,81,90,80,89,85,10,82,82,91,91,83,83
164748,67,65,71,,78,77,100,61,65,62,66,75,74,6,50,64,67,64,71,,81,80,100,60,65,62,65,80,74,6,61,62,65,65,69,69
164775,20,23,18,0,20,20,,18,21,21,25,0,,19,,,,,,,,,,,,,,,,,19,,21,,21,
164872,32,22,40,,50,50,,,33,14,,,50,16,5,16,32,22,40,,50,50,,,33,14,,,50,16,43,43,17,17,33,33
164924,91,90,92,0,88,88,100,83,91,93,86,87,88,7,86,90,91,90,92,0,88,88,100,83,91,93,86,87,88,7,88,88,94,94,90,90
164988,89,86,90,100,91,91,100,85,86,90,86,86,87,,75,81,89,86,90,100,91,91,100,85,86,90,86,86,87,,89,89,90,90,88,88
165015,86,85,87,100,87,87,100,80,83,88,100,83,82,8,77,84,86,85,87,100,87,87,100,80,83,88,100,83,82,8,82,82,89,89,86,86
165024,53,45,60,0,70,76,0,41,40,57,47,57,100,,32,48,53,45,60,0,70,76,0,41,40,57,47,57,100,,48,48,57,57,57,57
165033,22,20,25,,37,35,50,18,14,24,29,15,,7,,,,,,,,,,,,,,,,,1,,64,,41,
165060,33,0,50,,,,,,,33,,,,67,,,,,,,,,,,,,,,,,50,,,,0,
165112,13,14,12,0,14,14,,9,10,13,,14,31,7,,,,,,,,,,,,,,,,,10,,,,18,
165167,11,0,17,,,,,0,0,0,,,17,11,0,13,13,0,17,,,,,0,0,0,,,20,13,0,0,0,0,20,20
165194,22,22,23,,57,57,,21,18,22,21,29,,15,,,,,,,,,,,,,,,,,24,,8,,22,
165255,96,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,94,,,
165264,100,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,
165334,77,77,77,,75,75,,79,73,79,73,63,75,15,70,76,77,77,77,,75,75,,79,73,79,73,63,75,15,75,75,83,83,74,74
165529,51,41,58,0,44,47,0,30,51,55,42,55,55,34,44,51,51,41,58,0,44,47,0,30,51,55,42,55,55,34,39,39,58,58,59,59
165574,54,52,55,100,25,33,0,30,43,62,43,47,91,35,42,46,46,47,46,,25,33,0,25,41,55,38,40,50,34,46,41,53,46,66,55
165608,75,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,67,,100,,,
165635,75,75,83,,100,100,,81,61,75,88,,100,0,,,,,,,,,,,,,,,,,72,,87,,63,
165644,39,31,47,0,0,0,,9,44,54,40,,38,,29,39,39,31,47,0,0,0,,9,44,54,40,,38,,53,53,53,53,0,0
165662,77,76,78,100,70,70,100,88,77,78,76,81,73,,71,77,77,76,78,100,70,70,100,88,77,78,76,81,73,,70,70,80,80,77,77
165671,68,61,69,50,65,65,,57,58,72,58,85,45,,59,66,68,61,69,50,65,65,,57,58,72,58,85,45,,63,63,71,71,67,67
165699,76,68,80,100,82,82,,75,61,77,78,72,60,,72,75,75,67,80,100,82,82,,50,61,77,78,72,60,,69,68,76,76,77,77
165750,87,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,85,,100,,88,
165802,28,18,35,0,0,0,,31,29,42,0,25,40,46,16,22,25,18,30,,0,0,,44,29,45,0,16,30,45,27,25,27,20,30,25
165820,55,51,58,,46,46,,40,36,63,50,67,50,25,38,51,55,51,58,,46,46,,40,36,63,50,67,50,25,47,47,59,59,63,63
165866,48,41,53,100,52,52,,47,36,52,47,29,33,29,36,46,48,41,53,100,48,48,,47,36,52,48,29,33,28,40,41,56,56,52,51
165884,46,46,44,,50,50,,48,38,59,29,50,0,7,0,0,0,0,,,,,,,0,,,,,,43,0,67,,42,
165936,69,63,72,,81,81,,60,59,70,64,88,58,,61,67,69,63,72,,81,81,,60,59,70,64,88,58,,53,53,76,76,73,73
165981,31,24,36,,0,0,,33,40,30,0,33,,21,,,,,,,,,,,,,,,,,19,,0,,40,
166018,54,53,55,0,73,73,,38,65,55,50,50,53,,3,46,54,53,55,0,73,73,,38,65,55,50,50,53,,60,60,63,63,45,45
166027,98,97,99,100,98,98,100,94,97,98,98,100,97,0,56,94,98,97,99,100,98,98,100,94,97,98,98,100,97,0,95,95,100,100,98,98
166054,44,50,33,,0,0,,,100,60,,0,,56,44,44,44,50,33,,0,0,,,100,60,,0,,56,0,0,0,0,100,100
166124,87,86,89,0,81,81,100,94,86,88,86,85,77,6,85,87,87,86,89,0,81,81,100,94,86,88,86,85,77,6,90,90,87,87,87,87
166133,29,25,33,0,50,47,100,8,20,34,25,21,,18,,,,,,,,,,,,,,,,,24,,29,,35,
166391,59,50,63,,67,73,0,43,51,63,86,47,20,29,54,58,59,50,63,,67,73,0,43,51,63,86,47,20,29,56,56,65,65,53,53
166452,58,54,59,50,62,62,,36,57,59,55,,80,19,43,55,58,54,59,50,62,62,,36,57,59,55,,80,19,56,56,58,58,60,60
166489,78,50,100,,100,100,,,,67,,,80,,,,,,,,,,,,,,,,,,,,,,78,
166498,82,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,89,,75,,75,
166513,65,60,73,100,63,63,100,57,54,69,63,60,62,,44,61,65,60,73,100,63,62,100,57,54,69,63,60,62,,59,59,65,65,70,70
166629,83,81,85,67,82,82,67,71,75,87,76,82,79,10,75,82,83,82,85,67,83,83,67,71,75,87,76,82,79,10,74,74,87,88,84,84
166638,49,40,57,33,55,55,,46,44,54,44,53,41,27,33,45,49,40,57,33,55,55,,46,44,54,44,53,41,27,50,50,52,52,47,47
166647,17,15,19,100,13,13,,5,12,23,0,0,40,26,,,,,,,,,,,,,,,,,9,,25,,22,
166656,62,60,63,50,69,69,,52,45,62,62,79,62,24,53,59,61,57,62,100,72,72,,49,47,62,50,79,52,27,58,59,68,66,60,56
166674,69,69,69,0,64,64,,70,70,68,75,73,79,,48,65,69,69,69,0,64,64,,70,70,68,75,73,79,,69,69,67,67,70,70
166683,96,96,97,100,99,99,100,95,95,95,95,93,97,,83,95,96,96,97,100,99,99,100,95,95,95,95,93,97,,93,93,100,100,97,97
166692,74,74,75,67,73,73,,50,58,77,80,29,100,2,63,71,74,74,75,67,73,73,,50,58,77,80,29,100,2,44,44,29,29,85,85
166805,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,,,100,
166823,19,17,22,0,17,18,0,13,23,22,12,35,17,25,,,,,,,,,,,,,,,,,20,,19,,19,
166850,70,69,71,,54,54,,63,55,73,77,64,33,21,63,69,70,69,71,,54,54,,63,55,73,77,64,33,21,58,58,72,72,73,73
166887,23,21,26,0,24,24,,9,21,27,21,0,40,21,,,,,,,,,,,,,,,,,15,,25,,30,
166911,53,50,55,,67,67,,20,67,57,33,48,,,46,53,53,50,55,,67,67,,20,67,57,33,48,,,50,50,52,52,62,62
166939,84,,84,50,82,81,100,83,80,86,89,73,85,10,71,83,84,,84,50,82,81,100,83,80,86,89,73,85,10,85,85,86,86,84,84
166957,24,24,24,,13,13,,8,27,24,40,0,100,15,,,,,,,,,,,,,,,,,19,,25,,28,
167039,75,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,75,,,,,
167057,73,69,80,,83,83,,0,20,67,67,,86,,47,64,73,69,80,,83,83,,0,20,67,67,,86,,63,63,60,60,79,79
167260,63,58,71,0,20,20,,39,57,67,36,,69,8,61,63,63,58,71,0,20,20,,39,57,67,36,,69,8,52,52,61,61,81,81
167288,56,50,59,0,40,40,,43,37,63,36,64,0,,46,54,56,50,59,0,40,40,,43,37,63,36,64,0,,45,45,70,70,60,60
167297,90,93,80,,100,100,,100,100,87,100,,,0,,,,,,,,,,,,,,,,,100,,100,,71,
167312,18,18,18,33,24,24,,8,9,25,19,11,,17,,,,,,,,,,,,,,,,,18,,16,,17,
167358,91,90,91,100,94,94,100,88,88,91,89,90,88,4,0,89,91,90,91,100,94,94,100,88,88,91,89,90,88,4,90,90,92,92,90,90
167376,21,20,22,0,29,23,100,33,12,29,15,0,25,17,,,,,,,,,,,,,,,,,16,,16,,25,
167394,68,58,72,,50,50,,40,78,72,,43,100,24,60,65,68,58,72,,50,50,,40,78,72,,43,100,24,64,64,71,71,70,70
167525,15,11,19,0,22,22,,5,7,20,0,17,30,35,,,,,,,,,,,,,,,,,18,,25,,9,
167534,22,21,22,33,38,38,,15,13,25,15,26,67,20,,,,,,,,,,,,,,,,,21,,29,,21,
167598,72,71,73,,67,67,,56,78,76,40,74,,15,68,71,71,71,72,,67,67,,56,78,75,40,71,,15,71,71,68,68,80,77
167631,28,29,28,,50,50,,38,9,50,0,25,,0,,,,,,,,,,,,,,,,,29,,33,,17,
167729,50,43,53,0,61,59,100,48,42,53,40,50,42,,36,46,50,43,53,0,61,59,100,48,42,53,40,50,42,,47,47,53,53,53,53
167783,72,,72,,81,81,,64,78,70,78,57,88,23,65,71,72,,72,,81,81,,64,78,70,78,57,88,23,73,73,70,70,74,74
167792,68,76,64,100,64,60,100,77,100,62,38,75,90,22,,,,,,,,,,,,,,,,,73,,100,,56,
167835,89,100,89,,92,92,,86,88,90,89,79,90,7,70,88,89,100,89,,92,92,,86,88,90,89,79,90,7,89,89,93,93,88,88
167871,74,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,92,,100,,53,
167899,74,64,84,,69,69,,44,57,78,71,79,100,,70,72,74,64,84,,69,69,,44,57,78,71,79,100,,58,58,79,79,81,81
167905,32,38,25,0,30,30,,25,24,40,21,38,20,14,,,,,,,,,,,,,,,,,26,,64,,38,
167987,52,50,55,0,56,56,,48,39,57,47,57,60,29,38,49,52,50,55,0,56,56,,48,39,57,47,57,60,29,45,45,58,58,58,58
167996,76,76,76,50,57,57,,77,67,77,88,80,71,21,70,76,76,76,76,50,57,57,,77,67,77,88,80,71,21,68,68,79,79,77,77
168005,61,57,64,100,64,63,100,49,53,65,52,64,58,25,49,59,61,57,63,100,64,63,100,49,53,64,52,62,58,25,55,55,67,66,60,60
168032,81,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,67,,100,,100,
168148,94,94,93,100,97,97,100,87,90,95,91,94,89,5,83,92,94,94,93,100,97,97,100,87,90,95,91,98,89,4,93,93,94,94,93,94
168218,92,,92,,98,98,,88,89,90,87,50,94,0,78,90,92,,92,,98,98,,88,89,90,87,50,94,0,92,92,91,91,92,92
168227,68,66,78,,64,64,100,56,61,70,70,82,81,17,54,66,68,66,78,,64,64,100,56,61,70,70,82,81,17,60,60,72,72,70,70
168254,64,61,69,0,62,62,,39,44,70,46,43,42,24,57,63,64,61,69,0,62,62,,39,44,70,46,43,42,24,50,50,67,67,76,76
168263,54,47,60,75,50,50,,27,38,57,42,68,100,29,43,53,54,47,60,75,50,50,,27,38,57,42,68,100,29,43,43,61,61,60,60
168281,73,71,74,50,68,68,,72,60,75,64,67,78,,68,72,73,71,74,50,68,68,,72,60,75,64,67,78,,64,64,73,73,76,76
168342,94,91,96,0,97,97,,91,94,95,83,97,91,1,71,93,94,91,96,0,97,97,,91,94,95,83,97,91,1,93,93,94,94,94,94
168421,90,87,93,,93,92,100,78,85,91,81,93,88,,84,89,90,87,93,,93,92,100,78,85,91,81,93,88,,85,85,90,90,91,91
168430,61,55,65,100,57,57,,54,42,68,42,66,85,21,48,59,61,55,65,100,57,57,,54,42,68,42,66,85,21,54,54,65,65,66,66
168528,48,41,58,0,20,20,,25,48,55,32,33,81,33,37,45,45,37,55,0,20,20,,24,36,52,25,32,77,33,37,32,47,46,66,63
168546,62,58,65,50,83,83,,44,55,66,73,74,100,,49,60,62,58,65,50,83,83,,44,55,66,73,74,100,,52,52,67,67,71,71
168555,58,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,80,,67,,36,
168573,72,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,70,,82,,76,
168591,63,53,69,,67,67,,31,40,67,42,50,75,,57,62,63,53,69,,67,67,,31,40,67,42,50,75,,50,50,67,67,73,73
168607,52,58,44,50,100,100,,33,50,51,50,60,,6,100,100,100,100,,,,,,100,,,,,,,44,,60,,62,100
168740,72,68,74,,78,79,0,59,73,71,87,50,74,,53,69,72,68,74,,78,79,0,59,73,71,87,50,74,,59,59,86,86,74,74
168786,65,60,69,100,71,71,,55,70,66,67,61,73,27,47,64,65,60,68,100,57,57,,55,70,66,67,60,73,27,62,61,68,67,66,66
168847,36,34,37,67,50,50,,18,19,39,33,,,26,24,29,30,26,33,100,67,67,,8,10,33,26,,,31,31,24,50,36,38,37
168883,30,25,35,17,33,33,,22,13,33,18,0,,23,,,,,,,,,,,,,,,,,25,,16,,37,
168892,72,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,,,0,
169080,74,71,77,0,84,84,,52,50,77,62,63,74,16,64,72,74,71,77,0,84,84,,52,50,77,62,63,74,16,63,63,75,75,77,77
169187,50,,50,,,,,0,,67,,,,0,,,,,,,,,,,,,,,,,67,,,,0,
169248,59,52,63,38,62,59,100,40,57,63,45,64,58,,40,55,59,52,63,38,62,59,100,40,57,63,45,64,58,,48,48,62,62,68,68
169275,32,27,36,33,50,,50,20,35,33,38,31,,14,,,,,,,,,,,,,,,,,31,,24,,34,
169284,57,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,50,,83,,79,
169327,41,50,29,0,0,0,,0,,46,50,25,100,,35,38,38,44,30,0,0,0,,0,,40,,100,100,,25,23,47,40,83,100
169363,48,41,55,,100,,100,29,20,54,42,25,0,,33,46,49,42,57,,100,,100,30,20,54,45,50,0,,33,33,50,50,60,67
169442,71,71,70,0,90,90,,89,77,71,42,67,54,14,49,68,71,71,70,0,90,90,,89,77,71,42,67,54,14,70,70,71,71,71,71
169479,57,53,61,33,67,75,0,27,42,62,36,61,67,,39,53,55,51,61,0,57,67,0,25,37,60,37,61,67,,47,42,56,56,71,68
169503,87,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,85,,100,,80,
169521,27,26,27,50,29,29,,21,20,27,20,53,,22,,,,,,,,,,,,,,,,,24,,50,,29,
169576,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,100,,,
169655,64,65,53,57,70,68,100,45,69,69,67,63,100,2,,,,,,,,,,,,,,,,,61,,68,,69,
169716,67,65,69,50,88,88,,45,48,70,54,83,68,23,53,64,67,65,69,50,88,88,,45,48,70,54,83,68,23,61,61,68,68,72,72
169761,54,50,56,,0,0,,54,50,57,40,100,,0,,,,,,,,,,,,,,,,,58,,50,,17,
169798,46,42,50,60,56,56,,26,43,56,46,38,45,,24,41,46,42,50,60,56,56,,26,43,56,46,38,45,,36,36,50,50,56,56
169813,63,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,25,,,,75,
169910,47,46,47,38,52,61,0,22,33,52,32,71,64,8,33,51,56,48,63,100,63,83,0,23,33,60,32,100,67,10,34,37,51,58,62,64
169974,43,42,45,,,,,43,24,46,40,67,,19,,,,,,,,,,,,,,,,,40,,29,,49,
169983,71,68,79,100,77,77,,60,50,72,67,67,57,,18,63,71,68,79,100,77,77,,60,50,72,67,67,57,,69,69,72,72,71,71
169992,36,29,40,33,,,,0,25,38,25,,0,32,,,,,,,,,,,,,,,,,27,,33,,44,
170000,51,50,52,100,0,0,,17,11,59,60,25,100,,29,51,51,47,55,,0,0,,0,17,59,50,,100,,47,45,50,54,65,60
170037,62,56,65,,50,60,0,42,60,62,100,,92,,56,63,63,58,66,,50,60,0,35,67,63,100,,92,,57,58,57,59,70,68
170055,21,18,24,17,20,18,100,13,18,23,20,24,,20,,,,,,,,,,,,,,,,,19,,21,,23,
170082,67,61,70,45,59,58,75,48,58,70,55,33,55,14,45,62,67,61,70,45,59,58,75,48,58,70,55,33,55,14,57,57,68,68,72,72
170091,36,46,25,0,,,,20,100,35,100,,,24,32,32,32,38,25,0,,,,20,100,29,100,,,24,29,29,100,100,43,29
170240,17,17,18,0,8,8,,11,31,21,13,13,21,29,,,,,,,,,,,,,,,,,16,,19,,21,
170286,90,89,90,,,,,,,,,90,,4,76,89,90,89,90,,,,,,,,,90,,4,,,,,90,90
170301,80,76,82,,62,62,,88,67,82,75,100,79,,77,80,80,76,82,,62,62,,88,67,82,75,100,79,,74,74,79,79,83,83
170444,16,17,15,0,10,10,,8,23,17,18,21,67,33,33,33,33,50,0,,,,,,,50,,0,,,13,0,17,,22,50
170532,76,73,78,100,81,81,,63,63,81,64,80,76,,68,75,76,73,78,100,81,81,,63,63,81,64,80,76,,70,70,75,75,79,79
170541,28,24,32,33,38,38,,21,18,29,57,28,8,23,,,,,,,,,,,,,,,,,26,,19,,30,
170550,30,26,33,,25,25,,8,25,34,12,30,,9,,,,,,,,,,,,,,,,,37,,25,,26,
170587,34,40,29,,,,,,,36,0,,,16,,,,,,,,,,,,,,,,,49,,50,,21,
170611,75,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,75,,77,,71,
170620,22,15,27,33,20,33,0,12,10,26,14,23,,25,,,,,,,,,,,,,,,,,21,,25,,21,
170639,51,45,57,41,100,100,,30,88,50,50,0,79,27,31,46,50,44,55,42,100,100,,38,86,48,50,0,79,26,41,40,40,35,65,66
170657,25,21,29,25,26,26,,14,17,28,15,18,38,25,,,,,,,,,,,,,,,,,22,,35,,26,
170675,61,59,65,,50,50,,22,50,68,36,50,50,22,30,55,60,59,64,,50,50,,19,50,68,36,50,50,22,43,42,67,67,69,68
170736,93,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,93,,,,,
170790,18,15,20,0,15,15,0,14,7,20,19,16,,31,,,,,,,,,,,,,,,,,17,,32,,18,
170806,60,48,68,0,71,71,,44,47,64,50,40,75,28,41,57,60,47,68,0,71,71,,44,47,64,50,40,67,27,51,51,58,58,73,72
170967,44,38,51,,50,50,,35,29,49,0,25,57,,28,41,43,39,48,,50,50,,50,25,45,0,0,57,,58,74,59,59,12,3
170976,93,92,94,33,95,95,,83,93,94,92,95,91,,82,92,93,92,94,33,95,95,,83,93,94,92,95,91,,89,89,92,92,94,94
171012,88,86,100,,,,,88,,,,,,0,,,,,,,,,,,,,,,,,88,,,,,
171100,81,77,84,38,83,83,67,68,72,84,72,65,77,11,63,79,81,78,84,42,83,83,67,69,72,84,73,68,77,10,71,71,84,85,83,84
171128,68,65,77,43,78,78,,44,71,69,61,53,67,19,37,64,68,65,77,43,78,78,,44,71,69,61,53,67,19,55,54,67,67,74,74
171137,58,54,63,20,50,49,100,40,54,62,50,100,69,25,33,53,58,54,63,20,50,49,100,40,54,62,50,100,69,25,55,55,57,57,60,60
171146,40,36,44,75,50,45,100,26,26,43,45,0,30,,21,35,40,36,44,75,50,45,100,26,26,43,45,0,30,,34,34,34,34,51,51
171155,28,28,27,0,0,0,,6,20,32,12,0,0,27,,,,,,,,,,,,,,,,,29,,29,,26,
171225,34,31,37,,0,0,,13,50,34,22,41,,18,,,,,,,,,,,,,,,,,23,,25,,39,
171234,31,28,32,,100,100,,0,20,23,0,52,,22,,,,,,,,,,,,,,,,,24,,0,,42,
171304,28,25,33,,14,17,0,19,21,31,23,40,8,22,,,,,,,,,,,,,,,,,27,,25,,30,
171395,29,21,34,20,40,40,,0,17,31,0,0,,22,,,,,,,,,,,,,,,,,26,,40,,33,
171456,52,47,56,18,64,67,50,13,33,56,37,0,67,,35,51,53,45,59,18,69,73,50,13,33,56,42,0,67,,43,40,56,54,59,60
171483,25,23,27,0,27,30,0,0,25,26,22,9,100,21,35,53,53,50,100,,,,,,,56,,0,,12,21,40,23,33,31,67
171492,63,58,75,,50,50,,58,57,68,38,17,50,,50,61,63,58,75,,50,50,,58,57,68,38,17,50,,53,53,77,77,65,65
171535,21,22,19,100,19,17,50,11,8,23,11,30,25,25,,,,,,,,,,,,,,,,,16,,14,,25,
171571,58,53,61,38,61,61,50,28,48,63,40,63,57,26,35,52,58,53,61,38,61,61,50,28,48,63,40,63,57,26,46,46,50,50,68,68
171599,35,27,48,,100,100,,19,8,45,12,50,100,17,29,35,35,27,48,,100,100,,19,8,45,12,50,100,17,25,25,49,49,,
171775,70,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,14,,,,83,
171881,50,44,53,,,,,0,0,60,100,25,0,,41,45,45,38,50,,,,,0,0,57,100,0,0,,50,45,44,44,67,50
171988,61,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,60,,67,,50,
171997,54,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,55,,40,,60,
172015,66,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,63,,89,,0,
172033,67,67,,,,,,,,100,,0,,,33,67,67,67,,,,,,,,100,,0,,,0,0,100,100,,
172051,48,39,54,0,20,22,0,26,42,52,40,35,43,,19,41,48,39,54,0,20,22,0,26,42,52,40,35,43,,38,38,44,44,59,59
172200,18,14,23,0,17,17,,10,22,19,12,20,32,28,,,,,,,,,,,,,,,,,15,,27,,20,
172264,39,30,48,0,100,100,,15,19,50,36,0,44,34,22,36,39,30,49,0,100,100,,16,19,50,36,0,44,33,37,38,58,58,28,28
172291,34,28,38,27,67,67,,7,19,36,60,25,100,25,,,,,,,,,,,,,,,,,26,,11,,39,
172307,38,41,35,33,33,33,,10,35,47,25,29,,14,,,,,,,,,,,,,,,,,26,,60,,52,
172334,64,59,66,0,40,40,,47,40,68,57,50,,24,48,61,63,59,65,0,20,20,,47,40,68,57,50,,24,52,52,57,57,78,77
172422,38,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,7,,,,57,
172495,48,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,41,,,,57,
172617,33,32,34,0,38,40,0,18,33,36,26,44,31,21,,,,,,,,,,,,,,,,,30,,44,,34,
172635,22,24,20,0,,,,23,,18,0,40,,19,,,,,,,,,,,,,,,,,22,,0,,23,
172644,58,55,60,50,74,74,50,37,46,63,47,57,74,21,36,52,58,55,60,50,74,74,50,37,46,63,47,57,74,21,52,52,61,61,64,64
172671,27,24,29,0,50,50,,0,44,28,17,0,,29,,,,,,,,,,,,,,,,,25,,50,,28,
172680,84,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,92,,100,,50,
172699,58,52,63,45,65,64,100,42,48,61,43,68,69,27,32,51,58,52,63,45,65,64,100,42,48,61,43,68,69,27,47,47,60,60,63,63
172866,36,38,25,0,,,,0,50,36,100,33,,,36,36,36,38,0,,,,,0,67,43,,0,,,27,33,75,67,30,0
172918,60,62,56,0,0,0,0,0,24,63,50,50,,8,,,,,,,,,,,,,,,,,51,,63,,65,
172954,66,70,53,,67,67,,42,78,71,30,33,,12,,,,,,,,,,,,,,,,,66,,68,,67,
172963,30,25,35,25,42,42,,7,27,35,28,17,100,36,,,,,,,,,,,,,,,,,25,,29,,34,
173045,52,48,56,67,51,53,0,45,48,55,59,43,55,7,40,50,52,48,56,67,51,53,0,45,48,55,59,43,55,7,47,47,57,57,58,58
