agency,organization_name,organization_state,organization_city,organization_type,likely_higher_ed,match_method,disrupted_award_remaining
nih,Roswell Park Cancer Institute Corp,New York,Buffalo,Independent Hospitals,FALSE,unmatched,2760609.83
epa,Earth Island Institute Inc,California,Berkeley,,FALSE,unmatched,2757612.75
epa,"Mdc, Inc.",North Carolina,Durham,,FALSE,unmatched,2737452.69
samhsa,Iowa State Dept of Human Services,Iowa,Des Moines,Welfare Department,FALSE,unmatched,2698098.5599999996
nsf,Greater Washington Educational Telecommunications Association,Virginia,Arlington,Continuing Grant,FALSE,unmatched,2687140.73
nsf,Education Development Center,Massachusetts,Waltham,Continuing Grant,FALSE,unmatched,2644191.89
cdc,Nebraska Department of Health & Human Services,Nebraska,Lincoln,Planning & Administrative Organizations,FALSE,unmatched,2634026.87
epa,Friends of the Chicago River,Illinois,Chicago,,FALSE,unmatched,2607542.9
nih,Fred Hutchinson Cancer Center,Washington,Seattle,Other Domestic Non-Profits,FALSE,manual_include_unmatched,2531727.54
nsf,American Association of Physics Teachers,Maryland,College Park,Standard Grant,FALSE,unmatched,2514986.659751037
nih,Boston Children's Hospital,Massachusetts,Boston,Independent Hospitals,FALSE,unmatched,2514352.66
cdc,South Asia Field Epidemiology and Technology Network Incorporated,Tarlac,Quezon City,"Junior College, College & University",FALSE,unmatched,2480782.38
nih,Massachusetts General Hospital,Massachusetts,Boston,Independent Hospitals,FALSE,unmatched,2472454.4899999998
epa,"Big, Nfp",Illinois,Chicago,,FALSE,unmatched,2467892.04
nsf,Association of Public and Land-Grant Universities,District Of Columbia,Washington,Cooperative Agreement,FALSE,unmatched,2464699.38
nsf,Terc Inc,Massachusetts,Cambridge,Continuing Grant,FALSE,unmatched,2450956.93
cdc,Wabanaki Public Health & Wellness Npc,Maine,Bangor,Other Special Interest Organization,FALSE,unmatched,2394628.54
epa,West Anniston Foundation,Alabama,Anniston,,FALSE,unmatched,2391277.58
nsf,American Physical Society,Maryland,College Park,Cooperative Agreement,FALSE,unmatched,2315462.55
