agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,continuation_signal,proposal_flag
nih,1R01DK136632-01A1,ASST_NON_R01DK136632_7529,University of Cincinnati,Ohio,University of Cincinnati-Main Campus,Ohio,Cincinnati,Public,201885,840454.17,817125.21,1657579.38,2025-05-14,,https://www.usaspending.gov/award/ASST_NON_R01DK136632_7529,https://reporter.nih.gov/project-details/10877326,270190615,876254.09,1486558,2029-03-31,2026-03-05,TRUE,TRUE,TRUE,35799.919999999925,1.0425959216788703,514967.51,341421.05000000005,35799.919999999925,955655,0,481216,5,19,,unitid:201885,F,TRUE,TRUE
cdc,NH78TU000001,ASST_NON_NH78TU000001_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,767352.02,816647.98,1584000,2025-05-20,2029-09-29,https://www.usaspending.gov/award/ASST_NON_NH78TU000001_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NH78TU000001&arg_ProgOfficeCode=392,268893991,794207.15,1584000,2029-09-29,2025-12-19,TRUE,TRUE,TRUE,26855.130000000005,1.0349971451173088,673170.72,542020.21,131150.51,800000,800000,0,8,13,,unitid:166027,F,TRUE,TRUE
nih,3R35GM140846-04S1,ASST_NON_R35GM140846_7529,University of Tennessee Knoxville,Tennessee,The University of Tennessee-Knoxville,Tennessee,Knoxville,Public,221759,1100147.13,813235.87,1913383,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R35GM140846_7529,https://reporter.nih.gov/project-details/11068850,270346817,1181920.46,1913383,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,81773.33000000007,1.074329449007425,123327.73999999999,94389.18,28938.559999999998,374276,0,0,12,48,,unitid:221759,F,TRUE,TRUE
nih,3R37HD090153-08S1,ASST_NON_R37HD090153_7529,University of Connecticut Storrs,Connecticut,,,,,,4026468,784878,4811346,2025-05-05,,https://www.usaspending.gov/award/ASST_NON_R37HD090153_7529,https://reporter.nih.gov/project-details/11090036,270352476,2223707.89,5406810,2027-08-31,2025-09-05,TRUE,TRUE,TRUE,-1802760.1099999999,0.5522725848063365,719256.83,387570.8099999999,136752.01,595464,595464,0,15,42,,university of connecticut storrs|connecticut,F,TRUE,TRUE
nih,3R01DK139109-01S1,ASST_NON_R01DK139109_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,451034,782276,1233310,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01DK139109_7529,https://reporter.nih.gov/project-details/11100982,270190897,977883.93,1830013,2028-01-31,2026-02-20,TRUE,TRUE,TRUE,526849.93,2.168093602699575,535051.63,269066.37,168770.41000000003,596703,0,596703,6,20,,unitid:198419,F,TRUE,TRUE
nih,3R01ES033054-04S1,ASST_NON_R01ES033054_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,2520094,782161,3302255,2025-04-28,,https://www.usaspending.gov/award/ASST_NON_R01ES033054_7529,https://reporter.nih.gov/project-details/11077007,270196315,2907464.37,3302255,2027-04-30,2026-03-05,TRUE,TRUE,TRUE,387370.3700000001,1.153712667067181,565583.37,421245.11,87595.12,613421,0,0,12,48,,unitid:215062,F,TRUE,TRUE
nih,3R01AG072658-03S2,ASST_NON_R01AG072658_7529,University of Florida,Florida,University of Florida,Florida,Gainesville,Public,134130,1557907,780734,2338641,2025-05-13,,https://www.usaspending.gov/award/ASST_NON_R01AG072658_7529,https://reporter.nih.gov/project-details/11094235,270136660,2027225.12,2960663,2027-04-30,2025-06-20,TRUE,TRUE,TRUE,469318.1200000001,1.3012491246268232,543222.95,261949.04999999987,104123.85,622022,0,0,10,41,,unitid:134130,F,TRUE,TRUE
nih,3R01AR079184-04S1,ASST_NON_R01AR079184_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,2680687,766648,3447335,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01AR079184_7529,https://reporter.nih.gov/project-details/11057092,270153974,3236258.43,3493420,2026-03-31,2025-06-05,TRUE,TRUE,TRUE,555571.4300000002,1.2072496453334538,749536.72,359668.4600000001,129200.18,46085,0,0,11,48,,unitid:198419,F,TRUE,TRUE
nih,3R01MH128905-03S1,ASST_NON_R01MH128905_7529,Washington University,Missouri,Washington University in St Louis,Missouri,St. Louis,Private not-for-profit,179867,1823619,764688,2588307,2025-04-28,,https://www.usaspending.gov/award/ASST_NON_R01MH128905_7529,https://reporter.nih.gov/project-details/11076564,270244402,1681872.71,3234193,2027-02-28,2026-03-05,TRUE,TRUE,TRUE,-141746.29000000004,0.9222719822506784,394990.1,247708.47999999998,24475.32,645886,0,645886,11,39,,unitid:179867,F,TRUE,TRUE
nih,3R01DE032018-03S1,ASST_NON_R01DE032018_7529,University of Tx Md Anderson can Center,Texas,The University of Texas MD Anderson Cancer Center,Texas,Houston,Public,416801,2061835.3,763334.7,2825170,2025-06-11,,https://www.usaspending.gov/award/ASST_NON_R01DE032018_7529,https://reporter.nih.gov/project-details/11058555,270181831,2450468.77,2825170,2027-05-31,2025-06-20,TRUE,TRUE,TRUE,388633.47,1.1884890951280154,510538.64,317085.94000000006,136911.99000000002,678424,0,0,7,38,,unitid:416801,F,TRUE,TRUE
nih,3U24CA271037-03S1,ASST_NON_U24CA271037_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,2475269.72,758800.28,3234070,2025-06-15,,https://www.usaspending.gov/award/ASST_NON_U24CA271037_7529,https://reporter.nih.gov/project-details/10977536,271690180,2784414.03,3656494,2027-05-31,2025-09-05,TRUE,TRUE,TRUE,309144.3099999996,1.12489318133783,404151.93999999994,230804.5799999999,84482.31,422424,422424,0,8,44,,unitid:170976,F,TRUE,TRUE
nih,3R01DK130864-03S1,ASST_NON_R01DK130864_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,1038873.11,748766.89,1787640,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R01DK130864_7529,https://reporter.nih.gov/project-details/11018656,270189800,1564086.66,2411942,2026-05-31,2025-06-05,TRUE,TRUE,TRUE,525213.5499999999,1.5055608283094362,578709.1699999999,309920.86999999994,67107.87999999999,624302,0,0,8,45,,unitid:170976,F,TRUE,TRUE
nih,3R01DC004154-22S1,ASST_NON_R01DC004154_7529,Stanford University,California,Stanford University,California,Stanford,Private not-for-profit,243744,2495902,741600,3237502,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01DC004154_7529,https://reporter.nih.gov/project-details/11170339,270178172,2554356.97,7626516,2026-06-30,2025-06-20,TRUE,TRUE,TRUE,58454.970000000205,1.02342037868474,428810.63,220406.36000000004,114345.61999999998,621379,0,0,28,49,,unitid:243744,F,TRUE,TRUE
nih,3R01AG078609-02S1,ASST_NON_R01AG078609_7529,Thomas Jefferson University,Pennsylvania,Thomas Jefferson University,Pennsylvania,Philadelphia,Private not-for-profit,216366,1391745,740451,2132196,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG078609_7529,https://reporter.nih.gov/project-details/11082821,270137274,2069516.96,2963488,2028-01-31,2026-03-05,TRUE,TRUE,TRUE,677771.96,1.4869943560063086,677900.9,0,677900.9,831292,57466,773826,9,27,,unitid:216366,F,TRUE,TRUE
nih,3R01MD015920-03S1,ASST_NON_R01MD015920_7529,University of Florida,Florida,University of Florida,Florida,Gainesville,Public,134130,1482438,734981,2217419,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01MD015920_7529,https://reporter.nih.gov/project-details/11095080,270238399,1949817.2,2702779,2027-02-28,2026-03-20,TRUE,TRUE,TRUE,467379.19999999995,1.31527740114595,628365.3700000001,461166.26,59780.94,536899,0,485360,12,37,,unitid:134130,F,TRUE,TRUE
nih,3R01DC020279-03S1,ASST_NON_R01DC020279_7529,New York University,New York,New York University,New York,New York,Private not-for-profit,193900,1250303,734454,1984757,2025-05-22,,https://www.usaspending.gov/award/ASST_NON_R01DC020279_7529,https://reporter.nih.gov/project-details/11110028,270179933,1532955.28,2654488,2028-01-31,2026-02-20,TRUE,TRUE,TRUE,282652.28,1.2260670253530543,435661.55,315883.19,101760.39000000001,669731,0,669731,10,42,,unitid:193900,F,TRUE,TRUE
nih,3R01DC020186-03S1,ASST_NON_R01DC020186_7529,Vanderbilt University Medical Center,Tennessee,,,,,,1961190,734067,2695257,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01DC020186_7529,https://reporter.nih.gov/project-details/11178012,270179921,2264860.97,2695257,2027-06-30,2025-07-03,TRUE,TRUE,TRUE,303670.9700000002,1.1548401582712537,434593.30000000005,293560.56,86625.79,634155,0,0,6,37,,vanderbilt university medical center|tennessee,F,TRUE,TRUE
nih,3R35GM150681-02S1,ASST_NON_R35GM150681_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,484906,725967,1210873,2025-06-03,,https://www.usaspending.gov/award/ASST_NON_R35GM150681_7529,https://reporter.nih.gov/project-details/10991884,270347835,743883.58,1210873,2028-05-31,2025-06-20,TRUE,TRUE,TRUE,258977.57999999996,1.5340779037586665,290492.77,251092.27000000002,34825.91,376200,0,0,5,28,,unitid:215293,F,TRUE,TRUE
nih,3R01DK139021-01S1,ASST_NON_R01DK139021_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,559117,721616,1280733,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01DK139021_7529,https://reporter.nih.gov/project-details/11100594,270190879,1030247.71,1280733,2028-03-31,2025-05-05,TRUE,TRUE,TRUE,471130.70999999996,1.8426334917378653,532250.15,243565.71999999997,126408.51999999999,616008,0,0,4,19,,unitid:162928,F,TRUE,TRUE
nih,3R01AI169636-03S1,ASST_NON_R01AI169636_7529,Albert Einstein College of Medicine,New York,,,,,,2008488.42,713660.58,2722149,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R01AI169636_7529,https://reporter.nih.gov/project-details/11231762,270148452,2751001.2,3577090,2027-05-31,2025-09-24,TRUE,TRUE,TRUE,742512.7800000003,1.369687359213154,981502.8300000001,0,887522.0800000001,854941,854941,0,7,36,,albert einstein college of medicine|new york,F,TRUE,TRUE
nih,3R01DA057886-02S1,ASST_NON_R01DA057886_7529,University of Florida,Florida,University of Florida,Florida,Gainesville,Public,134130,728489,709754,1438243,2025-04-04,,https://www.usaspending.gov/award/ASST_NON_R01DA057886_7529,https://reporter.nih.gov/project-details/11075538,270176905,1119308.61,2102922,2028-07-31,2025-08-06,TRUE,TRUE,TRUE,390819.6100000001,1.5364797683973266,532340.12,241965.61999999997,101309.03,664679,664679,0,7,26,,unitid:134130,F,TRUE,TRUE
cdc,NU2GGH002503,ASST_NON_NU2GGH002503_075,Georgetown University,District Of Columbia,Georgetown University,District Of Columbia,Washington,Private not-for-profit,131496,14215179.73,706268.27,14921448,2025-03-24,2028-09-29,https://www.usaspending.gov/award/ASST_NON_NU2GGH002503_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU2GGH002503&arg_ProgOfficeCode=253,269017129,14215179.73,14921448,2028-09-29,2026-01-28,TRUE,TRUE,TRUE,0,1,1118677.77,802692.65,53551.72000000003,500000,250000,250000,52,53,,unitid:131496,F,TRUE,TRUE
nih,3R01AG080829-02S1,ASST_NON_R01AG080829_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,2392315,696720,3089035,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG080829_7529,https://reporter.nih.gov/project-details/11082723,270137502,3467398.21,5646724,2028-02-29,2025-09-24,TRUE,TRUE,TRUE,1075083.21,1.4493903227626797,1388719.14,757029.78,404928.97,2557689,2557689,0,7,32,,unitid:162928,F,TRUE,TRUE
nih,3R01HD110519-02S1,ASST_NON_R01HD110519_7529,North Carolina State University Raleigh,North Carolina,North Carolina State University at Raleigh,North Carolina,Raleigh,Public,199193,619736,681690,1301426,2025-05-05,,https://www.usaspending.gov/award/ASST_NON_R01HD110519_7529,https://reporter.nih.gov/project-details/11089871,270219153,1005475.3,1920465,2028-07-31,2025-07-21,TRUE,TRUE,TRUE,385739.30000000005,1.6224251939535546,418697.57000000007,202485.20000000004,183254.23,619039,619039,0,5,24,,unitid:199193,F,TRUE,TRUE
nih,3R01DE024748-08S1,ASST_NON_R01DE024748_7529,Icahn School of Medicine at Mount Sinai,New York,,,,,,1723298,680018,2403316,2025-04-15,,https://www.usaspending.gov/award/ASST_NON_R01DE024748_7529,https://reporter.nih.gov/project-details/11112595,270181302,1638822.55,4647851,2027-03-31,2025-06-05,TRUE,TRUE,TRUE,-84475.44999999995,0.9509803585914914,32179.18,0,7696.71,57105,0,0,17,46,,icahn school of medicine at mount sinai|new york,F,TRUE,TRUE
nih,1T32GM154636-01,ASST_NON_T32GM154636_7529,Texas State University,Texas,Texas State University,Texas,San Marcos,Public,228459,257699.48,669403.52,927103,2025-04-02,,https://www.usaspending.gov/award/ASST_NON_T32GM154636_7529,https://reporter.nih.gov/project-details/10936047,271486418,342248.52,927103,2029-07-31,2026-02-09,TRUE,TRUE,TRUE,84549.04000000001,1.328091620518598,280310.73,138942.83000000002,84549.04,611505,611505,0,2,13,,unitid:228459,F,TRUE,TRUE
nih,3R35GM139480-04S1,ASST_NON_R35GM139480_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,2718367,666754,3385121,2025-06-01,,https://www.usaspending.gov/award/ASST_NON_R35GM139480_7529,https://reporter.nih.gov/project-details/11081879,270346715,3073445.86,3385121,2026-06-30,2025-06-20,TRUE,TRUE,TRUE,355078.85999999987,1.1306221198241444,477171.32999999996,322886.77,99363.44999999995,646616,0,0,10,47,,unitid:198419,F,TRUE,TRUE
nih,1R01DK135999-01A1,ASST_NON_R01DK135999_7529,Icahn School of Medicine at Mount Sinai,New York,,,,,,431172.08,663735.92,1094908,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01DK135999_7529,https://reporter.nih.gov/project-details/10882549,270190537,434496.23,1094908,2029-03-31,2025-08-20,TRUE,TRUE,TRUE,3324.149999999965,1.0077095669088776,178870.14,70131.15000000002,3324.15,508736,508736,0,4,13,,icahn school of medicine at mount sinai|new york,F,TRUE,TRUE
nih,3R01HD104801-04S1,ASST_NON_R01HD104801_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,1460444,644680,2105124,2025-05-19,,https://www.usaspending.gov/award/ASST_NON_R01HD104801_7529,https://reporter.nih.gov/project-details/11032064,270218740,1540308.26,2157210,2027-01-31,2026-03-20,TRUE,TRUE,TRUE,79864.26000000001,1.0546849177373456,274590.76,116835.32999999999,27780.540000000008,52086,41280,0,16,48,,unitid:123961,F,TRUE,TRUE
nih,3R01CA259192-04S1,ASST_NON_R01CA259192_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,2236563,641977,2878540,2025-04-28,,https://www.usaspending.gov/award/ASST_NON_R01CA259192_7529,https://reporter.nih.gov/project-details/10977396,270167923,2358582.27,2928200,2027-02-28,2026-03-20,TRUE,TRUE,TRUE,122019.27000000002,1.0545565986739476,441777.0400000001,176232.31000000006,112939.74000000002,49660,49660,0,15,47,,unitid:139658,F,TRUE,TRUE
nih,3R35GM142395-04S1,ASST_NON_R35GM142395_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,1531414,641145,2172559,2025-06-02,,https://www.usaspending.gov/award/ASST_NON_R35GM142395_7529,https://reporter.nih.gov/project-details/11088518,270346922,1509496.31,2172559,2026-06-30,2025-06-20,TRUE,TRUE,TRUE,-21917.689999999944,0.9856879393815128,242681.66999999998,174770.01,35501.73999999999,412500,0,0,8,48,,unitid:123961,F,TRUE,TRUE
nih,3R01AI130110-08S1,ASST_NON_R01AI130110_7529,The Ohio State University,Ohio,The Ohio State University,Ohio,Columbus,Public,204796,1328806,617030,1945836,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI130110_7529,https://reporter.nih.gov/project-details/10923537,270145601,1828119.39,4267091,2027-01-31,2026-03-05,TRUE,TRUE,TRUE,499313.3899999999,1.3757609387675853,465047.06999999995,318641.19999999995,72031.46000000002,430396,0,430396,17,49,,unitid:204796,F,TRUE,TRUE
nih,3R01AR079189-04S1,ASST_NON_R01AR079189_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,2036258,614510,2650768,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01AR079189_7529,https://reporter.nih.gov/project-details/11058728,270153975,1996278.31,2768294,2027-03-31,2026-01-20,TRUE,TRUE,TRUE,-39979.689999999944,0.9803660980091914,230908.4,99598.64,53914.509999999995,117526,79396,0,13,48,,unitid:198419,F,TRUE,TRUE
nih,5K12HD103084-05,ASST_NON_K12HD103084_7529,Stanford University,California,Stanford University,California,Stanford,Private not-for-profit,243744,1102123.47,605445.87,1707569.34,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_K12HD103084_7529,https://reporter.nih.gov/project-details/10851015,268141872,1140027.16,1707569.34,2030-06-30,2025-09-24,TRUE,TRUE,TRUE,37903.689999999944,1.0343915096917407,127973.90999999999,25189.61,37903.69,340200,340200,0,8,48,,unitid:243744,F,TRUE,TRUE
nih,1R01MD019678-01,ASST_NON_R01MD019678_7529,University of Arizona,Arizona,University of Arizona,Arizona,Tucson,Public,104179,388911.51,602701.49,991613,2025-03-03,,https://www.usaspending.gov/award/ASST_NON_R01MD019678_7529,https://reporter.nih.gov/project-details/10941131,270238660,578406.29,991613,2029-02-28,2025-07-25,TRUE,TRUE,TRUE,189494.78000000003,1.4872439491441125,539000.15,186741.31,189494.77999999997,495294,495294,0,3,15,,unitid:104179,F,TRUE,TRUE
nih,3R01MH128377-03S1,ASST_NON_R01MH128377_7529,Boston University (Charles River Campus),Massachusetts,Boston University,Massachusetts,Boston,Private not-for-profit,164988,2051849,602622,2654471,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_R01MH128377_7529,https://reporter.nih.gov/project-details/11093048,270244365,2600067.34,3470417,2027-06-30,2025-07-25,TRUE,TRUE,TRUE,548218.3399999999,1.267182594820574,798969.83,427217.50999999995,113968.02999999997,815946,815946,0,10,37,,unitid:164988,F,TRUE,TRUE
nih,3R01MH130609-03S1,ASST_NON_R01MH130609_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,1768332,601658,2369990,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01MH130609_7529,https://reporter.nih.gov/project-details/11080079,270244576,2530447.89,3018134,2027-05-31,2025-05-20,TRUE,TRUE,TRUE,762115.8900000001,1.4309800931046885,874864.6700000002,653074.68,137683.6,648144,0,0,7,39,,unitid:130794,F,TRUE,TRUE
nih,3R01CA248216-04S1,ASST_NON_R01CA248216_7529,University of Tx Md Anderson can Center,Texas,The University of Texas MD Anderson Cancer Center,Texas,Houston,Public,416801,2155997.1,599018.9,2755016,2025-04-01,,https://www.usaspending.gov/award/ASST_NON_R01CA248216_7529,https://reporter.nih.gov/project-details/11062095,270167166,2079096.22,3426696,2026-07-31,2025-09-05,TRUE,TRUE,TRUE,-76900.88000000012,0.9643316403347666,0,0,0,671680,671680,0,7,44,,unitid:416801,F,TRUE,TRUE
nih,5R01ES035137-02,ASST_NON_R01ES035137_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,782347.43,592758.57,1375106,2025-06-16,,https://www.usaspending.gov/award/ASST_NON_R01ES035137_7529,https://reporter.nih.gov/project-details/10830936,270196472,821547.1,1375106,2028-01-31,2025-08-20,TRUE,TRUE,TRUE,39199.669999999925,1.050105194312455,286068.64,222360.55,39199.67000000001,424459,424459,0,5,29,,unitid:123961,F,TRUE,TRUE
nih,3R01DE031270-02S1,ASST_NON_R01DE031270_7529,Stanford University,California,Stanford University,California,Stanford,Private not-for-profit,243744,1649844,588283,2238127,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01DE031270_7529,https://reporter.nih.gov/project-details/11031753,270181783,2069544.71,2859426,2028-01-31,2026-02-06,TRUE,TRUE,TRUE,419700.70999999996,1.2543881179069052,566531.48,374110.14,102498.79999999999,691555,0,621299,10,32,,unitid:243744,F,TRUE,TRUE
nih,3R01CA254628-04S1,ASST_NON_R01CA254628_7529,University of Iowa,Iowa,University of Iowa,Iowa,Iowa City,Public,153658,2923143.07,584569.93,3507713,2025-05-26,,https://www.usaspending.gov/award/ASST_NON_R01CA254628_7529,https://reporter.nih.gov/project-details/10977371,270167573,3151012.64,3568895,2027-03-31,2026-01-20,TRUE,TRUE,TRUE,227869.5700000003,1.0779536151817573,578429.13,306272.06000000006,131402.81,61182,61182,0,15,61,,unitid:153658,F,TRUE,TRUE
nih,3R01AG071815-03S1,ASST_NON_R01AG071815_7529,Drexel University,Pennsylvania,Drexel University,Pennsylvania,Philadelphia,Private not-for-profit,212054,1813825,581904,2395729,2025-05-13,,https://www.usaspending.gov/award/ASST_NON_R01AG071815_7529,https://reporter.nih.gov/project-details/10994257,270136575,1882732.23,2571382.78,2027-03-31,2026-03-20,TRUE,TRUE,TRUE,68907.22999999998,1.0379900100616102,465011.81999999995,210980.69999999995,83454.54,451875,0,416856,11,37,,unitid:212054,F,TRUE,TRUE
nih,3R01HD081120-09S1,ASST_NON_R01HD081120_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,2167016,577592,2744608,2025-05-05,,https://www.usaspending.gov/award/ASST_NON_R01HD081120_7529,https://reporter.nih.gov/project-details/11078134,270217279,2476045.48,5940672,2026-08-31,2025-08-20,TRUE,TRUE,TRUE,309029.48,1.1426059982944288,472467.5100000001,299534.82000000007,134878.29,624252,624252,0,19,48,,unitid:139658,F,TRUE,TRUE
nih,3R35GM149329-02S1,ASST_NON_R35GM149329_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,1585106.92,571367.08,2156474,2025-06-02,,https://www.usaspending.gov/award/ASST_NON_R35GM149329_7529,https://reporter.nih.gov/project-details/11075692,270347725,1628705.81,2156474,2028-04-30,2025-06-20,TRUE,TRUE,TRUE,43598.89000000013,1.0275053306814155,545322.6,452971.53999999986,80589.82,619060,0,0,10,30,,unitid:162928,F,TRUE,TRUE
nih,3R01DA054094-04S1,ASST_NON_R01DA054094_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,1670527,563454,2233981,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_R01DA054094_7529,https://reporter.nih.gov/project-details/11134474,270176609,2219321.66,2767703,2026-07-31,2025-08-06,TRUE,TRUE,TRUE,548794.6600000001,1.3285158875013694,613761.3700000001,347129.3800000001,101871.80999999997,533722,533722,0,9,48,,unitid:170976,F,TRUE,TRUE
nih,3R01MD017961-03S1,ASST_NON_R01MD017961_7529,Indiana University Indianapolis,Indiana,Indiana University-Indianapolis,Indiana,Indianapolis,Public,151111,1318261,562651,1880912,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD017961_7529,https://reporter.nih.gov/project-details/10977165,270238533,1674526.22,2449130,2027-05-31,2025-07-25,TRUE,TRUE,TRUE,356265.22,1.270253933022368,490471.44000000006,205828.51000000007,108715.34000000001,568218,568218,0,8,36,,unitid:151111,F,TRUE,TRUE
nih,3R01MH125905-03S1,ASST_NON_R01MH125905_7529,University of Rochester,New York,University of Rochester,New York,Rochester,Private not-for-profit,195030,866134,562353,1428487,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01MH125905_7529,https://reporter.nih.gov/project-details/11010427,270244161,1356651.67,2278243,2027-01-31,2026-03-05,TRUE,TRUE,TRUE,490517.6699999999,1.5663300020551092,517593.02999999997,367990.48,51041.830000000016,409859,0,409859,13,33,,unitid:195030,F,TRUE,TRUE
nih,3R01DC019371-05S1,ASST_NON_R01DC019371_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,1531543,561231,2092774,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01DC019371_7529,https://reporter.nih.gov/project-details/10952653,270179837,1940166.68,2584350,2026-08-31,2025-12-19,TRUE,TRUE,TRUE,408623.67999999993,1.2668052284526128,502465.38,292837.24,106879.8,491576,491576,0,16,48,,unitid:170976,F,TRUE,TRUE
nih,3R01MD017619-03S1,ASST_NON_R01MD017619_7529,The Ohio State University,Ohio,The Ohio State University,Ohio,Columbus,Public,204796,1001987,557142,1559129,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD017619_7529,https://reporter.nih.gov/project-details/10974810,270238518,1363635.65,2088251,2027-03-31,2025-08-20,TRUE,TRUE,TRUE,361648.6499999999,1.360931479150927,486724.55,384345.98,39666.43000000001,529122,529122,0,7,25,,unitid:204796,F,TRUE,TRUE
nih,3U24OD036598-07S2,ASST_NON_U24OD036598_7529,Stanford University,California,Stanford University,California,Stanford,Private not-for-profit,243744,3145499,545846.89,3691345.89,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_U24OD036598_7529,https://reporter.nih.gov/project-details/11138290,271690875,4465868.96,7867462,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,1320369.96,1.4197648640168061,2023479.0399999998,1213605.9999999998,485432.17000000004,4789726,4789726,0,8,17,,unitid:243744,F,TRUE,TRUE
nih,3R01DC007176-19S1,ASST_NON_R01DC007176_7529,University of Louisville,Kentucky,University of Louisville,Kentucky,Louisville,Public,157289,1211544,529581,1741125,2025-05-22,,https://www.usaspending.gov/award/ASST_NON_R01DC007176_7529,https://reporter.nih.gov/project-details/11023230,270178518,1623437.48,7107106,2027-02-28,2026-03-05,TRUE,TRUE,TRUE,411893.48,1.3399740166267176,397607.09,235470.96999999997,81287.53000000003,455807,0,414370,33,49,,unitid:157289,F,TRUE,TRUE
nih,3R01AG075210-03S1,ASST_NON_R01AG075210_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,1055743.24,522999.76,1578743,2025-06-03,,https://www.usaspending.gov/award/ASST_NON_R01AG075210_7529,https://reporter.nih.gov/project-details/11094194,270136934,1292028.8,1578743,2027-05-31,2025-07-21,TRUE,TRUE,TRUE,236285.56000000006,1.2238096831195433,289832.12,178420.03000000003,79195.29999999999,323996,323996,0,8,39,,unitid:198419,F,TRUE,TRUE
nih,3R35GM140854-04S1,ASST_NON_R35GM140854_7529,University of Virginia,Virginia,University of Virginia-Main Campus,Virginia,Charlottesville,Public,234076,1970778,521043,2491821,2025-06-08,,https://www.usaspending.gov/award/ASST_NON_R35GM140854_7529,https://reporter.nih.gov/project-details/11103630,270346822,2098308.26,2491821,2026-06-30,2025-06-20,TRUE,TRUE,TRUE,127530.25999999978,1.0647106168223919,232902.89000000004,165820.34000000003,63025.79,398258,0,0,12,48,,unitid:234076,F,TRUE,TRUE
