agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,activity_signal,materially_higher,proposal_flag
nih,3R01MH127014-03S1,ASST_NON_R01MH127014_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,1520413.56,859105.44,2379519,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R01MH127014_7529,https://reporter.nih.gov/project-details/11020053,270244257,1892770.55,2379519,2025-07-31,2025-12-19,TRUE,TRUE,TRUE,372356.99,1.2449050704335995,429066.4200000001,182772.71,0,0,0,0,11,43,,unitid:215293,D,TRUE,TRUE,TRUE
nih,3R01DK127138-04S1,ASST_NON_R01DK127138_7529,Stanford University,California,Stanford University,California,Stanford,Private not-for-profit,243744,1822062,859005,2681067,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01DK127138_7529,https://reporter.nih.gov/project-details/10940310,270189417,2052494.33,2681067,2026-12-31,2026-03-05,TRUE,TRUE,TRUE,230432.33000000007,1.1264678863836686,459868.5900000001,257996.36000000016,48332.61999999998,0,0,0,13,48,,unitid:243744,D,TRUE,TRUE,TRUE
nih,3R01HD108198-05S1,ASST_NON_R01HD108198_7529,University of Missouri-Columbia,Missouri,University of Missouri-Columbia,Missouri,Columbia,Public,178396,2118793,853685,2972478,2025-05-30,,https://www.usaspending.gov/award/ASST_NON_R01HD108198_7529,https://reporter.nih.gov/project-details/11228560,270218974,2669803.27,3605891,2027-01-31,2026-01-20,TRUE,TRUE,TRUE,551010.27,1.260058566363019,587823.93,329153.88,257649.84999999998,633413,0,633413,16,38,,unitid:178396,D,TRUE,TRUE,TRUE
nih,3R01EY033477-03S1,ASST_NON_R01EY033477_7529,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,800702,850483,1651185,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R01EY033477_7529,https://reporter.nih.gov/project-details/11200040,270200050,1372991.25,2189213,2027-04-30,2025-07-21,TRUE,TRUE,TRUE,572289.25,1.7147343830788484,579946.04,531628.8200000001,48317.219999999994,538028,538028,0,7,38,,unitid:234030,D,TRUE,TRUE,TRUE
nih,3R01DC014832-08S1,ASST_NON_R01DC014832_7529,Baylor College of Medicine,Texas,,,,,,1322901,847788,2170689,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01DC014832_7529,https://reporter.nih.gov/project-details/10952614,270179325,1586325.62,6082662,2027-07-31,2026-02-06,TRUE,TRUE,TRUE,263424.6200000001,1.199126480363988,610739.41,213537.88999999998,324102.82,665280,665280,0,21,50,,baylor college of medicine|texas,D,TRUE,TRUE,TRUE
nih,3R01CA249506-04S1,ASST_NON_R01CA249506_7529,University of Florida,Florida,University of Florida,Florida,Gainesville,Public,134130,2328787.13,837469.24,3166256.37,2025-06-15,,https://www.usaspending.gov/award/ASST_NON_R01CA249506_7529,https://reporter.nih.gov/project-details/10977345,270167274,2705736.78,3320472,2027-02-28,2026-01-20,TRUE,TRUE,TRUE,376949.6499999999,1.161865223808584,424208.10000000003,249002.94000000003,100284.90999999999,0,0,0,22,46,,unitid:134130,D,TRUE,TRUE,TRUE
nih,3R01MD017526-03S1,ASST_NON_R01MD017526_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,1514026,829480,2343506,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD017526_7529,https://reporter.nih.gov/project-details/11017474,270238507,2064477.43,3041100,2027-03-31,2025-09-05,TRUE,TRUE,TRUE,550451.4299999999,1.3635680166654998,626209.6399999999,584526.82,0,697594,697594,0,17,65,,unitid:130794,D,TRUE,TRUE,TRUE
nih,3R01MH128928-04S1,ASST_NON_R01MH128928_7529,Boston College,Massachusetts,Boston College,Massachusetts,Chestnut Hill,Private not-for-profit,164924,2037298,827949,2865247,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01MH128928_7529,https://reporter.nih.gov/project-details/11218725,270244406,2463478.53,3583479,2026-12-31,2026-03-05,TRUE,TRUE,TRUE,426180.5299999998,1.209189097520343,426180.7299999999,397146.5099999999,29034.22,718232,0,718232,15,40,,unitid:164924,D,TRUE,TRUE,TRUE
nih,3R01MH129357-02S1,ASST_NON_R01MH129357_7529,University of Louisville,Kentucky,University of Louisville,Kentucky,Louisville,Public,157289,787785,818462,1606247,2025-04-24,,https://www.usaspending.gov/award/ASST_NON_R01MH129357_7529,https://reporter.nih.gov/project-details/11174954,270244448,1468459.51,2334451,2028-08-31,2025-09-24,TRUE,TRUE,TRUE,680674.51,1.864035885425592,784467.3,397786.2800000001,115259.62,728204,728204,0,7,21,,unitid:157289,D,TRUE,TRUE,TRUE
nih,1R01DK136632-01A1,ASST_NON_R01DK136632_7529,University of Cincinnati,Ohio,University of Cincinnati-Main Campus,Ohio,Cincinnati,Public,201885,840454.17,817125.21,1657579.38,2025-05-14,,https://www.usaspending.gov/award/ASST_NON_R01DK136632_7529,https://reporter.nih.gov/project-details/10877326,270190615,876254.09,1486558,2029-03-31,2026-03-05,TRUE,TRUE,TRUE,35799.919999999925,1.0425959216788703,514967.51,341421.05000000005,35799.919999999925,955655,0,481216,5,19,,unitid:201885,D,TRUE,TRUE,TRUE
cdc,NH78TU000001,ASST_NON_NH78TU000001_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,767352.02,816647.98,1584000,2025-05-20,2029-09-29,https://www.usaspending.gov/award/ASST_NON_NH78TU000001_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NH78TU000001&arg_ProgOfficeCode=392,268893991,794207.15,1584000,2029-09-29,2025-12-19,TRUE,TRUE,TRUE,26855.130000000005,1.0349971451173088,673170.72,542020.21,131150.51,800000,800000,0,8,13,,unitid:166027,D,TRUE,TRUE,TRUE
nih,3R35GM140846-04S1,ASST_NON_R35GM140846_7529,University of Tennessee Knoxville,Tennessee,The University of Tennessee-Knoxville,Tennessee,Knoxville,Public,221759,1100147.13,813235.87,1913383,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R35GM140846_7529,https://reporter.nih.gov/project-details/11068850,270346817,1181920.46,1913383,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,81773.33000000007,1.074329449007425,123327.73999999999,94389.18,28938.559999999998,374276,0,0,12,48,,unitid:221759,D,TRUE,TRUE,TRUE
nih,3R01DK139109-01S1,ASST_NON_R01DK139109_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,451034,782276,1233310,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_R01DK139109_7529,https://reporter.nih.gov/project-details/11100982,270190897,977883.93,1830013,2028-01-31,2026-02-20,TRUE,TRUE,TRUE,526849.93,2.168093602699575,535051.63,269066.37,168770.41000000003,596703,0,596703,6,20,,unitid:198419,D,TRUE,TRUE,TRUE
nih,3R01ES033054-04S1,ASST_NON_R01ES033054_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,2520094,782161,3302255,2025-04-28,,https://www.usaspending.gov/award/ASST_NON_R01ES033054_7529,https://reporter.nih.gov/project-details/11077007,270196315,2907464.37,3302255,2027-04-30,2026-03-05,TRUE,TRUE,TRUE,387370.3700000001,1.153712667067181,565583.37,421245.11,87595.12,613421,0,0,12,48,,unitid:215062,D,TRUE,TRUE,TRUE
nih,3R01AG072658-03S2,ASST_NON_R01AG072658_7529,University of Florida,Florida,University of Florida,Florida,Gainesville,Public,134130,1557907,780734,2338641,2025-05-13,,https://www.usaspending.gov/award/ASST_NON_R01AG072658_7529,https://reporter.nih.gov/project-details/11094235,270136660,2027225.12,2960663,2027-04-30,2025-06-20,TRUE,TRUE,TRUE,469318.1200000001,1.3012491246268232,543222.95,261949.04999999987,104123.85,622022,0,0,10,41,,unitid:134130,D,TRUE,TRUE,TRUE
