agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key
nsf,2122673,ASST_NON_2122673_4900,Portland State University,Oregon,Portland State University,Oregon,Portland,Public,209807,789276.94,210691.06,999968,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2122673_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2122673,235217090,789276.94,999968,2025-04-18,2025-05-05,FALSE,FALSE,FALSE,0,1,55439.270000000004,55439.270000000004,0,0,0,0,2,42,,unitid:209807
nih,3R01EY026662-09S1,ASST_NON_R01EY026662_7529,University of North Texas Health Sciences Center,Texas,University of North Texas Health Science Center,Texas,Fort Worth,Public,228909,1335400,209131,1544531,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R01EY026662_7529,https://reporter.nih.gov/project-details/11094261,270199172,1496791.39,3784926,2026-07-31,2025-08-20,TRUE,TRUE,TRUE,161391.3899999999,1.1208562153661823,391786.88,227557.52000000002,99371.2,372295,372295,0,22,49,,unitid:228909
nih,3R01MD016401-04S1,ASST_NON_R01MD016401_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,2676352,208053,2884405,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD016401_7529,https://reporter.nih.gov/project-details/10939415,270238434,3086855.29,3524489,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,410503.29000000004,1.15338165159142,475222.45000000007,223146.41,89627.33000000002,640084,640084,0,10,48,,unitid:198419
nsf,2325476,ASST_NON_2325476_4900,University of New Mexico,New Mexico,University of New Mexico-Main Campus,New Mexico,Albuquerque,Public,187985,91970.42,208029.58,300000,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2325476_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2325476,235880574,91970.42,300000,2025-04-18,2025-06-03,FALSE,FALSE,FALSE,0,1,2067.8600000000006,0,0,0,0,0,2,20,,unitid:187985
nsf,2306658,ASST_NON_2306658_4900,North Carolina Central University,North Carolina,North Carolina Central University,North Carolina,Durham,Public,199157,142236.62,206875.38,349112,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2306658_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2306658,235802544,142236.62,349112,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,2,14,,unitid:199157
nih,3R01NR020154-04S1,ASST_NON_R01NR020154_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,1446967.54,205553.46,1652521,2025-03-12,,https://www.usaspending.gov/award/ASST_NON_R01NR020154_7529,https://reporter.nih.gov/project-details/11012081,270247168,1841713.12,2043771,2026-05-31,2025-09-24,TRUE,TRUE,TRUE,394745.5800000001,1.2728088703358198,481920.32,357952.05000000005,121355.53,391250,391250,0,7,47,,unitid:139658
nih,5R25LM014208-04,ASST_NON_R25LM014208_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,450529.65,203328.35,653858,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R25LM014208_7529,https://reporter.nih.gov/project-details/11178522,270335639,479442.57,653858,2027-08-31,2025-09-24,TRUE,TRUE,TRUE,28912.919999999984,1.0641753988888412,143762.11,79511.48999999999,28912.92,134323,134323,0,6,37,,unitid:215293
nsf,2426971,ASST_NON_2426971_4900,New York University,New York,New York University,New York,New York,Private not-for-profit,193900,37883.4,203094.6,240978,2025-04-25,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2426971_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2426971,236138803,37883.4,240978,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,16240.080000000002,5547.850000000002,0,0,0,0,2,9,,unitid:193900
nih,5R01DE030445-04,ASST_NON_R01DE030445_7529,University of California Los Angeles,California,University of California-Los Angeles,California,Los Angeles,Public,110662,1303118.98,202901.09,1506020.07,2025-08-04,,https://www.usaspending.gov/award/ASST_NON_R01DE030445_7529,https://reporter.nih.gov/project-details/10823308,270181728,1303118.98,1506020.07,2025-04-30,2026-01-20,FALSE,FALSE,FALSE,0,1,324.9300000000003,324.9300000000003,0,0,0,0,9,38,,unitid:110662
nsf,2334964,ASST_NON_2334964_4900,Allegheny College,Pennsylvania,Allegheny College,Pennsylvania,Meadville,Private not-for-profit,210669,245837.44,202737.56,448575,2025-04-26,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2334964_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2334964,235902843,245837.44,448575,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,88357.08000000002,67919.14000000001,0,0,0,0,3,14,,unitid:210669
