agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,activity_signal,materially_higher,proposal_flag
nih,3R01MD015729-04S1,ASST_NON_R01MD015729_7529,Boston College,Massachusetts,Boston College,Massachusetts,Chestnut Hill,Private not-for-profit,164924,1655847,1730923,3386770,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD015729_7529,https://reporter.nih.gov/project-details/10854270,270238390,2210767.39,3386770,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,554920.3900000001,1.3351278167608482,672209.6300000001,468879.0400000001,86041.78999999998,844037,0,0,10,48,,unitid:164924,C_medium,TRUE,TRUE,TRUE
nih,3DP1MH132709-03S1,ASST_NON_DP1MH132709_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,3217024,1395140,4612164,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_DP1MH132709_7529,https://reporter.nih.gov/project-details/11085649,260415853,4132483.43,4612164,2027-05-31,2025-05-05,TRUE,TRUE,TRUE,915459.4300000002,1.2845671745066247,986941.95,474856.67999999993,256108.99000000002,1127000,0,0,9,48,,unitid:198419,C_medium,TRUE,TRUE,TRUE
nih,3R01AG058066-04S1,ASST_NON_R01AG058066_7529,Case Western Reserve University,Ohio,Case Western Reserve University,Ohio,Cleveland,Private not-for-profit,201645,3497825,1337631,4835456,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG058066_7529,https://reporter.nih.gov/project-details/11081365,270135176,4889049.8,6389146.1,2027-05-31,2025-07-21,TRUE,TRUE,TRUE,1391224.7999999998,1.39773996697948,1566015.7999999998,779558.8999999999,447676.98999999993,1545583,1545583,0,7,38,,unitid:201645,C_medium,TRUE,TRUE,TRUE
nih,3U01DA055357-03S1,ASST_NON_U01DA055357_7529,Virginia Polytechnic Institute and State University,Virginia,Virginia Polytechnic Institute and State University,Virginia,Blacksburg,Public,233921,3632642,1335854,4968496,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_U01DA055357_7529,https://reporter.nih.gov/project-details/11037481,271675709,4759267.66,6605848,2026-06-30,2025-11-26,TRUE,TRUE,TRUE,1126625.6600000001,1.3101394687392813,1391806.9,1183285.54,0,1637352,1637352,0,19,95,,unitid:233921,C_medium,TRUE,TRUE,TRUE
nih,3U01MD019540-02S1,ASST_NON_U01MD019540_7529,University of Texas at Arlington,Texas,The University of Texas at Arlington,Texas,Arlington,Public,228769,504549,1210595,1715144,2025-03-31,,https://www.usaspending.gov/award/ASST_NON_U01MD019540_7529,https://reporter.nih.gov/project-details/11102627,271679925,982551.96,2473473,2028-05-31,2026-02-09,TRUE,TRUE,TRUE,478002.95999999996,1.9473865967428337,537292.3200000001,183540.15000000002,193464.67,758329,758329,0,9,24,,unitid:228769,C_medium,TRUE,TRUE,TRUE
nih,3P01AI125180-08S1,ASST_NON_P01AI125180_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,7048040,1161150,8209190,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_P01AI125180_7529,https://reporter.nih.gov/project-details/11106607,269406681,11683272.46,22833512.99,2027-04-30,2025-06-05,TRUE,TRUE,TRUE,4635232.460000001,1.6576626210974967,3125363.4400000004,1915483.8400000003,801539.59,2684918,0,0,19,73,,unitid:139658,C_medium,TRUE,TRUE,TRUE
nih,3R01NS123051-03S1,ASST_NON_R01NS123051_7529,University of Oklahoma,Oklahoma,University of Oklahoma-Norman Campus,Oklahoma,Norman,Public,207500,1506567,1150230,2656797,2025-04-24,,https://www.usaspending.gov/award/ASST_NON_R01NS123051_7529,https://reporter.nih.gov/project-details/10991761,270254843,2094803.18,2656797,2027-02-28,2025-12-19,TRUE,TRUE,TRUE,588236.1799999999,1.3904480716755379,734588.53,581723.9600000001,119379.3,579123,0,0,13,42,,unitid:207500,C_medium,TRUE,TRUE,TRUE
nih,3DP2MH136495-01S1,ASST_NON_DP2MH136495_7529,University of Louisville,Kentucky,University of Louisville,Kentucky,Louisville,Public,157289,581658,1097095,1678753,2025-04-30,,https://www.usaspending.gov/award/ASST_NON_DP2MH136495_7529,https://reporter.nih.gov/project-details/11025321,260416765,933709.5,1678753,2026-08-31,2025-09-05,TRUE,TRUE,TRUE,352051.5,1.605255149933466,378493,223281.77999999997,71790.72,0,0,0,6,20,,unitid:157289,C_medium,TRUE,TRUE,TRUE
nih,3R01MH126083-04S1,ASST_NON_R01MH126083_7529,Emory University,Georgia,Emory University,Georgia,Atlanta,Private not-for-profit,139658,1991231,1071364,3062595,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_R01MH126083_7529,https://reporter.nih.gov/project-details/11218705,270244185,2522015.96,3906474,2026-12-31,2026-03-05,TRUE,TRUE,TRUE,530784.96,1.266561217658825,741745.3999999999,461273.61,190996.17,843879,113064,730815,13,43,,unitid:139658,C_medium,TRUE,TRUE,TRUE
nih,3R01DA059234-02S1,ASST_NON_R01DA059234_7529,University of Colorado,Colorado,University of Colorado Boulder,Colorado,Boulder,Public,126614,502434,1064278,1566712,2025-04-04,,https://www.usaspending.gov/award/ASST_NON_R01DA059234_7529,https://reporter.nih.gov/project-details/11089903,270177024,894048.69,2376018,2028-07-31,2025-07-21,TRUE,TRUE,TRUE,391614.68999999994,1.7794350899819678,428788.56,228080.56,76438.05,809306,98952,0,8,21,,unitid:126614,C_medium,TRUE,TRUE,TRUE
nih,3R01AI165560-04S1,ASST_NON_R01AI165560_7529,University of South Carolina,South Carolina,University of South Carolina-Columbia,South Carolina,Columbia,Public,218663,2137358,1059594,3196952,2025-04-18,,https://www.usaspending.gov/award/ASST_NON_R01AI165560_7529,https://reporter.nih.gov/project-details/11091679,270148170,2694251.78,3914766,2026-08-31,2025-09-05,TRUE,TRUE,TRUE,556893.7799999998,1.2605524109671846,580902.24,359888.68,81643.94,717814,717814,0,8,47,,unitid:218663,C_medium,TRUE,TRUE,TRUE
nih,3R01MD017588-03S1,ASST_NON_R01MD017588_7529,University of Miami Coral Gables,Florida,,,,,,1071773,1022463,2094236,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R01MD017588_7529,https://reporter.nih.gov/project-details/11207198,270238514,1676046.95,2749092,2027-12-31,2026-03-05,TRUE,TRUE,TRUE,604273.95,1.5638077745940604,691008.98,301626.8399999999,176410.64,654856,60552,594304,11,29,,university of miami coral gables|florida,C_medium,TRUE,TRUE,TRUE
nih,3R01DE031299-02S1,ASST_NON_R01DE031299_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,1177498,980270,2157768,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01DE031299_7529,https://reporter.nih.gov/project-details/10988924,270181791,1806207.69,2787801,2027-12-31,2026-02-20,TRUE,TRUE,TRUE,628709.69,1.533936949362122,706604.3200000001,327076.89,238943.47000000003,700037,0,630033,8,32,,unitid:215293,C_medium,TRUE,TRUE,TRUE
nih,3R01AG080470-02S1,ASST_NON_R01AG080470_7529,University of Texas at Austin,Texas,The University of Texas at Austin,Texas,Austin,Public,228778,1068677,948996,2017673,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG080470_7529,https://reporter.nih.gov/project-details/11082935,270137456,1589807.63,2751152,2027-11-30,2026-03-05,TRUE,TRUE,TRUE,521130.6299999999,1.4876409148882215,521579.52,459326.26999999996,29504.47,904769,225694,679075,18,30,,unitid:228778,C_medium,TRUE,TRUE,TRUE
