unitid,GRRTTOT,GRRTM,GRRTW,GRRTWH,GRRTBK,GRRTHS,GRRTAP,GRRTAS,GRRTNH,GRRTAN,GRRTUN,GRRTNR,GRRT2M,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTWH,GBA6RTBK,GBA6RTHS,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTAN,GBA6RTUN,GBA6RTNR,GBA6RT2M,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
150136,63,61,65,65,54,57,63,65,33,100,56,56,65,23,51,61,63,60,64,64,53,56,63,65,33,100,56,56,64,23,55,54,63,62,71,71
150145,57,51,62,64,20,32,0,0,,,100,50,71,26,51,56,57,51,61,63,20,35,0,0,,,0,50,71,25,45,43,69,68,66,67
150163,80,80,80,81,67,81,84,84,,50,80,57,72,15,72,78,79,79,79,80,66,81,81,81,,50,75,57,70,16,71,69,78,75,83,83
150172,30,24,35,43,33,7,0,0,,,,100,0,,21,30,31,26,36,43,35,7,0,0,,,,100,0,,24,24,25,25,41,42
150251,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,0,,0,
150303,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,67,,100,
150400,80,75,85,83,77,72,78,78,,50,90,78,58,,73,78,80,75,85,83,77,72,78,78,,50,90,78,58,,73,73,86,86,81,81
150428,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,83,,100,
150455,68,58,77,66,63,80,77,77,,,83,83,35,,61,66,68,58,77,66,63,80,77,77,,,83,83,35,,64,64,58,58,77,77
150534,71,67,74,73,35,64,92,92,,0,71,78,67,19,60,69,71,67,74,72,35,64,92,92,,0,67,78,67,20,63,63,71,71,75,75
150604,63,58,68,67,43,50,0,0,,100,100,,27,25,61,63,63,58,68,67,43,50,0,0,,100,100,,27,25,53,53,60,60,79,79
150668,60,54,65,71,38,50,50,40,100,0,50,75,50,,48,59,60,54,65,71,38,50,50,40,100,0,50,75,50,,45,45,67,67,75,75
150677,70,68,71,74,63,44,0,0,,,100,25,55,,68,70,70,68,71,73,63,44,0,0,,,100,25,55,,64,63,74,74,74,74
150756,64,57,70,68,50,50,71,60,100,100,52,56,57,,59,63,64,57,70,68,50,50,71,60,100,100,52,56,57,,57,57,54,54,75,75
150765,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,77,,13,
150774,29,28,31,28,60,46,0,0,,100,8,33,22,65,24,26,27,26,28,25,60,38,0,0,,100,8,33,22,65,35,35,27,27,28,22
150853,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,100,,67,
150941,68,68,68,70,33,57,0,0,,,,88,75,15,61,68,68,68,68,70,33,57,0,0,,,,88,75,15,51,51,74,74,84,84
150987,37,39,35,39,24,30,47,46,67,15,35,,32,10,,,,,,,,,,,,,,,,,32,,36,,41,
151102,32,35,31,35,18,26,40,40,0,0,,41,27,,21,29,32,34,31,34,18,27,37,38,0,0,,41,26,,27,27,32,31,39,39
151111,54,50,57,55,46,47,74,74,50,50,40,69,42,22,39,51,54,50,57,55,46,47,75,75,50,50,44,69,41,22,48,48,54,53,59,59
151263,56,53,58,60,40,42,55,58,0,0,54,58,53,28,45,54,56,52,58,60,40,43,55,58,0,0,52,56,53,27,49,48,56,57,66,66
151290,31,36,27,45,12,27,100,100,,0,36,73,41,2,21,32,35,39,31,46,13,30,100,100,,,50,73,42,2,22,25,43,43,53,57
151306,52,50,53,54,29,48,52,52,,0,67,79,38,28,38,49,52,50,53,53,28,48,52,52,,0,67,79,38,28,42,42,56,56,59,59
151324,41,37,44,50,23,33,58,61,0,50,18,53,30,,30,39,41,37,44,50,23,33,58,61,0,50,18,53,30,,30,30,75,75,54,54
151333,45,38,49,46,39,33,63,71,0,100,25,57,33,24,31,41,44,38,48,45,39,31,63,71,0,100,25,57,33,24,40,40,56,56,45,44
151342,36,31,39,38,18,33,58,58,,33,60,36,39,25,20,32,36,31,39,38,17,34,58,58,,33,75,40,39,25,32,32,36,36,42,42
151351,81,78,84,82,68,78,84,84,100,100,81,81,76,10,71,80,81,78,84,82,68,78,84,84,100,100,81,81,76,10,73,73,78,78,84,84
151360,37,38,36,45,15,31,66,66,,50,0,33,11,27,22,33,36,38,35,44,15,31,68,68,,50,0,33,6,27,29,28,50,49,42,42
151379,33,30,35,38,9,27,29,29,,,25,0,23,26,26,31,33,30,35,37,9,27,29,29,,,25,0,23,26,28,28,28,28,42,42
151388,45,40,49,47,33,60,0,0,,0,,0,21,24,33,43,45,40,49,47,33,60,0,0,,0,,0,21,24,38,38,47,47,54,54
151467,69,59,74,85,0,42,71,83,0,,0,,80,,,,,,,,,,,,,,,,,,66,,80,,70,
151564,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
151607,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,
151661,53,53,55,58,35,60,90,90,,50,56,0,34,,,,,,,,,,,,,,,,,,46,,70,,62,
151777,45,41,48,54,20,24,17,17,,,32,50,36,,37,44,45,41,48,54,20,24,17,17,,,32,50,36,,37,37,50,50,58,58
151786,61,54,67,64,36,50,64,70,0,,71,100,54,28,43,58,61,54,67,64,36,50,64,70,0,,71,100,54,28,57,57,51,51,72,72
151801,66,58,72,69,32,56,88,86,100,0,82,67,54,,58,65,66,57,71,68,32,53,88,86,100,0,82,67,54,,56,55,66,65,74,74
151810,33,25,43,50,33,,,,,,,0,,,27,33,33,25,43,50,33,,,,,,,0,,,29,29,100,100,,
151962,56,50,59,48,86,100,,,,,54,,,,,,,,,,,,,,,,,,,,61,,64,,36,
152044,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
152080,97,97,97,97,92,97,96,96,100,100,100,97,96,,93,97,97,97,97,97,92,97,96,96,100,100,100,97,96,,95,95,97,97,97,97
152099,70,72,69,76,43,60,50,50,,,60,83,100,5,55,65,68,69,68,74,43,40,50,50,,,67,83,100,5,51,46,82,82,85,85
152150,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,40,
152275,60,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,58,,,,64,
152309,59,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,50,,67,,86,
152318,82,81,83,81,72,85,90,90,,,100,83,81,,68,80,82,81,83,81,72,85,90,90,,,100,83,81,,84,84,78,78,83,83
152336,61,55,64,64,44,52,50,50,,,56,83,33,,50,59,60,55,63,63,42,52,57,57,,,56,83,33,,53,52,60,58,72,74
152381,52,71,50,54,33,50,33,0,50,,50,,50,,48,52,53,71,50,55,33,50,33,0,50,,50,,50,,49,49,50,52,67,67
152390,77,,77,78,75,76,71,71,,0,80,33,50,14,71,76,77,,77,78,75,76,71,71,,0,80,33,50,14,74,74,82,82,73,73
152497,50,0,53,50,,,,,,,,,,25,,,,,,,,,,,,,,,,,50,,40,,56,
152530,77,73,79,76,67,76,84,82,100,,,81,,,69,76,77,73,79,76,67,76,84,82,100,,,81,,,70,70,75,75,81,81
152567,68,61,80,68,32,65,83,83,,100,71,100,89,24,56,66,67,60,79,67,26,65,83,83,,100,57,100,89,24,63,62,69,68,71,70
152600,67,61,73,72,44,65,75,75,,0,79,44,41,,58,66,67,61,73,72,44,65,75,75,,0,79,44,41,,60,60,66,66,74,74
152628,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,0,
152637,35,36,33,42,13,26,25,25,,0,29,50,23,24,24,26,29,23,42,30,33,50,,,,0,0,,,35,27,30,41,0,46,36
152673,77,77,,80,71,60,100,100,,,0,63,100,17,71,76,77,77,,80,71,60,100,100,,,0,63,100,17,77,77,78,78,76,76
152992,49,44,56,53,13,44,86,83,100,50,,71,33,,35,48,49,44,56,53,13,44,86,83,100,50,,71,33,,37,37,59,59,61,61
153001,47,46,49,56,17,33,0,0,0,0,32,0,0,,35,45,47,46,49,56,17,33,0,0,0,0,32,0,0,,47,47,50,50,44,44
153074,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,100,,79,
153083,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,100,,63,
153108,69,66,73,73,14,55,67,60,100,100,50,,50,14,59,69,69,66,73,73,14,55,67,60,100,100,50,,50,14,56,56,75,75,77,77
153126,55,48,59,61,33,44,0,0,0,0,25,100,50,38,44,55,55,48,59,61,33,44,0,0,0,0,25,100,50,38,46,46,60,60,63,63
153144,59,56,61,64,40,42,81,81,,0,80,100,31,18,50,58,59,56,61,64,40,42,81,81,,0,80,100,31,18,47,47,58,58,74,74
153162,72,68,75,73,68,61,50,50,,67,83,85,80,19,67,71,72,68,75,73,68,61,50,50,,67,83,85,80,19,71,71,69,69,73,73
153214,34,35,33,37,9,24,36,36,0,50,34,17,28,15,,,,,,,,,,,,,,,,,30,,34,,37,
153241,100,100,,,,,100,100,,,,100,,,100,100,100,100,,,,,100,100,,,,100,,,100,100,,,100,100
153250,65,61,71,67,8,55,100,100,,50,82,73,38,,63,67,67,64,72,69,8,55,100,100,,50,87,76,43,,61,62,61,61,68,72
153269,77,77,78,80,64,68,79,79,,0,33,67,62,,68,77,77,76,77,80,63,68,75,75,,0,33,64,61,,66,68,81,79,79,78
153278,41,35,53,60,21,19,50,50,50,0,16,36,42,35,32,39,41,35,53,60,21,19,50,50,50,0,16,36,42,35,31,31,58,58,49,49
153296,43,35,55,57,20,43,0,0,0,0,43,40,38,27,,,,,,,,,,,,,,,,,34,,50,,53,
153302,82,79,85,93,67,100,20,20,,100,,,40,,33,37,41,48,33,51,33,50,0,0,,0,,,0,,81,38,82,45,82,41
153311,34,36,33,37,34,27,47,47,,0,33,,21,15,,,,,,,,,,,,,,,,,28,,24,,40,
153320,61,58,64,63,0,0,67,67,,,,0,83,11,36,46,48,50,46,49,0,,50,50,,,,0,80,14,61,48,69,57,58,44
153366,38,33,45,51,15,23,43,67,25,0,50,71,28,4,30,37,38,33,45,51,15,23,43,67,25,0,50,71,28,4,28,28,44,44,57,57
153375,56,48,63,62,33,48,29,33,0,0,50,40,44,32,46,54,56,48,63,62,33,48,29,33,0,0,50,40,44,32,55,55,55,55,58,58
153384,87,83,92,91,64,91,93,93,,,78,86,80,,74,86,87,83,92,91,64,91,93,93,,,78,86,80,,85,85,88,88,88,88
153427,80,81,80,83,0,83,100,100,,100,,,100,,100,100,100,100,,100,,100,100,100,,,,,,,71,100,100,100,100,100
153445,31,34,29,34,5,30,43,33,100,0,,67,17,11,,,,,,,,,,,,,,,,,27,,37,,34,
153463,69,,69,64,,100,,,,,,,100,,,,,,,,,,,,,,,,,,75,,100,,0,
153472,40,37,45,45,35,24,13,14,0,0,17,48,41,12,,,,,,,,,,,,,,,,,35,,53,,45,
153524,44,45,42,49,23,43,62,63,60,0,45,64,37,,,,,,,,,,,,,,,,,,42,,48,,45,
153533,26,26,25,24,48,31,0,0,0,14,62,0,100,16,,,,,,,,,,,,,,,,,1,,10,,39,
153597,80,50,83,73,75,100,,,,,,,100,,,,,,,,,,,,,,,,,,77,,,,86,
153603,75,73,78,77,53,63,76,77,50,67,80,70,70,17,54,73,75,73,78,77,53,63,76,77,50,67,80,70,70,17,68,68,71,71,79,79
153630,40,38,44,49,22,24,74,67,100,22,36,,50,19,,,,,,,,,,,,,,,,,33,,50,,45,
153658,73,72,74,74,53,67,80,80,67,75,71,77,66,19,57,71,73,72,74,74,53,67,80,80,67,75,71,77,66,19,60,60,68,68,78,78
153737,40,41,40,45,18,26,29,29,,25,30,55,36,10,,,,,,,,,,,,,,,,,32,,42,,47,
153746,100,100,100,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,100,
153764,64,,64,89,0,50,,,,,,,0,,,,,,,,,,,,,,,,,,38,,100,,100,
153773,71,100,68,70,40,100,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,33,
153782,100,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
153825,70,66,75,71,50,69,75,75,,,56,88,40,,49,67,70,66,75,71,50,69,75,75,,,56,88,40,,66,66,72,72,71,71
153834,75,68,80,77,38,57,90,88,100,0,,78,62,17,63,73,75,68,80,77,38,57,90,88,100,0,,78,62,17,67,67,72,72,81,81
153861,18,11,25,25,20,0,,,,0,,0,,,18,18,18,11,25,25,20,0,,,,0,,0,,,23,23,0,0,0,0
153922,37,34,41,40,25,34,17,20,0,0,43,67,50,15,,,,,,,,,,,,,,,,,37,,33,,38,
153977,49,40,50,46,50,,67,67,,,,,50,,45,55,55,50,55,56,0,,67,67,,,,,50,,50,55,54,50,25,100
154004,53,45,62,62,27,29,43,60,0,0,39,40,25,14,42,52,53,45,62,62,27,29,43,60,0,0,39,40,25,14,46,46,51,51,63,63
154013,56,52,58,60,38,67,20,0,50,67,18,40,100,,52,56,56,52,58,60,38,67,20,0,50,67,18,40,100,,46,46,60,60,62,62
154022,9,9,9,10,6,12,18,33,10,3,8,17,6,20,2,6,8,8,8,9,6,11,17,36,5,3,9,17,6,20,10,9,7,8,7,8
154059,55,56,54,57,21,54,67,67,,67,,56,47,13,,,,,,,,,,,,,,,,,50,,50,,60,
154095,69,64,72,71,35,59,63,65,0,44,71,65,60,20,45,65,69,64,72,71,35,59,63,65,0,44,71,65,60,20,59,59,66,66,74,74
154101,64,57,70,69,11,23,43,43,,0,60,71,33,24,57,63,64,57,70,69,11,23,43,43,,0,60,71,33,24,45,45,65,65,73,73
154110,48,55,39,51,10,18,0,0,0,,45,,33,2,,,,,,,,,,,,,,,,,43,,62,,51,
154129,55,60,43,59,0,32,,,,0,33,,67,7,,,,,,,,,,,,,,,,,58,,46,,55,
154174,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
154208,27,,27,11,0,75,,,,,0,,,,,,,,,,,,,,,,,,,,9,,50,,100,
154235,63,56,68,69,26,55,67,63,100,,41,38,52,30,54,62,63,56,68,69,26,55,67,63,100,,41,38,52,30,49,49,63,63,73,73
154262,33,0,50,0,,100,,,,,,,,67,,,,,,,,,,,,,,,,,50,,0,,,
154332,67,50,71,67,75,50,,,,,,,50,,,,,,,,,,,,,,,,,,77,,100,,25,
154350,66,61,71,66,67,56,67,67,,0,69,100,67,,53,65,66,61,71,66,67,56,67,67,,0,69,100,67,,56,56,69,69,69,69
154378,43,40,47,49,37,34,0,0,,47,47,35,0,18,,,,,,,,,,,,,,,,,30,,0,,56,
154396,53,50,57,59,19,44,33,33,,50,100,100,22,18,,,,,,,,,,,,,,,,,50,,53,,57,
154448,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,86,,73,
154457,64,,64,75,,50,,,,100,,,,,,,,,,,,,,,,,,,,,67,,,,50,
154466,67,100,63,72,,33,,,,,,,,,,,,,,,,,,,,,,,,,64,,83,,0,
154493,41,37,48,50,16,25,80,75,100,,,25,40,,29,39,42,37,49,50,19,26,80,75,100,,,29,33,,36,39,38,39,53,51
154518,29,24,36,33,12,19,100,100,,0,0,100,20,14,14,24,25,20,32,29,12,10,100,100,,0,0,100,20,15,14,15,29,30,51,38
154527,67,60,73,69,46,56,67,67,,,44,78,58,8,54,66,67,60,73,69,46,56,67,67,,,44,78,58,8,53,53,73,73,74,74
154545,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,40,,,
154572,40,44,37,38,48,39,46,46,,50,57,66,34,10,,,,,,,,,,,,,,,,,37,,33,,44,
154590,29,24,43,44,13,21,25,0,50,0,25,50,0,,22,28,29,24,43,44,13,21,25,0,50,0,25,50,0,,20,20,42,42,44,44
154642,39,34,43,40,36,44,25,25,,50,0,,,29,,,,,,,,,,,,,,,,,38,,33,,40,
154688,59,51,67,66,39,63,100,100,,50,,17,24,29,47,59,59,51,67,66,39,63,100,100,,50,,17,24,29,51,51,69,69,61,61
154697,43,45,41,48,47,34,14,17,0,25,100,,32,21,,,,,,,,,,,,,,,,,41,,56,,43,
154712,65,50,78,70,18,50,67,67,,50,59,50,,24,57,65,65,50,78,70,18,50,67,67,,50,59,50,,24,80,80,65,65,59,59
154721,29,15,50,28,14,35,50,50,,25,,42,43,,24,28,29,15,50,28,14,35,50,50,,25,,42,43,,21,21,36,36,40,40
154749,43,33,53,57,29,7,60,60,,0,,0,0,,28,37,43,33,53,57,29,7,60,60,,0,,0,0,,40,40,45,45,45,45
154800,30,27,32,35,19,25,30,31,0,0,25,55,,23,,,,,,,,,,,,,,,,,27,,25,,34,
154855,23,24,22,26,9,24,0,0,0,0,0,86,9,46,22,25,26,27,24,31,11,23,0,0,,0,,83,9,47,19,22,13,15,41,42
154907,46,50,42,46,6,40,50,50,,0,83,83,56,16,,,,,,,,,,,,,,,,,40,,27,,54,
154925,42,38,46,53,27,44,0,0,,35,0,47,36,26,,,,,,,,,,,,,,,,,41,,14,,44,
154934,57,52,60,61,50,64,,,,50,0,55,20,16,,,,,,,,,,,,,,,,,56,,57,,59,
154952,47,46,49,50,13,46,71,67,100,67,40,48,47,20,,,,,,,,,,,,,,,,,39,,31,,55,
154998,31,23,40,36,10,39,60,60,,0,50,50,21,27,,,,,,,,,,,,,,,,,23,,57,,39,
155007,38,27,41,0,14,42,38,38,,,,,100,16,,,,,,,,,,,,,,,,,40,,0,,37,
155025,54,50,57,58,50,48,0,0,,33,71,67,30,0,39,51,54,50,57,58,50,48,0,0,,33,71,67,30,0,45,45,62,62,57,57
155052,68,73,57,66,50,75,,,,50,,,100,5,,,,,,,,,,,,,,,,,95,,83,,24,
155061,48,43,52,53,21,35,60,75,0,0,0,,44,,33,44,48,43,52,53,21,35,60,75,0,0,0,,43,,37,37,49,50,57,57
155070,55,45,61,65,60,0,,,,0,,0,,17,31,38,38,27,44,45,40,0,,,,0,,0,,17,50,35,50,50,71,43
155089,61,58,64,66,33,50,33,33,,0,63,,67,16,52,60,61,58,64,66,33,50,33,33,,0,63,,67,16,56,56,69,69,60,60
155098,34,30,39,42,15,42,,,,33,,,33,29,,,,,,,,,,,,,,,,,28,,33,,45,
155104,41,36,47,44,20,44,58,63,50,67,30,56,50,23,,,,,,,,,,,,,,,,,38,,38,,44,
155140,43,40,44,,,,,,,43,,,,28,,,,,,,,,,,,,,,,,20,,,,77,
155159,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,83,
155177,57,51,64,61,50,50,50,50,,,,55,60,6,46,54,54,100,50,50,,67,,,,,,0,100,8,56,83,51,0,63,40
155186,39,38,39,41,46,23,30,33,0,30,43,,23,32,,,,,,,,,,,,,,,,,29,,93,,46,
155195,45,47,44,51,23,37,33,33,,29,46,55,29,19,,,,,,,,,,,,,,,,,38,,46,,51,
155201,34,30,41,38,28,35,83,50,100,25,17,38,33,28,,,,,,,,,,,,,,,,,34,,67,,30,
155210,29,29,30,32,29,23,31,34,0,0,31,16,28,23,,,,,,,,,,,,,,,,,26,,26,,31,
155283,57,50,58,62,53,58,100,100,,80,54,,100,,,,,,,,,,,,,,,,,,58,,80,,9,
155292,38,40,36,41,44,35,10,13,0,50,57,21,27,18,,,,,,,,,,,,,,,,,15,,50,,64,
155308,29,29,25,13,58,17,100,100,,0,,0,,29,14,14,14,14,,0,29,,,,,,,0,,43,13,22,0,0,44,0
155317,69,66,71,72,45,59,74,74,67,28,50,74,58,23,54,66,69,66,71,72,45,59,74,74,67,28,50,74,58,23,56,56,65,65,75,75
155335,54,44,59,57,38,48,67,67,,67,0,40,50,,38,45,55,46,59,58,38,48,67,67,,67,0,40,50,,42,41,52,52,66,69
155353,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,100,,100,
155399,70,67,74,73,46,57,73,75,0,64,64,56,61,18,47,67,70,67,74,73,46,57,71,73,0,64,64,56,61,18,59,59,65,64,76,76
155414,38,32,49,44,19,31,0,,0,100,50,33,40,49,34,38,38,32,49,44,19,31,0,,0,100,50,33,40,49,37,37,38,38,43,43
155423,63,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,58,,100,,63,
155450,29,19,34,28,35,28,0,,0,13,0,100,42,27,,,,,,,,,,,,,,,,,28,,25,,31,
155487,66,67,60,63,40,88,,,,,,,100,8,,,,,,,,,,,,,,,,,64,,77,,63,
155496,55,53,58,88,0,29,50,50,,,6,,,,34,41,41,34,48,69,0,29,100,100,,,0,,,,45,40,50,25,66,48
155511,52,47,62,54,41,59,33,33,,75,38,50,,,44,52,52,47,62,54,41,59,33,33,,75,38,50,,,42,42,57,57,60,60
155520,46,30,62,52,27,34,50,50,,0,38,80,46,,37,46,46,30,61,52,23,34,50,50,,0,38,80,46,,36,36,45,45,66,64
155566,39,35,42,43,17,37,,,,50,,22,40,26,,,,,,,,,,,,,,,,,37,,36,,40,
155593,75,76,75,74,100,100,,,,100,,,67,,,,,,,,,,,,,,,,,,69,,67,,90,
155618,77,82,63,79,67,88,100,,100,50,,80,64,7,,,,,,,,,,,,,,,,,78,,81,,69,
155627,29,27,31,30,31,44,0,,0,25,17,,8,,23,27,29,27,31,30,31,44,0,,0,25,17,,8,,32,32,33,33,13,13
155681,58,57,58,61,43,52,54,50,67,20,33,100,46,26,34,49,54,50,58,57,41,47,54,50,67,20,33,100,43,26,46,43,50,50,71,66
155715,43,39,50,47,18,42,67,67,,0,40,20,60,20,,,,,,,,,,,,,,,,,43,,33,,45,
155812,44,40,52,44,53,36,25,33,0,50,50,100,50,40,36,43,44,40,52,44,53,36,25,33,0,50,50,100,50,40,47,47,28,28,57,57
155830,72,71,73,76,67,73,100,,100,,0,,40,4,,,,,,,,,,,,,,,,,74,,75,,69,
155858,46,34,57,53,47,45,20,25,0,50,0,29,60,10,,,,,,,,,,,,,,,,,46,,100,,46,
155900,34,29,42,33,32,48,0,0,,0,29,33,40,49,30,33,34,29,42,33,32,48,0,0,,0,29,33,40,49,31,31,31,31,43,43
155937,29,23,45,39,15,19,33,20,100,22,0,0,,49,19,29,29,23,45,39,15,19,33,20,100,22,0,0,,49,22,22,35,35,39,39
155973,33,22,46,40,9,32,0,,0,0,,50,29,,32,33,33,22,46,40,9,32,0,,0,0,,50,29,,22,22,59,59,31,31
156082,53,47,57,56,28,50,67,80,0,29,58,70,46,27,25,37,41,39,43,44,17,40,50,60,0,14,45,59,35,28,40,27,61,48,60,51
156107,36,41,25,37,27,33,42,45,0,0,50,83,27,14,,,,,,,,,,,,,,,,,30,,48,,40,
156125,51,48,55,57,32,43,61,63,0,67,42,50,32,28,31,48,51,48,54,57,32,43,61,63,0,67,42,50,32,28,46,46,55,55,56,56
156134,41,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,42,,75,,29,
156189,26,29,24,27,0,0,,,,,0,,0,28,18,26,26,29,24,27,0,0,,,,,0,,0,28,21,21,19,19,39,39
156213,65,62,67,66,70,50,67,67,,0,80,71,50,22,57,64,65,62,67,66,70,50,67,67,,0,80,71,50,22,59,59,70,70,66,66
156231,59,65,53,61,0,50,50,67,0,,0,,50,6,,,,,,,,,,,,,,,,,57,,67,,62,
156286,68,66,69,68,56,53,79,79,,100,81,100,71,22,59,67,68,66,69,68,56,53,79,79,,100,81,100,71,22,57,57,71,71,74,74
156295,62,56,67,56,64,71,80,78,100,0,100,96,58,18,41,61,62,56,67,56,64,71,80,78,100,0,100,96,58,18,59,59,50,50,92,92
156310,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,100,,68,
156338,52,53,52,53,42,59,50,67,0,,,,27,7,,,,,,,,,,,,,,,,,53,,64,,51,
156356,46,43,48,43,45,67,0,0,,,54,0,50,,36,45,45,40,47,43,43,50,,,,,55,0,50,,38,40,42,38,64,59
156365,47,35,58,57,21,24,25,50,0,100,56,30,17,,40,46,46,33,59,56,21,24,25,50,0,100,38,30,18,,49,49,66,64,21,21
156392,38,36,40,39,30,37,53,53,,50,50,,34,13,,,,,,,,,,,,,,,,,35,,34,,42,
156408,85,80,90,85,71,89,94,94,,,80,87,86,,81,85,85,80,90,85,71,89,94,94,,,80,87,86,,76,76,82,82,88,88
156417,33,33,33,33,,,,,,,,,,17,25,50,50,100,33,50,,,,,,,,,,25,25,50,,,50,50
156426,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,67,,92,
156471,63,75,62,69,42,80,60,60,,,60,,46,,38,41,41,50,39,43,0,100,,,,,100,,0,,63,50,69,44,50,0
156541,46,37,56,63,50,,,,,,45,50,,26,30,36,44,34,55,50,50,,,,,,44,50,,26,42,40,59,57,44,42
156620,50,45,53,52,33,48,50,41,100,40,29,67,40,2,40,52,55,51,58,56,39,54,64,55,100,50,29,67,48,1,40,46,54,57,61,65
156648,50,59,42,52,28,39,50,60,0,25,50,,32,9,,,,,,,,,,,,,,,,,47,,48,,53,
156745,48,43,51,50,34,25,100,100,,,65,0,35,,42,47,48,43,51,50,34,25,100,100,,,65,0,35,,39,39,53,53,54,54
156754,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,100,,67,
156790,47,55,40,48,0,100,0,0,,0,100,,33,9,,,,,,,,,,,,,,,,,47,,50,,48,
156842,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,78,,67,
156851,44,47,44,47,29,50,100,100,,0,50,,33,12,,,,,,,,,,,,,,,,,41,,63,,46,
156860,37,33,39,39,26,38,,,,,0,,38,13,,,,,,,,,,,,,,,,,38,,0,,37,
156921,31,34,28,37,15,31,36,36,,,20,,16,16,,,,,,,,,,,,,,,,,26,,21,,37,
156967,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,67,,60,
157021,50,,50,,100,0,,,,,100,,,,,,,,,,,,,,,,,,,,50,,,,,
157030,36,25,50,42,0,,,,,,,0,,,8,17,25,14,40,30,0,,,,,,,0,,,40,30,50,0,0,0
157058,27,23,31,35,26,44,0,0,,,19,,29,27,15,22,28,26,31,36,28,38,0,0,,,25,,20,28,26,26,38,39,25,27
157076,53,41,67,61,33,38,0,0,,,46,50,,31,39,49,49,38,62,55,33,38,0,0,,,46,50,,32,40,40,61,60,70,57
157085,70,65,73,73,48,63,76,76,67,82,78,60,58,,54,67,70,65,73,73,48,63,76,76,67,82,78,59,58,,54,54,70,69,78,77
157100,34,26,52,39,18,0,,,,100,33,100,17,,29,33,34,26,52,39,18,0,,,,100,33,100,17,,27,27,50,50,41,41
157216,38,32,44,41,29,100,40,25,100,,36,100,31,,29,37,38,32,44,41,29,100,40,25,100,,36,100,31,,32,32,43,43,50,50
157289,61,58,63,63,51,52,74,75,0,100,100,52,53,,43,57,61,58,63,63,50,52,74,75,0,100,100,52,53,,49,49,61,61,69,69
157304,55,51,58,55,25,69,100,100,100,,0,,50,6,,,,,,,,,,,,,,,,,47,,80,,63,
157331,51,54,50,53,0,27,,,,100,50,,38,7,,,,,,,,,,,,,,,,,47,,86,,55,
157377,46,46,47,40,67,77,100,100,,100,44,100,33,30,46,46,46,44,47,41,67,64,100,100,,100,50,100,20,28,44,43,41,42,53,51
157386,48,46,49,48,30,60,71,67,100,0,100,64,33,,37,47,49,48,50,50,37,57,67,60,100,0,100,64,34,,40,42,46,46,61,62
157401,60,57,61,62,40,52,45,45,,0,66,53,48,,48,60,63,61,64,65,44,50,44,44,,0,64,53,58,,47,51,58,61,70,72
157438,49,59,37,52,35,46,40,40,,100,0,,36,9,,,,,,,,,,,,,,,,,42,,55,,56,
157447,48,43,52,50,39,42,52,52,50,100,36,53,32,,35,46,49,44,54,51,39,45,58,58,50,100,36,53,33,,37,38,49,50,58,59
157483,49,48,49,52,30,48,100,100,,100,0,,21,8,,,,,,,,,,,,,,,,,45,,50,,53,
157535,39,33,46,40,30,0,100,100,,20,,50,,37,29,40,41,34,52,43,30,0,100,100,,25,,50,,33,37,38,38,42,51,53
