id,url,title,publication,published_at,created_at
98ed8ea8-8eaa-4d3e-aa12-8b5b7c4e4a36,https://www.wandtv.com/news/illinois/hundreds-of-illinois-extension-jobs-lost-after-federal-funding-cuts/article_c491d090-b357-4c42-b2ef-f8737bb11475.html,Hundreds of Illinois Extension jobs lost after federal funding cuts,WANDTV,2025-08-09,2025-08-09T23:51:01Z
9f68dac6-7cd0-440a-b6db-53179dbfa968,https://www.post-gazette.com/news/education/2025/08/08/cmu-lays-off-18/stories/202508080044,CMU lays off 18 employees in computer science school,Pittsburgh Post-Gazette,2025-08-08,2025-08-09T03:57:36Z
f41aab87-86be-43a7-be33-688fd381ad3e,https://www.nhpr.org/nh-news/2025-08-08/university-new-hampshire-unh-to-cut-36-positions-chilton-says,"University of New Hampshire to lay off 23 employees, cut 13 unfilled positions",NHPR,2025-08-08,2025-08-08T18:18:56Z
24fb340f-d17c-49bc-8f53-8d426ecacfb2,https://www.sfchronicle.com/bayarea/article/stanford-university-layoffs-cuts-20803037.php,"Stanford announces mass layoffs, blames federal policy shifts",SF Chronicle,2025-08-05,2025-08-05T19:18:19Z
91214a46-4b2b-4dab-bb22-3d9a7a759f63,https://www.alligator.org/article/2025/08/uf-shuts-down-office-of-sustainability,UF shuts down Office of Sustainability,The Independent Florida Alligator,2025-08-05,2025-08-11T16:39:46Z
ccbd8294-2cdf-44f5-b67e-49a8e43a9361,https://www.sltrib.com/news/education/2025/08/05/university-utah-slashing-81/,"University of Utah slashing 81 humanities courses, restructuring departments under HB 265 cuts",Salt Lake Tribune,2025-08-05,2025-08-05T20:35:07Z
b71f5530-62bf-4bd1-88e2-b2d9bf019822,https://www.pvpanther.com/news/2025/8/4/general-prairie-view-am-announces-tennis-program-cuts.aspx,Prairie View A&M Announces Tennis Program Cuts,PVPanther.com,2025-08-04,2025-08-05T19:27:57Z
b8b5f6b7-bc01-4b8a-aa2c-55d995200857,https://www.instagram.com/p/DM8npPMPlt9/,Michigan State University laid off its director of Counseling and Psychiatric Services and other psychiatric staff last week as part of other budget cuts,The Detroit News,2025-08-04,2025-08-05T01:15:24Z
c92d3fb2-de4b-440c-a49d-aff21740497e,http://www.universityherald.com/articles/79710/20250804/southern-oregon-university-declares-financial-exigency-5-million-budget-cuts-15-majors-eliminated.htm,"Southern Oregon University Declares Financial Exigency: $5 Million Budget Cuts, 15 Majors Eliminated",University Herald,2025-08-04,2025-08-04T17:22:54Z
13fad799-e772-4c43-8060-1a1706b0436f,https://www.chicagotribune.com/2025/08/01/moody-bible-layoffs-religious-colleges/,"Moody Bible Institute lays off roughly 9% of staff, as small religious schools nationwide struggle with enrollment",Chicago Tribune,2025-08-01,2025-08-02T20:20:08Z
b62765c3-f254-485c-ae91-cf7671945a33,https://nypost.com/2025/07/31/us-news/barnard-college-lays-off-dozens-of-employees-weeks-after-antisemitism-suit-settlement/,Columbia sister school Barnard College lays off dozens of employees weeks after antisemitism suit settlement,NY Post,2025-07-31,2025-08-01T14:15:02Z
9b29808a-6b0d-4e61-a9ba-d7cdc1b8ec40,https://www.cbsnews.com/chicago/news/northwestern-university-to-cut-425-positions-budget-crisis/,Northwestern University to cut 425 positions amid budget crisis,CBS Chicago,2025-07-29,2025-07-30T14:13:15Z
d6c96058-ea42-4b4f-b320-4810959c953b,https://www.campusreform.org/article/kings-college-announces-permanent-closure-imminent-dissolution/28348,The King's College announces permanent closure and imminent dissolution,Campus Reform,2025-07-29,2025-07-31T03:13:30Z
3c9730d2-63f0-4256-8445-91077e1f8be4,https://www.insidehighered.com/news/quick-takes/2025/07/28/nearly-600-duke-employees-take-buyouts,Nearly 600 Duke Employees Take Buyouts,Inside Higher Ed,2025-07-28,2025-07-30T14:17:33Z
485c31ce-702f-4630-a378-54a2ed4e0601,https://www.wpr.org/news/uw-extension-foodwise-nutrition-education-federal-funds-eliminated,UW Extension's FoodWIse nutrition education program shutting down after federal funds eliminated,Wisconsin Public Radio,2025-07-25,2025-09-02T13:31:08Z
