unitid,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
176479,58,63,55,62,76,51,62,76,51,0,0,0
176628,60,89,94,23,18,27,23,18,27,0,0,0
176770,71,,71,60,,60,20,,20,40,,40
176789,71,72,70,35,32,38,31,27,35,4,5,3
176947,88,88,88,23,20,28,23,20,28,0,0,0
176965,69,69,69,31,37,27,30,36,27,1,1,1
176983,100,100,100,100,100,100,61,78,13,39,22,88
177038,80,100,75,75,100,67,75,100,67,0,0,0
177083,100,100,,100,100,,100,100,,0,0,
177117,66,,66,18,,18,17,,17,0,,0
177144,98,98,99,19,16,27,19,16,27,0,0,0
177214,59,58,60,22,23,20,22,23,20,0,0,0
177339,69,68,71,41,44,38,41,44,38,0,0,0
177418,95,95,95,16,18,13,16,18,13,0,0,0
177542,59,58,59,31,35,26,31,35,26,0,0,0
177746,60,54,62,36,37,36,36,37,36,0,0,0
177931,75,100,71,100,100,100,100,100,100,0,0,0
177968,66,63,68,20,20,20,19,20,19,1,0,1
177986,90,83,93,72,80,69,50,60,46,22,20,23
178059,94,93,94,23,22,24,19,19,19,4,3,5
178183,78,50,83,68,33,72,68,33,72,0,0,0
178208,94,93,96,63,60,68,52,47,60,11,13,8
178244,64,64,64,34,38,31,33,37,28,2,1,3
178341,97,97,98,26,26,26,24,24,24,2,2,2
178369,53,51,55,36,44,25,36,44,25,0,0,0
178396,77,74,79,31,32,30,31,32,30,0,0,0
178402,75,68,79,30,34,28,29,32,27,1,1,1
178411,73,75,70,20,23,14,20,23,14,0,0,0
178420,57,55,58,18,21,16,16,19,15,1,1,1
178615,80,78,81,25,25,25,25,25,24,0,0,0
178624,86,84,87,18,19,17,17,19,17,0,0,0
178679,98,99,98,54,53,54,53,53,54,0,1,0
178697,15,17,13,69,72,66,69,72,66,0,0,0
178767,71,67,75,100,100,100,40,50,33,60,50,67
179043,69,69,69,19,25,15,19,25,15,0,0,0
179159,81,77,85,14,13,15,14,13,15,0,0,0
179265,75,76,75,13,15,12,13,15,12,0,0,0
179326,100,100,100,26,29,24,24,28,23,1,1,2
179548,92,53,96,20,16,20,20,16,20,0,0,0
179557,79,75,86,22,24,21,21,22,21,1,1,1
179566,91,89,93,26,26,26,25,24,25,2,2,1
179867,12,12,12,47,47,48,47,47,47,0,0,0
179894,58,56,60,15,12,17,14,12,15,1,0,2
179946,78,74,81,9,10,8,9,10,8,0,0,0
179955,34,38,30,31,31,31,31,31,31,0,0,0
179964,74,69,78,27,37,23,26,35,21,2,2,1
180106,73,70,75,21,22,20,21,22,20,0,0,0
180258,64,61,66,56,67,49,52,59,48,4,8,2
180416,90,88,92,20,24,15,20,24,15,0,1,0
180461,87,87,86,19,22,17,17,20,15,2,2,2
180489,96,94,97,18,19,18,17,18,17,1,1,1
180595,73,74,72,20,21,18,20,21,18,0,0,0
180692,99,99,100,38,40,36,37,40,35,1,0,1
180832,64,67,64,100,100,100,61,50,63,39,50,37
180878,63,71,62,67,40,69,48,40,49,19,0,20
180984,90,87,94,27,25,29,27,25,29,0,0,0
181002,72,74,72,20,20,20,20,20,20,0,0,0
181020,90,87,92,21,22,20,21,22,20,0,0,0
181127,70,67,73,20,22,19,20,22,19,0,0,0
181215,86,83,88,15,14,15,14,14,15,0,0,0
181297,88,100,87,56,63,56,52,50,52,4,13,3
181330,67,71,63,29,33,26,29,33,26,0,0,0
181394,87,86,88,25,25,25,24,24,25,1,1,1
181446,84,80,87,23,23,22,23,23,22,0,0,0
181464,77,77,77,33,36,31,33,36,31,0,0,0
181543,14,0,20,100,,100,100,,100,0,,0
181604,44,,44,47,,47,46,,46,1,,1
181738,100,100,100,10,10,10,10,10,9,0,0,0
181853,48,49,46,47,44,50,47,44,50,0,0,0
182281,96,96,97,39,41,37,38,40,37,1,1,1
182290,85,84,86,40,41,39,39,40,38,0,0,0
182634,90,86,92,12,12,13,12,12,13,0,0,0
182670,6,7,6,67,69,67,67,69,67,0,0,0
182795,90,91,91,11,14,9,11,14,9,0,0,0
182917,44,53,38,100,100,100,100,100,100,0,0,0
182980,96,96,97,9,9,9,8,9,8,0,0,0
183026,96,95,97,35,33,37,8,7,8,27,26,28
183044,87,84,89,14,15,14,14,15,14,0,0,0
183062,89,88,90,18,19,16,17,19,16,0,0,0
183071,87,84,90,16,22,12,15,21,11,1,1,1
183080,91,90,92,15,17,13,15,17,13,0,0,0
183211,82,75,86,20,20,20,20,20,19,1,0,1
183239,78,75,81,18,18,18,18,18,18,0,0,0
183822,67,73,64,8,9,7,8,9,7,0,0,0
183910,65,61,69,7,7,7,7,6,7,0,0,0
183974,97,96,97,14,18,12,14,18,12,0,0,0
184348,69,65,73,13,14,12,13,14,12,0,0,0
184603,96,93,98,15,16,14,13,14,13,1,1,1
184612,94,92,95,17,17,16,17,17,16,0,0,0
184694,95,94,96,12,12,12,12,12,12,0,0,0
184773,71,65,73,14,16,13,14,16,13,0,0,1
184782,78,76,79,18,21,16,18,21,16,0,0,0
184968,25,,25,100,,100,100,,100,0,,0
185129,89,87,90,11,14,9,11,14,9,0,0,0
