UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
178624,86,85,86,19,21,17,18,21,17,0,0,0
178679,94,91,98,41,38,44,40,38,42,1,1,2
178697,21,25,19,76,77,74,76,77,74,0,0,0
178767,100,.,100,44,.,44,22,.,22,22,.,22
179043,66,66,67,14,14,13,14,14,13,0,0,0
179159,85,83,87,15,15,15,15,15,15,0,0,0
179265,92,92,91,15,18,14,15,18,14,0,0,0
179326,100,100,99,32,35,31,30,34,28,2,1,3
179548,64,30,68,18,36,17,18,36,17,0,0,0
179557,86,87,88,24,25,23,23,24,22,1,1,1
179566,93,91,93,26,28,25,25,26,24,2,2,1
179867,12,12,11,48,46,50,48,46,50,0,0,0
179894,55,53,57,21,18,23,20,17,22,1,1,1
179946,75,72,79,10,10,11,10,10,11,0,0,0
179955,41,44,38,35,36,35,35,36,35,0,0,0
179964,61,59,68,23,27,26,23,26,26,0,0,0
180106,78,76,80,25,25,25,25,25,25,0,0,0
180258,95,93,97,52,64,45,51,64,43,1,0,2
180416,89,87,93,20,22,17,19,21,17,0,0,0
180461,73,79,69,18,21,15,15,18,13,2,3,2
180489,95,94,96,19,19,19,18,18,18,1,2,1
180595,75,78,73,24,28,20,24,28,20,0,0,0
180692,36,38,35,51,50,51,49,49,49,2,0,3
180832,56,75,55,100,100,100,78,100,76,22,0,24
180878,68,60,68,58,44,59,50,33,51,8,11,8
180984,91,89,94,23,20,27,23,20,27,0,0,0
181002,76,77,75,17,18,17,17,18,17,0,0,0
181020,76,74,79,16,15,19,16,15,19,0,0,0
181127,71,72,71,17,20,15,17,20,15,0,0,0
181215,86,83,88,15,14,15,14,14,15,0,0,0
181297,91,67,91,51,50,51,43,50,43,8,0,8
181330,65,71,59,33,34,34,33,34,34,0,0,0
181394,86,84,87,29,28,29,28,27,29,1,1,0
181446,81,77,86,19,18,19,19,18,19,0,0,0
181464,79,77,80,31,34,28,31,34,28,0,0,0
181543,67,50,75,100,100,100,75,100,67,25,0,33
181604,34,.,34,60,.,60,60,.,60,0,.,0
181738,99,98,99,10,11,9,10,11,9,0,0,0
181853,57,51,63,39,49,32,39,49,32,0,0,0
182281,85,83,87,38,41,36,37,40,36,1,1,1
