opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
008504,RICHLAND COLLEGE,Richland College,TX,1996,2020,2021,1; 5,yes,no,Public,2-year,Public 2-year,likely_combination_or_successor,C,224615,
008510,EASTFIELD COLLEGE,Eastfield College,TX,1996,2020,2021,1; 5,yes,no,Public,2-year,Public 2-year,likely_combination_or_successor,C,224615,
008532,HEALD BUSINESS COLLEGE-HAYWARD,Heald College-Hayward,CA,1996,2012,2013,1,yes,no,For-profit; Nonprofit,2-year,For-profit 2-year,other_exit,A,,
008537,CONCORDE CAREER INSTITUTE CAMPUS,Concorde Career College-San Bernardino,CA,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008543,ATLANTA AREA TECHNICAL SCHOOL,Atlanta Technical College,GA,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008544,CHICAGO COLLEGE OF COMMERCE,Career Colleges of Chicago,IL,1996,2006,2007,1,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,D,,
008545,ROCKFORD BUSINESS COLLEGE,Rockford Career College,IL,1996,2012,2013,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008546,IVY TECH STATE COLLEGE-CENTRAL OFFICE,Ivy Tech Community College-Central Office,IN,1996,2011,2012,1,yes,no,Public,2-year,Public 2-year,other_exit,A,,
008547,IVY TECH STATE COLLEGE-WABASH VALLEY,Ivy Tech Community College-Wabash Valley,IN,1996,2011,2012,1,yes,no,Public,2-year,Public 2-year,other_exit,A,,
008548,HICKOX SECRETARIAL SCHOOL,HICKOX SCHOOL OF INFORMATION TECHNOLOGY,MA,1996,1997,1998,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008549,OAKWOOD HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,OAKWOOD HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,MI,1996,1996,1997,,no,no,Nonprofit,2-year,Nonprofit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008552,PATRICIA STEVENS COLLEGE,Stevens-The Institute of Business & Arts,MO,1996,2024,,1,yes,no,For-profit,2-year; 4-year,For-profit 4-year,,A,,
