unitid,institution_name,state,city,first_seen_year,last_seen_year,first_missing_year,academic_year,reappeared_after_gap,act_code,closedat,newid,degree_granting,sector,broad_sector,institutional_level,tracker_category,highest_degree_offered,instcat,opeid8,headcount_year,student_headcount,exit_group,closure_proxy_note,source_group,source_file,source_note
494782,Davenport University - Detroit,MI,Detroit,2019,2019,2020,2019-20,no,G,-2,169479,no,Sector unknown,,,,,-2,00224952,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494773,Dayton School of Medical Massage - Columbus School of Medical Massage,OH,Dublin,2019,2019,2020,2019-20,no,G,-2,449700,no,Sector unknown,,,,,-2,04117304,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
448284,Doane University-Graduate and Professional Studies,NE,Lincoln,2006,2019,2020,2019-20,yes,C,-2,181020,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",Other,-2,00254401,2018,2445,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
480134,Elizabethtown College School of Continuing and Professional Studies,PA,Elizabethtown,2012,2019,2020,2019-20,no,C,-2,212197,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00326200,2018,629,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
114415,FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,Irvine,2004,2019,2020,2019-20,yes,G,-2,114354,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01111203,2018,95,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
248846,FIDM-Fashion Institute of Design & Merchandising-San Diego,CA,San Diego,2004,2019,2020,2019-20,yes,G,-2,114354,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01111204,2018,78,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
444990,Flagler College-Tallahassee,FL,Tallahassee,2004,2019,2020,2019-20,yes,C,-2,133711,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00789301,2018,490,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
418870,Fortis Institute-Cookeville,TN,Cookeville,2004,2019,2020,2019-20,yes,C,-2,494436,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,02326300,2018,322,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494913,Franciscan School of Theology - San Diego,CA,San Diego,2019,2019,2020,2019-20,no,G,-2,114734,no,Sector unknown,,,,,-2,01179203,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494108,High Desert Medical College - Temecula,CA,Temecula,2019,2019,2020,2019-20,no,G,-2,484002,no,Sector unknown,,,,,-2,04228102,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494302,Hillsdale Beauty College,MI,Coldwater,2019,2019,2020,2019-20,no,G,-2,168555,no,Sector unknown,,,,,-2,02595701,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494038,Indiana Wesleyan University - Marion Design Co.,IN,Marion,2019,2019,2020,2019-20,no,G,-2,151801,no,Sector unknown,,,,,-2,40182261,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
185651,JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools-School of Imaging,NJ,Plainfield,2004,2019,2020,2019-20,yes,C,-2,185679,no,"Private not-for-profit, at least 2 but less than 4 years",Private not-for-profit,At least 2 but less than 4 years,At least 2 but less than 4 years,Non-degree granting,-2,00642101,2018,70,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494311,Leston College -,PR,Isabela,2019,2019,2020,2019-20,no,G,-2,444732,no,Sector unknown,,,,,-2,03552301,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494214,Miami Lakes Educational Center and Technical College -,FL,Miami Lakes,2019,2019,2020,2019-20,no,G,-2,136826,no,Sector unknown,,,,,-2,02524201,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
430810,New Hampshire Institute of Art,NH,Manchester,2004,2019,2020,2019-20,yes,C,-2,182980,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,03182300,2018,388,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
407601,Northwest Technology Center-Fairview,OK,Fairview,2004,2019,2020,2019-20,yes,G,-2,366623,no,"Public, less than 2 years",Public,Less than 2 years,Less than 2 years,Non-degree granting,-2,02600001,2018,104,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494241,Old Town Barber College - KC,MO,Kansas City,2019,2019,2020,2019-20,no,G,-2,155353,no,Sector unknown,,,,,-2,02134802,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
453109,Pinnacle Career Institute-North Kansas City,MO,Kansas City,2008,2019,2020,2019-20,yes,C,-2,177302,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,01040501,2018,99,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494418,Porter and Chester Institute - New London,CT,New London,2019,2019,2020,2019-20,no,G,-2,130174,no,Sector unknown,,,,,-2,01077917,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
480064,Purdue University Global-Augusta,ME,Augusta,2012,2019,2020,2019-20,no,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458617,2018,699,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
153418,Purdue University Global-Cedar Rapids,IA,Cedar Rapids,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458604,2018,702,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
367024,Purdue University Global-Des Moines,IA,Urbandale,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458605,2018,1141,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
162681,Purdue University Global-Hagerstown,MD,Hagerstown,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458612,2018,808,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
160940,Purdue University Global-Lewiston,ME,Lewiston,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458616,2018,911,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
181242,Purdue University Global-Lincoln,NE,Lincoln,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458609,2018,486,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
153409,Purdue University Global-Mason City,IA,Mason City,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458606,2018,214,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
489788,Purdue University Global-Milwaukee,WI,Milwaukee,2016,2019,2020,2019-20,no,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458619,2018,531,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
181400,Purdue University Global-Omaha,NE,Omaha,2004,2019,2020,2019-20,yes,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458608,2018,637,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490771,Purdue University Global-St. Louis,MO,St. Louis,2017,2019,2020,2019-20,no,C,-2,489779,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00458620,2018,494,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494870,Rabbinical Seminary of America - Ma'yan HaTorah,NY,Richmond Hill,2019,2019,2020,2019-20,no,G,-2,194763,no,Sector unknown,,,,,-2,00397801,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494296,Relay Graduate School of Education - Indiana,IN,Indianapolis,2019,2019,2020,2019-20,no,G,-2,475033,no,Sector unknown,,,,,-2,04208616,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
160913,South Central Louisiana Technical College,LA,Morgan City,2004,2019,2020,2019-20,yes,C,-2,434061,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,03956324,2018,2618,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494320,Southern California Health Institute (SOCHI) - North Hollywood,CA,North Hollywood,2019,2019,2020,2019-20,no,G,-2,461856,no,Sector unknown,,,,,-2,04181201,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
493318,Stanbridge University-Los Angeles,CA,Alhambra,2018,2019,2020,2019-20,no,C,-2,446561,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,03889301,,,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494375,Strayer University - Decatur Campus,AL,Decatur,2019,2019,2020,2019-20,no,G,-2,450377,no,Sector unknown,,,,,-2,10145914,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494366,Strayer University - Montgomery Campus,AL,Montgomery,2019,2019,2020,2019-20,no,G,-2,450377,no,Sector unknown,,,,,-2,10145913,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494384,Thomas Aquinas College - New England,MA,Northfield,2019,2019,2020,2019-20,no,G,-2,124292,no,Sector unknown,,,,,-2,02358001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494409,Universal Spa Training Academy - Tyler's Beauty and Spa Academy,FL,Bradenton,2019,2019,2020,2019-20,no,G,-2,459374,no,Sector unknown,,,,,-2,04175001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494922,University of Montana (The) - Bitterroot College University of Montana,MT,Hamilton,2019,2019,2020,2019-20,no,G,-2,180489,no,Sector unknown,,,,,-2,00253615,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494223,University of Oklahoma - Nellis Air Force Base,NV,Nellis AFB,2019,2019,2020,2019-20,no,G,-2,207500,no,Sector unknown,,,,,-2,00318467,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491303,University of Wisconsin Colleges Flex,WI,Madison,2017,2019,2020,2019-20,no,C,-2,240365,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00392060,2018,374,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
494816,Urban Barber College - San Jose,CA,San Jose,2019,2019,2020,2019-20,no,G,-2,491756,no,Sector unknown,,,,,-2,04270001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
206330,Urbana University,OH,Urbana,2004,2019,2020,2019-20,yes,C,-2,202806,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00313300,2018,3149,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
459082,Virginia Polytechnic Institute & State University,VA,Roanoke,2010,2019,2020,2019-20,yes,C,-2,233921,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00375414,2018,168,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2019.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496140,"American College of Barbering - Murfreesboro,TN",TN,Murfreesboro,2020,2020,2021,2020-21,no,G,-2,486169,no,Sector unknown,,,,,-2,04204802,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
495828,Arizona State University - Washington Center,DC,Washington,2020,2020,2021,2020-21,no,G,-2,104151,no,Sector unknown,,,,,-2,00108172,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
448886,Arizona State University-Downtown Phoenix,AZ,Phoenix,2006,2020,2021,2020-21,yes,G,-2,104151,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",Doctor's - other,-2,00108103,2019,12750,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
420574,Arizona State University-Polytechnic,AZ,Mesa,2004,2020,2021,2020-21,yes,G,-2,104151,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",Other,-2,00108102,2019,5709,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
407009,Arizona State University-West,AZ,Glendale,2004,2020,2021,2020-21,yes,G,-2,104151,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",Other,-2,00108101,2019,5098,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496177,Austin Presbyterian Theological Seminary- YMCA Outdoor Center,TN,Antioch,2020,2020,2021,2020-21,no,G,-2,223001,no,Sector unknown,,,,,-2,00354402,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
495800,Aveda Institute Des Moines - Aveda Institute Rochester,MN,Rochester,2020,2020,2021,2020-21,no,G,-2,475015,no,Sector unknown,,,,,-2,04203301,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
433165,Blessing Hospital School of Medical Laboratory Technology,IL,Quincy,2004,2020,2021,2020-21,yes,C,-2,143297,no,"Private not-for-profit, less than 2 years",Private not-for-profit,Less than 2 years,Less than 2 years,Non-degree granting,-2,00621401,2019,11,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
223524,Brookhaven College,TX,Farmers Branch,2004,2020,2021,2020-21,yes,C,-2,224615,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,02100200,2019,25659,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496274,Calvin University - Handlon Campus,MI,Ionia,2020,2020,2021,2020-21,no,G,-2,169080,no,Sector unknown,,,,,-2,00224101,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
223773,Cedar Valley College,TX,Lancaster,2004,2020,2021,2020-21,yes,C,-2,224615,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00356100,2019,16540,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496335,Coastline Beauty College - Hemet,CA,Hemet,2020,2020,2021,2020-21,no,G,-2,450988,no,Sector unknown,,,,,-2,04092301,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496229,Columbia College - Eastfield Pleasant Grove,TX,Dallas,2020,2020,2021,2020-21,no,G,-2,177065,no,Sector unknown,,,,,-2,00245657,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496238,Columbia College - Fort Leonard Wood 58th Trans BN,MO,Fort Leonard Wood,2020,2020,2021,2020-21,no,G,-2,177065,no,Sector unknown,,,,,-2,00245658,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496201,Columbia College - Minot AFB,ND,Minot AFB,2020,2020,2021,2020-21,no,G,-2,177065,no,Sector unknown,,,,,-2,00245655,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496210,Columbia College - Springfield TMobile,MO,Springfield,2020,2020,2021,2020-21,no,G,-2,177065,no,Sector unknown,,,,,-2,00245656,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496256,Columbia College - Tavares PD,FL,Tavares,2020,2020,2021,2020-21,no,G,-2,177065,no,Sector unknown,,,,,-2,00245660,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496247,Columbia College - USCG Base Honolulu,HI,Honolulu,2020,2020,2021,2020-21,no,G,-2,177065,no,Sector unknown,,,,,-2,00245659,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
496317,Digital Film Academy - Atlanta,GA,Atlanta,2020,2020,2021,2020-21,no,G,-2,480028,no,Sector unknown,,,,,-2,04206201,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
224572,Eastfield College,TX,Mesquite,2004,2020,2021,2020-21,yes,C,-2,224615,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00851000,2019,28791,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
134112,Florida Technical College,FL,Orlando,2004,2020,2021,2020-21,yes,C,-2,242972,yes,"Private for-profit, 4-year or above",Private for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,02218700,2019,6045,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
242422,Instituto de Banca y Comercio Inc,PR,Guaynabo,2004,2020,2021,2020-21,yes,C,-2,242972,yes,"Private for-profit, at least 2 but less than 4 years",Private for-profit,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,02166400,2019,13006,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
495466,Jersey College,FL,Tampa,2020,2020,2021,2020-21,no,G,-2,455196,no,Sector unknown,,,,,-2,04134101,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
495484,Jersey College,FL,Jacksonville,2020,2020,2021,2020-21,no,G,-2,455196,no,Sector unknown,,,,,-2,04134103,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2020.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
