UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
206011,63033,69756,57927,60671,61763,,,170,96,96,0,0,4,1,3,20,10,6,11,0,23,7,2,10,4,0
206039,,,,,,,,5,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
206048,63092,67645,54070,68948,60665,,,322,118,107,0,11,3,2,1,50,12,4,84,9,42,21,2,11,4,4
206084,91514,115048,96384,84640,74128,63620,54837,4608,1032,665,146,221,94,28,66,405,171,271,241,1426,968,413,4,457,82,12
206154,,,,,,,,13,10,10,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
206172,,,,,,,,7,3,3,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0
206181,,,,,,,,23,12,12,0,0,1,0,1,2,1,1,0,0,6,1,0,5,0,0
206288,68141,75129,57005,53455,,,,59,18,18,0,0,11,4,7,9,5,2,1,0,13,0,0,13,0,0
206321,,,,,,,,33,23,23,0,0,0,0,0,6,0,0,0,0,4,0,0,4,0,0
206349,55424,66586,55673,55088,51185,,,217,99,99,0,0,11,6,5,28,6,8,36,2,27,2,0,21,4,0
206437,51312,59017,51455,48711,41728,,,321,140,140,0,0,20,1,19,20,12,9,54,0,66,23,0,34,7,2
206446,59679,61512,58231,59857,57718,,66506,162,101,101,0,0,1,1,0,25,3,5,2,0,25,1,0,16,7,1
206491,55737,64854,54557,57780,52128,,,137,48,45,0,3,17,10,7,13,12,5,10,6,26,15,1,6,4,0
206507,56743,61332,56004,54385,,,,209,73,73,0,0,7,6,1,21,13,6,51,4,34,9,0,20,5,0
206516,42536,45552,40154,41318,,,,11,6,6,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0
206525,71751,78070,69597,63948,,,,328,111,111,0,0,18,5,13,33,17,3,62,3,81,28,0,36,16,1
206589,77558,95377,77220,63087,63468,,,507,179,179,0,0,27,14,13,60,25,16,85,15,100,26,1,49,14,10
206604,88352,112221,90893,85861,52124,62670,56562,1404,578,563,15,0,48,27,21,184,70,122,120,20,262,66,1,144,40,11
206613,88352,112221,90893,85861,52124,62670,56562,90,37,36,1,0,3,2,1,12,4,8,8,1,17,4,0,9,3,1
206622,81864,106463,91437,86463,63687,48438,,1064,501,501,0,0,77,14,63,92,75,41,114,8,156,41,3,91,21,0
206695,75135,86958,78211,73551,,54663,,1112,441,441,0,0,37,12,25,70,101,65,156,27,215,45,0,127,35,8
206817,58558,60000,77625,56667,,,36000,26,13,13,0,0,0,0,0,0,3,0,6,0,4,0,0,4,0,0
206835,53592,56040,50820,53304,53263,,,143,56,56,0,0,31,2,29,6,5,5,26,2,12,8,0,4,0,0
206862,56925,65493,53423,53798,45166,,,331,115,115,0,0,23,5,18,29,20,12,62,5,65,7,19,30,8,1
206905,,,,,,,,55,15,15,0,0,8,0,8,6,2,2,0,0,22,3,1,10,8,0
206914,65587,79767,69732,55602,51111,,,373,138,138,0,0,37,3,34,32,8,26,32,3,97,19,2,56,18,2
206923,41379,,,,41379,,,201,57,57,0,0,34,3,31,12,7,6,44,0,41,25,0,16,0,0
206932,41557,,,,41557,,,49,24,24,0,0,5,1,4,3,6,1,1,0,9,1,3,5,0,0
206941,72164,90465,75211,65061,59386,40621,,1486,578,578,0,0,125,11,114,110,84,56,128,4,401,55,3,291,40,12
206996,49171,,,,,,49171,132,46,46,0,0,8,4,4,15,9,6,20,0,28,7,0,15,5,1
207041,57476,66093,62488,58354,49190,,,346,155,155,0,0,28,5,23,9,12,12,27,4,99,28,1,57,12,1
207050,47841,52174,,,41703,,,175,51,47,0,4,17,3,14,27,5,8,17,0,50,15,3,24,7,1
207069,49883,50444,,,41750,,,148,49,49,0,0,10,2,8,25,7,6,15,0,36,7,0,20,7,2
207087,,,,,,,,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
207102,,,,,,,,8,3,3,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0
207157,35851,38366,34854,25222,,,,46,28,28,0,0,2,1,1,2,6,1,0,0,7,2,1,2,2,0
207209,56038,83517,64910,54776,50140,,,327,113,113,0,0,8,2,6,44,17,24,45,2,74,11,0,48,15,0
207236,43892,61289,,48078,42777,,,205,87,87,0,0,47,1,46,11,5,6,4,1,44,23,7,11,3,0
207254,52311,,,,52311,,,103,43,43,0,0,6,1,5,14,0,1,0,0,39,7,13,11,7,1
207263,72446,86843,73694,67507,52377,43745,,812,304,297,2,5,46,20,26,82,25,33,63,21,238,93,5,94,35,11
207281,57571,,,,57571,,,229,94,93,1,0,35,3,32,19,4,10,11,0,56,26,0,27,2,1
207290,51074,,,,51074,,,177,60,60,0,0,5,1,4,11,4,2,41,0,54,13,3,29,8,1
207306,63754,80949,69951,60338,52510,39963,,262,103,103,0,0,8,5,3,22,7,7,50,4,61,27,1,27,6,0
207315,,,,,,,,921,216,216,0,0,40,7,33,128,75,57,8,177,220,18,0,168,34,0
207324,64514,75055,61162,62338,47142,,,390,187,187,0,0,20,1,19,32,22,13,66,1,49,19,0,22,8,0
207342,84814,121661,93581,78003,60442,77626,,3811,1068,1068,0,0,27,3,24,482,458,412,100,304,960,293,2,527,106,32
207351,45390,61820,58615,44454,39812,18006,,130,47,47,0,0,7,3,4,16,6,2,23,1,28,10,1,16,1,0
207388,96712,130884,102901,84411,77526,57257,53029,5199,1496,1407,38,51,254,16,238,457,534,530,182,50,1696,281,12,1054,282,67
207397,59726,79798,60547,57603,53801,,,270,122,122,0,0,4,4,0,29,15,25,17,0,58,11,0,43,0,4
207403,63674,74006,63540,59438,,,24044,295,103,103,0,0,4,4,0,45,5,12,45,4,77,26,0,38,13,0
207449,64942,65409,,,33426,,,562,249,234,0,15,84,7,77,73,22,16,18,0,100,20,1,63,13,3
207458,68064,77261,67338,65012,51050,,53689,544,240,240,0,0,33,7,26,48,27,21,56,0,119,21,0,74,19,5
207500,98466,145441,97808,89384,48835,49779,,5660,1875,1507,368,0,224,74,150,658,673,329,488,61,1352,469,0,641,169,73
207564,47171,,,,,,47171,319,109,109,0,0,9,4,5,38,7,11,20,0,125,56,10,44,15,0
207582,68945,81529,66101,61005,56990,58436,,648,230,230,0,0,24,10,14,86,33,28,99,8,140,26,1,87,17,9
207661,56129,66356,51414,54099,49098,,,304,115,115,0,0,5,5,0,32,5,10,70,3,64,13,0,35,14,2
207670,49972,51177,,,,,40328,424,184,184,0,0,13,13,0,42,13,23,45,0,104,17,0,68,19,0
207704,,,,,,,,18,11,11,0,0,2,0,2,1,2,0,0,0,2,0,0,2,0,0
207722,56310,64107,58562,50256,47012,,,161,63,63,0,0,4,1,3,15,7,4,32,1,35,22,0,10,3,0
207740,48402,55274,47578,49167,39744,,,153,50,50,0,0,8,0,8,21,0,5,33,0,36,11,0,20,5,0
207786,,,,,,,,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
207847,65342,80055,73333,61703,40297,,,508,174,174,0,0,62,13,49,26,43,24,76,3,100,43,0,42,9,6
207856,51430,,,,,,51430,78,30,30,0,0,10,1,9,6,2,1,16,1,12,6,0,3,3,0
207865,70450,86821,77129,68032,55696,,,533,232,232,0,0,24,11,13,35,22,20,27,10,163,77,1,63,19,3
207935,77084,94706,84239,70911,59508,,,1106,404,404,0,0,146,30,116,80,31,57,134,16,238,41,0,151,42,4
207962,53838,,,,53838,,,42,15,15,0,0,1,1,0,5,0,0,0,0,21,0,13,6,2,0
207971,101089,127967,97248,106651,78330,,,1018,354,334,20,0,118,30,88,85,79,64,151,5,162,36,1,103,20,2
208035,54919,,,,54919,,,123,33,33,0,0,23,2,21,12,7,7,14,0,27,13,0,11,3,0
208044,,,,,,,,7,4,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
208053,,,,,,,,57,29,29,0,0,2,0,2,6,6,0,0,0,14,7,0,7,0,0
208275,73129,,,,73129,,,154,51,51,0,0,19,3,16,21,9,11,9,0,34,5,0,24,5,0
208318,79690,96154,80070,67566,62884,,65162,399,168,168,0,0,25,3,22,55,19,24,19,0,89,19,2,59,9,0
208390,80900,,,,80875,,85098,663,261,261,0,0,110,3,107,92,0,37,8,0,155,44,0,95,16,0
208406,88139,,,,88139,,,511,230,230,0,0,62,3,59,51,4,27,7,1,129,30,0,88,7,4
208415,80385,,,,80385,,,145,39,39,0,0,31,5,26,22,12,4,13,0,24,7,1,13,3,0
208433,,,,,,,,8,4,4,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0
208479,62669,,,,62669,,,50,13,13,0,0,7,1,6,14,5,0,0,0,11,0,8,3,0,0
208512,37500,,,,37500,,,49,24,24,0,0,2,0,2,2,2,2,0,0,17,0,3,14,0,0
208637,,,,,,,,24,8,8,0,0,5,0,5,3,3,0,0,0,5,1,2,2,0,0
208646,73479,89862,82862,64572,62068,57774,69458,385,143,143,0,0,10,1,9,32,53,23,33,3,88,28,0,45,15,0
208725,,,,,,,,23,5,5,0,0,3,1,2,2,1,1,0,0,11,2,0,9,0,0
208822,75418,91071,72617,68604,,,,681,322,322,0,0,66,5,61,46,41,24,77,2,103,23,0,64,16,0
208859,,,,,,,,6,4,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
