UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
487588,R,9900,A,,A,,G,330,A,,G,330,A,,A,,2
487597,R,54312,A,,A,,G,1810,A,,G,1810,A,,A,,2
487603,R,14876,A,,R,2591,G,496,G,108,G,496,G,108,A,,2
487621,A,,R,25468,A,,G,28,A,,G,28,A,,A,,1
487649,A,,A,,R,3996,A,,G,167,A,,G,167,A,,-2
487658,R,3416,A,,A,,G,114,A,,G,114,A,,A,,2
487676,A,,R,171019,A,,G,190,A,,G,190,A,,A,,1
487746,R,1320,A,,A,,G,44,A,,G,44,A,,A,,2
487773,A,,R,26738,A,,G,30,A,,G,30,A,,A,,1
487791,A,,R,561860,A,,G,624,A,,G,624,A,,A,,1
487807,A,,R,110792,A,,G,123,A,,G,123,A,,A,,1
487816,A,,R,9871,A,,G,11,A,,G,11,A,,A,,1
487852,A,,R,13000,A,,G,14,A,,G,14,A,,A,,1
487861,R,6939,A,,A,,G,231,A,,G,231,A,,A,,2
487889,A,,R,61638,A,,G,68,A,,G,68,A,,A,,1
487904,A,,R,35520,A,,G,39,A,,G,39,A,,A,,1
487922,A,,R,64620,A,,G,72,A,,G,72,A,,A,,1
487959,A,,R,73350,A,,G,82,A,,G,82,A,,A,,1
487968,R,71,R,43200,A,,G,50,A,,G,50,A,,A,,3
487977,R,41332,R,58056,A,,G,1442,A,,G,1442,A,,A,,3
487995,R,2250,A,,R,2664,G,50,G,74,G,50,G,74,R,47,2
488004,R,1470,A,,A,,G,49,A,,G,49,A,,A,,2
488013,A,,R,170052,A,,G,189,A,,G,189,A,,A,,1
488022,A,,R,47920,A,,G,53,A,,G,53,A,,A,,1
488031,R,1395,A,,R,367,G,47,G,15,G,47,G,15,R,148,2
488059,R,12149,A,,A,,G,270,A,,R,353,A,,A,,2
488077,R,131450,A,,A,,G,4382,A,,G,4382,A,,A,,2
488110,A,,R,66023,A,,G,73,A,,G,73,A,,A,,1
488129,A,,R,27898,A,,G,31,A,,G,31,A,,A,,1
488138,A,,R,101142,A,,G,112,A,,G,112,A,,A,,1
488147,A,,R,68253,A,,G,76,A,,G,76,A,,A,,1
488174,A,,R,42000,A,,G,47,A,,G,47,A,,A,,1
488183,A,,R,18264,A,,G,20,A,,G,20,A,,A,,1
488192,A,,R,52932,A,,G,59,A,,G,59,A,,A,,1
488217,A,,R,87177,A,,G,97,A,,G,97,A,,A,,1
488226,A,,R,21310,A,,G,24,A,,G,24,A,,A,,1
488253,A,,R,38216,A,,G,42,A,,G,42,A,,A,,1
488262,A,,R,24091,A,,G,27,A,,G,27,A,,A,,1
488271,A,,R,89045,A,,G,99,A,,G,99,A,,A,,1
488280,A,,R,41400,A,,G,46,A,,G,46,A,,A,,1
488299,A,,R,23184,A,,G,26,A,,G,26,A,,A,,1
488305,R,2779,A,,A,,G,93,A,,G,93,A,,A,,2
488314,R,3960,A,,A,,G,132,A,,G,132,A,,A,,2
488332,R,3650,R,79000,A,,G,209,A,,G,209,A,,A,,3
488350,R,4530,A,,A,,G,151,A,,G,151,A,,A,,2
488369,A,,R,66680,A,,G,74,A,,G,74,A,,A,,1
488378,A,,R,97900,A,,G,109,A,,G,109,A,,A,,1
488387,R,360,A,,R,5382,G,12,G,224,G,12,G,224,A,,2
488396,A,,R,50000,A,,G,56,A,,G,56,A,,A,,1
488411,A,,R,122459,A,,G,136,A,,G,136,A,,A,,1
488420,A,,R,110416,A,,G,123,A,,G,123,A,,A,,1
488439,A,,R,162858,A,,G,181,A,,G,181,A,,A,,1
488448,R,3170,A,,R,1296,G,70,G,36,G,70,G,36,A,,2
488527,A,,A,,R,1380,A,,G,58,A,,R,46,R,771,-2
488554,A,,A,,A,,A,,A,,A,,A,,R,662,-2
488563,R,360,A,,A,,G,8,A,,G,8,A,,A,,2
488572,A,,A,,A,,A,,A,,A,,A,,R,387,-2
488590,A,,R,13020,A,,G,14,A,,G,14,A,,A,,1
488651,A,,R,180400,A,,G,200,A,,G,200,A,,A,,1
488679,R,112732,A,,R,88203,G,3758,G,3675,G,3758,G,3675,R,248,2
488721,R,7167,A,,R,6525,G,239,G,272,G,239,G,272,A,,2
488730,R,106455,A,,A,,G,3549,A,,G,3549,A,,A,,2
488749,A,,R,129450,A,,G,144,A,,G,144,A,,A,,1
488776,R,6694,A,,R,2481,G,223,G,103,G,223,G,103,A,,2
488785,R,5599,A,,R,458,G,187,G,19,G,187,G,19,A,,2
488800,R,10450,A,,R,4092,G,348,G,171,G,348,G,171,A,,2
488837,A,,R,99120,A,,G,110,A,,G,110,A,,A,,1
488846,R,498138,A,,R,94110,G,16605,G,3921,G,16605,G,3921,A,,2
488891,A,,R,179643,A,,G,200,A,,G,200,A,,A,,1
488907,A,,A,,R,1799,A,,G,50,A,,G,50,A,,-2
488916,A,,R,108900,A,,G,121,A,,G,121,A,,A,,1
488934,A,,R,2375528,A,,G,2639,A,,G,2639,A,,A,,1
488952,R,2640,A,,A,,G,88,A,,G,88,A,,A,,2
488961,R,3540,A,,A,,G,118,A,,G,118,A,,A,,2
488970,R,1950,R,1824,A,,G,67,A,,G,67,A,,A,,3
488989,A,,R,114834,A,,G,128,A,,G,128,A,,A,,1
488998,A,,R,122955,A,,G,137,A,,G,137,A,,A,,1
489122,A,,R,48548,A,,G,54,A,,G,54,A,,A,,1
489131,A,,R,57573,A,,G,64,A,,G,64,A,,A,,1
489140,A,,R,70989,A,,G,79,A,,G,79,A,,A,,1
489159,A,,R,145030,A,,G,161,A,,G,161,A,,A,,1
489201,R,130890,A,,A,,G,4363,A,,G,4363,A,,A,,2
489238,A,,R,164698,A,,G,183,A,,G,183,A,,A,,1
489247,A,,R,38551,A,,G,43,A,,G,43,A,,A,,1
489256,R,6510,A,,A,,G,217,A,,G,217,A,,A,,2
489283,R,26460,A,,A,,G,882,A,,G,882,A,,A,,2
489335,A,,A,,R,508,A,,G,21,A,,G,21,A,,-2
489344,R,7629,A,,A,,G,254,A,,R,212,A,,A,,2
489353,R,20580,A,,A,,G,686,A,,R,572,A,,A,,2
489371,R,8634,A,,A,,G,288,A,,G,288,A,,A,,2
