UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
147660,80487,98471,79742,70573,48000,53650,.,484,217,217,0,0,10,7,3,88,11,12,70,7,69,18,3,36,12,0
147679,71454,78172,69536,63263,.,.,.,438,203,203,0,0,53,4,49,89,19,8,30,3,33,27,0,6,0,0
147697,.,.,.,.,.,.,.,10,0,0,0,0,2,1,1,5,3,0,0,0,0,0,0,0,0,0
147703,86606,109626,93288,87926,50353,.,64299,2736,932,918,13,1,237,44,193,150,204,206,169,21,817,311,0,451,18,37
147767,168344,224600,133959,111878,.,80966,.,10735,3725,2520,1205,0,288,177,111,249,1785,1986,359,118,2225,149,5,1764,307,0
147776,79099,98933,84398,78406,51893,.,45775,880,335,335,0,0,81,13,68,131,84,38,19,4,188,72,0,95,20,1
147800,89691,103146,80234,71890,67544,.,65851,664,306,306,0,0,52,8,44,25,35,36,65,1,144,68,11,65,0,0
147819,.,.,.,.,.,.,.,6,3,3,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0
147828,64893,74974,62432,54036,.,.,.,522,177,177,0,0,20,9,11,58,16,42,45,6,158,49,32,61,16,0
147916,80439,94226,79636,78092,50925,.,.,482,217,217,0,0,29,8,21,24,28,32,55,0,97,53,16,28,0,0
148007,82502,92059,73799,69094,.,.,.,318,123,123,0,0,28,3,25,29,9,13,32,0,84,21,0,53,10,0
148016,76305,89645,74196,68893,62687,.,.,282,58,58,0,0,9,5,4,30,24,16,44,1,100,52,0,19,23,6
148098,.,.,.,.,.,.,.,5,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
148131,53259,59806,58578,48085,.,.,.,188,70,70,0,0,1,1,0,23,1,7,44,5,37,5,7,25,0,0
148256,67553,75046,55857,.,52877,.,38819,215,62,62,0,0,19,0,19,35,11,14,25,0,49,25,1,17,6,0
148292,66141,69783,71139,63658,58853,.,.,209,71,71,0,0,13,0,13,36,13,11,26,0,39,14,10,15,0,0
148380,69126,77383,66282,62176,58585,.,.,461,185,185,0,0,11,5,6,51,15,21,77,0,101,32,0,69,0,0
148405,58517,63330,57350,58853,.,46300,.,209,111,111,0,0,2,2,0,30,9,5,23,3,26,2,0,24,0,0
148487,79378,98023,75808,75111,.,61053,92698,640,309,296,13,0,116,5,111,84,17,9,46,1,58,26,0,24,8,0
148496,68114,76560,61809,65085,54405,61600,.,514,228,228,0,0,44,10,34,48,23,17,40,3,111,15,0,86,10,0
148511,114024,149133,129709,116655,79560,63230,126017,1570,1187,1187,0,0,10,6,4,111,29,39,19,32,143,48,26,69,0,0
148575,66949,85655,71505,63494,57664,.,.,63,41,41,0,0,3,2,1,4,10,0,2,1,2,0,0,2,0,0
148584,70765,88545,71282,60846,60369,.,.,313,146,146,0,0,21,5,16,33,8,11,36,3,55,16,0,29,6,4
148593,74379,90362,76295,71823,.,.,.,25,16,16,0,0,7,0,7,2,0,0,0,0,0,0,0,0,0,0
148627,72026,86239,74489,73432,.,61731,61243,504,211,211,0,0,39,0,39,24,20,26,59,7,118,54,0,56,6,2
148654,79276,97478,81862,76636,53903,.,.,743,237,237,0,0,36,4,32,116,46,36,52,1,219,67,0,123,20,9
148672,64706,69769,67947,57468,68823,.,.,172,63,63,0,0,11,3,8,21,14,8,22,0,33,18,4,11,0,0
148821,66989,.,.,.,.,.,66989,121,47,47,0,0,5,1,4,8,3,6,30,0,22,4,3,14,0,1
148876,54371,54371,.,.,.,.,.,101,34,34,0,0,27,0,27,16,13,8,0,0,3,0,0,3,0,0
148885,52785,76090,47325,56792,26444,.,.,105,13,13,0,0,4,4,0,19,16,4,1,0,48,26,0,15,7,0
148937,60549,.,.,.,60549,.,.,102,36,36,0,0,8,2,6,5,8,7,15,0,23,4,7,12,0,0
148955,.,.,.,.,.,.,.,4,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
148982,82300,.,148500,38400,60000,.,.,43,15,15,0,0,5,1,4,6,3,1,1,0,12,5,2,3,1,1
148991,60905,.,.,.,.,.,60905,128,42,42,0,0,4,1,3,17,4,9,26,0,26,4,2,20,0,0
149028,69116,90974,83827,72395,57801,.,.,44,29,29,0,0,2,0,2,5,1,0,1,0,6,0,0,6,0,0
149204,.,.,.,.,.,.,.,8,3,3,0,0,0,0,0,2,1,0,0,0,2,0,0,2,0,0
