UNITID,FTE12MN,UNDUP,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
137591,216,471,471,220,0,251,0,0,405,206,0,199,0,66,14,0,52,0,0,1,10,17,0,66,4,2,0,82,0,1,10,17,0,66,4,2,0,82,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
137713,169,323,323,216,0,31,76,0,68,59,0,9,0,255,157,0,22,76,0,0,15,12,3,67,2,0,0,64,0,0,15,12,3,67,2,0,0,64,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
137759,8618,15478,15478,3437,753,9003,2285,0,8265,2669,475,4452,669,7213,768,278,4551,1616,0,2,32,17,0,44,3,1,1,58,0,2,32,17,0,44,3,1,1,58,.,.,.,.,.,.,.,.,.,.,74,14,12,74,14,12,.,.,.
137777,31,32,29,8,4,17,0,3,29,8,4,17,0,0,0,0,0,0,0,0,0,0,0,78,0,0,22,0,0,0,0,0,0,86,0,0,14,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,100,0,0,100
137801,665,727,727,381,86,260,0,0,699,376,80,243,0,28,5,6,17,0,0,2,26,37,0,25,5,4,0,54,0,2,26,37,0,25,5,4,0,54,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
137847,9822,10734,9520,2470,993,6034,23,1214,9230,2409,902,5915,4,290,61,91,119,19,0,2,4,12,0,59,2,13,8,60,0,2,4,12,0,60,2,14,7,59,0,2,7,13,0,49,1,11,16,62,1,25,74,0,27,72,5,8,87
137856,175,284,284,119,0,101,64,0,152,83,0,68,1,132,36,0,33,63,0,1,16,4,0,76,3,0,0,42,0,1,16,4,0,76,3,0,0,42,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
137865,246,381,381,105,0,276,0,0,381,105,0,276,0,0,0,0,0,0,0,2,14,7,0,71,5,0,1,38,0,2,14,7,0,71,5,0,1,38,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
137953,342,487,461,87,90,209,75,26,290,78,64,148,0,171,9,26,61,75,0,2,22,10,0,59,3,2,1,46,0,2,22,11,0,59,3,2,2,45,0,4,23,0,0,65,0,8,0,58,39,50,10,38,52,11,73,27,0
137962,162,242,242,41,48,147,6,0,185,37,34,114,0,57,4,14,33,6,2,2,24,16,0,45,2,8,1,45,2,2,24,16,0,45,2,8,1,45,.,.,.,.,.,.,.,.,.,.,33,48,19,33,48,19,.,.,.
138187,34507,63498,63498,9527,4019,37365,12587,0,25955,5685,1794,13817,4659,37543,3842,2225,23548,7928,0,5,17,39,0,26,3,6,4,60,0,5,17,39,0,26,3,6,4,60,.,.,.,.,.,.,.,.,.,.,90,6,4,90,6,4,.,.,.
138275,847,1085,900,236,158,492,14,185,786,224,114,448,0,114,12,44,44,14,0,1,33,15,0,46,1,1,3,48,0,1,32,16,0,46,1,1,3,47,0,0,36,10,0,49,1,1,4,54,39,29,32,27,34,39,96,4,0
138284,311,441,441,355,0,84,2,0,279,209,0,68,2,162,146,0,16,0,1,1,17,3,0,75,2,0,0,48,1,1,17,3,0,75,2,0,0,48,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
138293,753,1107,1024,312,148,562,2,83,958,305,129,524,0,66,7,19,38,2,0,1,29,6,1,40,4,8,12,27,0,1,30,6,1,39,4,8,11,25,0,4,13,5,0,46,2,13,17,47,2,16,82,1,14,85,14,39,47
138309,8806,15345,15247,1210,4880,9139,18,98,5953,374,1744,3835,0,9294,836,3136,5304,18,0,2,21,16,0,40,3,17,0,86,0,2,21,16,0,40,3,17,0,86,0,2,15,18,1,48,3,12,0,85,78,21,1,78,21,1,100,0,0
