unitid,institution_name,year,enrollment_headcount_total,enrollment_headcount_undergrad,enrollment_headcount_graduate,pct_international_all,pct_international_undergraduate,pct_international_graduate,staff_headcount_total,staff_headcount_instructional,revenue_total,expenses_total,loss_amount,net_tuition_per_fte,state_funding,federal_grants_contracts_pell_adjusted,endowment_value,discount_rate,liquidity,leverage,cut_records,cut_types,latest_cut_announcement_date,financial_warning_count
179159,Saint Louis University,2018,17338,12116,5222,0.05438920290690968,0.03697589963684384,0.09479126771351971,5273,1804,892102449,892102449,0,24034.461795606498,0,33066651,1226095445,0.34561121364548153,0.5184801150866124,0.2654368730285567,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2019,16248,11095,5153,0.05834564254062038,0.03776475890040558,0.10265864544925286,5099,1714,854707476,854707476,0,24986.42852873792,0,38889854,1252677869,0.3548089198440464,0.4801497077248237,0.3107821854855735,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2020,14756,9802,4954,0.06207644348061805,0.04223627831054886,0.10133225676221236,5287,1741,748618498,748618498,0,,0,41598507,1197420728,0.3918372783039764,0.4478346489493226,0.34598812357148834,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2021,16316,11322,4994,0.04805099289041432,0.02985338279455926,0.08930716860232278,5314,1700,1182784135,1182784135,0,22110.8770257388,0,47702346,1524491919,0.4092021073424029,0.4778825809802393,0.29557330001218324,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2022,17128,11847,5281,0.05593180756655768,0.02717987676204946,0.12043173641355805,3858,1265,857454896,857454896,0,21609.477014419,0,52142306,1343808415,0.4297140807893488,0.4629442304559178,0.2852642159308546,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2023,17857,11844,6013,0.10091280730245844,0.02532928064842958,0.24979211707966073,3452,1334,947904627,947904627,0,21133.872137250142,0,47323225,1731282211,0.4399051662346631,0.536333399985103,0.22319828140819095,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2024,19321,11619,7702,0.19900626261580664,0.03253292021688613,0.4501428200467411,3341,1218,704482523,704482523,0,21348.454142567414,0,46607549,1879430141,0.45171549920864373,0.5391534936118563,0.21636540400614496,1,staff_layoff,2024-10-21,2
239716,Saint Norbert College,2014,2307,2212,95,0.02774165583008235,0.02893309222423146,0,651,181,88549726,88549726,0,16433.93177892919,0,344544,95986530,0.4062327342588858,0.41677328768083266,0.1915452644812494,1,department_closure,2025-03-17,1
239716,Saint Norbert College,2015,2244,2178,66,0.03119429590017825,0.03213957759412305,0,665,175,74512176,74512176,0,17880.71689284043,0,353014,105455661,0.4024401481430622,0.44905838855955554,0.14118589220074235,1,department_closure,2025-03-17,1
239716,Saint Norbert College,2016,2291,2176,115,0.02618943692710606,0.02711397058823529,0.00869565217391304,675,177,81069086,81069086,0,16922.687471317116,0,352104,99680103,0.43824238359379303,0.4585285247831626,0.13375986027418674,1,department_closure,2025-03-17,1
239716,Saint Norbert College,2017,2291,2162,129,0.02968136185072021,0.03098982423681776,0.00775193798449612,681,171,83291041,83291041,0,18888.27749885897,0,317288,108663766,0.406748327054314,0.4366330925869818,0.17560453645116192,1,department_closure,2025-03-17,1
239716,Saint Norbert College,2018,2249,2120,129,0.02801244997776789,0.02877358490566037,0.01550387596899224,682,169,112661125,112661125,0,19772.512160898037,0,303692,146337194,0.4069410355645085,0.4086919731282518,0.14722964263501057,1,department_closure,2025-03-17,1
239716,Saint Norbert College,2019,2302,2181,121,0.01998262380538662,0.02017423200366804,0.01652892561983471,697,167,75283706,75283706,0,19959.59675967597,0,276643,144427290,0.41801518054005415,0.4335020102554288,0.1333786829307947,1,department_closure,2025-03-17,1
239716,Saint Norbert College,2020,2170,2056,114,0.01751152073732718,0.01799610894941634,0.0087719298245614,655,153,73096524,73096524,0,,0,1106124,147176401,0.4280743858022984,0.43981796126625405,0.1254239416222492,1,department_closure,2025-03-17,1
