matched_unitid,institution_name_collegecuts,institution_state_full,in_financial_tracker,match_method,institution_control,institution_city,institution_url,tracker_institution_name,tracker_control_label,cut_records,cut_types,latest_cut_announcement_date,first_cut_announcement_date,total_students_affected_known,total_faculty_affected_known,staff_layoff_records,program_suspension_records,department_closure_records,campus_closure_records,institution_closure_records,teach_out_records,financial_warning_count,tracker_enrollment_pct_change_5yr,tracker_enrollment_decline_last_3_of_5,tracker_revenue_pct_change_5yr,tracker_revenue_decreased_5yr,tracker_revenue_10pct_drop_last_3_of_5,tracker_ended_2024_at_loss,tracker_losses_last_3_of_5,tracker_loss_years_last_10,tracker_net_tuition_per_fte_change_5yr,tracker_staff_total_headcount_pct_change_5yr,tracker_pct_international_all,tracker_international_enrollment_pct_change_5yr,tracker_federal_grants_contracts_pell_adjusted_pct_core_revenue,tracker_state_funding_pct_core_revenue,tracker_tuition_dependence_pct,tracker_endowment_value,tracker_endowment_pct_change_5yr,tracker_discount_pct_change_5yr,tracker_liquidity_percentile_private_nfp,tracker_leverage_percentile_private_nfp
212054,Drexel University,Pennsylvania,TRUE,collegecuts_institutions.unitid,Private non-profit,Philadelphia,https://drexel.edu,Drexel University,Private not-for-profit,1,staff_layoff,2024-11-19,2024-11-19,,60,1,0,0,0,0,0,3,-12.952670891004992,Yes,-7.407959030313373,Yes,No,No,No,3,-5.265587080526332,-7.590516449182136,0.107157381049207,-14.113428943937418,0.11690564692054792,0,54.184082896794315,1069294000,7.102403888306295,,,
198464,East Carolina University,North Carolina,TRUE,normalized_name_state_fallback,Public,Greenville,https://www.ecu.edu,East Carolina University,Public,1,program_suspension,2025-09-18,2025-09-18,,,0,1,0,0,0,0,3,-7.256150867990509,Yes,-1.6737507601413495,Yes,No,No,No,0,-12.503939160649894,-6.655764513491415,0.01057096687314839,15.867158671586717,0.02189342631964716,0.03439349156365855,16.590683722294184,320106984,22.73262061862689,,,
177418,Fontbonne University,Missouri,TRUE,collegecuts_institutions.unitid,Private non-profit,St. Louis,https://www.fontbonne.edu,Fontbonne University,Private not-for-profit,1,institution_closure,2024-03-11,2024-03-11,874,,0,0,0,0,1,0,3,-35.69570871261378,Yes,8.938871966375874,No,No,No,Yes,8,-27.670823214405495,-54.51713395638629,0.05055611729019211,-57.98319327731093,0.02481693937528545,0,34.2508839929134,4703993,-74.79489983727646,,,
212577,Franklin & Marshall College,Pennsylvania,TRUE,normalized_name_state_fallback,Private non-profit,Lancaster,https://www.fandm.edu,Franklin and Marshall College,Private not-for-profit,1,staff_layoff,2025-04-02,2025-04-02,,16,1,0,0,0,0,0,3,-18.455284552845526,Yes,-2.871287446954123,Yes,No,No,No,2,-8.474773136221616,-18.949536560247168,0.1694915254237288,-18.4652278177458,0.01342321070177539,0,42.492751487487055,467642341,-1.7599894389223718,,,
134945,Jacksonville University,Florida,TRUE,collegecuts_institutions.unitid,Private non-profit,Jacksonville,https://www.ju.edu,Jacksonville University,Private not-for-profit,1,department_closure,2025-04-10,2025-04-10,,40,0,0,1,0,0,0,3,20.469240716792907,No,-0.915540136118384,Yes,No,Yes,Yes,7,-12.25618625410406,8.962868117797695,0.04309155037570925,-16.61721068249258,0.00857251813526824,0,55.901130200995766,66101962,15.254690834426112,,,
117557,Lincoln University,California,TRUE,normalized_name_state_fallback,Private non-profit,Oakland,https://www.lincolnuca.edu,Lincoln University,Private not-for-profit,1,program_suspension,2026-01-05,2026-01-05,,,0,1,0,0,0,0,3,-4.447852760736196,No,3.2659068101178743,No,No,Yes,Yes,4,4.134711758386586,35.483870967741936,0.6934189406099518,-26.779661016949152,0,0,76.24668154156387,,,,,
198950,Meredith College,North Carolina,TRUE,normalized_name_state_fallback,Private non-profit,Raleigh,https://www.meredith.edu,Meredith College,Private not-for-profit,1,staff_layoff,2025-07-22,2025-07-22,,25,1,0,0,0,0,0,3,-16.748046875,Yes,-9.525116856448754,Yes,No,No,No,1,-24.434189843069596,-4.856115107913669,0.0281524926686217,65.51724137931035,0.0059509279809983,0,44.70951212637863,138962671,-2.1148303168557736,,,
147369,Moody Bible Institute,Illinois,TRUE,normalized_name_state_fallback,Private non-profit,Chicago,https://www.moody.edu,Moody Bible Institute,Private not-for-profit,1,staff_layoff,2025-08-01,2025-08-01,,,1,0,0,0,0,0,3,-28.559715769335885,Yes,-1.3044007254996663,Yes,No,No,No,5,-11.89591574022777,48.80546075085324,0.10290742157612852,-8.813559322033898,0,0,10.318962444294971,53980101,6.437565423931589,,,
209807,Portland State University,Oregon,TRUE,collegecuts_institutions.unitid,Public,Portland,https://www.pdx.edu,Portland State University,Public,1,staff_layoff,2024-12-13,2024-12-13,,17,1,0,0,0,0,0,3,-23.350285097857913,Yes,-19.28124322107132,Yes,No,No,No,2,-20.666899574946157,-7.773304428615671,0.05589287868430576,-38.38652482269504,0.01371144089434498,0.02925502696321373,23.561417277559368,123171915,3862.125893685392,,,
186131,Princeton University,New Jersey,TRUE,normalized_name_state_fallback,Private non-profit,Princeton,https://www.princeton.edu,Princeton University,Private not-for-profit,1,program_suspension,2025-08-14,2025-08-14,,4,0,1,0,0,0,0,3,3.692660550458716,No,-20.497778967582352,Yes,No,Yes,Yes,4,-22.99816033855218,17.501794687724338,0.23811103738111036,-1.6445865692096848,0.11084830454156362,0,5.585940613892188,33401865000,6.240104730624277,,,
151102,Purdue University Fort Wayne,Indiana,TRUE,normalized_name_state_fallback,Public,Fort Wayne,pfw.edu,Purdue University Fort Wayne,Public,1,program_suspension,2025-05-23,2025-05-23,,45,0,1,0,0,0,0,3,-17.12748344370861,Yes,-14.318711453189335,Yes,No,No,No,2,0.04386696374033372,-7.720320466132556,0.05533912696034362,63.905325443786985,0.00412963013547927,0.06731359646860978,34.978484840679386,83749624,13.187780718403202,,,
123572,Sonoma State University,California,TRUE,collegecuts_institutions.unitid,Public,Rohnert Park,https://www.sonoma.edu,Sonoma State University,Public,1,department_closure,2025-01-22,2025-01-22,,46,0,0,1,0,0,0,3,-35.37644787644788,Yes,-17.379450147991648,Yes,No,No,No,4,-13.177342711741083,-18.7593423019432,0.00716952949962658,-83.6734693877551,0.00470252602269314,0.03512598430637594,13.320905344245404,51580176,7.570722806585891,,,
149231,Southern Illinois University Edwardsville,Illinois,TRUE,normalized_name_state_fallback,Public,Edwardsville,siue.edu,Southern Illinois University Edwardsville,Public,1,department_closure,2025-03-18,2025-03-18,,5,0,0,1,0,0,0,3,-8.996004639773167,Yes,-11.747979846147686,Yes,No,No,No,2,-13.376441350074666,-8.454692556634305,0.08306188925081433,144.375,0.02507823714997751,0.02141907112087772,27.006445099932325,40186050,23.311107431299188,,,
