cut_id,program_name,cut_type,announcement_date,institution_name_collegecuts,institution_city,institution_state_abbr,institution_state_full,institution_control,institution_unitid,matched_unitid,match_method,source_url,source_publication
discovered-8223722aa40613c3,Abbott plans 195 layoffs at Solano County plant tied to discontinued ZonePerfect nutrition bar brand - The Press Democrat,staff_layoff,2024-04-10,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiywFBVV95cUxNRUQ5SDB6SDhCVUtYLUE1NGFKQ2lMdGlWa0hFcTllNC1uUkVMelUzNF9aWWF4dHBnRkg0RVg4Mlp6c0VFZy1LdTR6cUhIRTZuQVltNk5TVzlWQ3Y0S0Jtd005MmVWYUg5VGEyWVVFbHo5UlplcVVxWS1tWXhMVlZNWDFhOGFNSDgtV1pUQ0JqNGl1QXBaU2kzUTVJN3hkT2NEXzh3VjFEeldjRFYtYVNTWjFwUDAtRkRic18xeUJrYzVaV3MtRzJSSFRuZw?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Press Democrat
discovered-34425605c13bdfb4,UTD students say DEI layoffs send mixed signals - FOX 4 News Dallas-Fort Worth,staff_layoff,2024-04-11,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMingFBVV95cUxQVndjVTlSMjhuUTZpRnIxQ1NFc1EzX0hxakZvaVF5SU1uVFdGb1lBYVJUU3lZRnpSbWZSN2xmUVAtX1hXNFhqdExqeWhYZnJVeHRNWkRRRUFVLVNCaGRFdVN2Wm12QThHMDYySEwxck01bE1aanFZdENiVGNfR2tfb05nWEw5WU1KMkNNODFIcDlnb1RPMG1aZ1BVWk5rd9IBowFBVV95cUxPcVdoLUVkSHkzak03a09hTlNsenlQZHQ5dE1iemQxTTNtNjUtQmV0WkxtS2FBRHR0aktsYnFqWXBFMnRxZGhYQXNnT3Zqdzk2WGtKWUxNSDBZY0VjNW9ORG1tcW11ejdyaTl6X2ozcXNqV0dUa01PZ2c2b1NWbTh0SlBwb2RQdVFFN0kyR1YwOVpJLURQMmZOY3RiZF9sNVRNRFdZ?oc=5&hl=en-US&gl=US&ceid=US%3Aen,FOX 4 News Dallas-Fort Worth
discovered-fb7f404be810dc55,‘Without warning’: Local leaders confirm 66-plus UT staff laid off under DEI ban | Central Austin - Community Impact,staff_layoff,2024-04-11,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMi0wFBVV95cUxOLWI4NVpadm0xTHkxZ3ZjSWdLUEU1Qll4V1VmUHVvb1lXMEZqTEQ4Rmd3NjVmcmI2dHdib2NBMjRaZUszLUVxa1dUeTl2bFNhN2JTNEdPZ3p4MFhPUTVpQ0FwYktKbDhhV3BuTHRHOXZlNFRhZEJhVjVtN0pqcUJ4dUZuM0ZBNzJSZ1NwOVNmZXdCWXNzWk9rLUV3Y0laSjcxcHBxOFRZMGhUS2F2X3ZwbUVUM1FCb1VxaE8wWmlDVzBSb2pUaXRVVmpveTVZUzVfaFBF?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Community Impact
discovered-1bc5705a5c0a5c11,UNC Asheville announces 'limited' layoffs amid $6 million budget shortfall - WLOS,staff_layoff,2024-04-12,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMilgJBVV95cUxORWxodGlvd2IxVkdYMXA3ZzgwbjNfTk93amdLRlhnLXlKRWJpMDRHSEFGRGxyUTFNaEdLc01vOVJoWk5jRnZyVnRYM2tHTDJSdkZOY0JKNmVfNWQwNG8wSEtwODI2SFZsbEZ6YXAtZUlLQnVGaU9UeUZHbjZQR3ROTF8xSVlyOVZMQUlPLVJRNC0yZVJpUWgxTEE2ZDh0bXBlUUJrN1JUWnZiZWdaLW5qN090NFFERGZkQzNyX2xxVmh3QnZzdnlTdXBOTkhPSEdXZ1Z5d1V2dFBYRmJJZklDTng1Z3k3blBXY2FjaTd3cUh4VkZsRncyXzczWGtWcHZ2RjhaaW1hTFhLYTZNRjBjbkxDS0JqQQ?oc=5&hl=en-US&gl=US&ceid=US%3Aen,WLOS
discovered-284d69d6534b7122,"Hartzell addresses DCCE closure, layoffs, Gov. Abbott’s executive order regarding anti-semitism, Islamophobic incidents at faculty council meeting - The Daily Texan",staff_layoff,2024-04-15,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiiwJBVV95cUxNSHVkMC1CY3JuYUdrOU1wV0s4a3VMUUJUd1FWYnkycU03aURIN25oS2QtR3YydXg3bXVVQzlwV3lWWkNxd3k3dVpJQlItbm1zZW05enU4Um9oOEREaWZmLW1EeWpkdnlPa2hSR1NvTU9fLV91NmU3SG50djYwampzaFREYXlUM1dldDRBMmJXekV5bEd2WUFnQnFtSVhXb0h6eFlKUjR5VXB0VURnbTh3ZzdSRGRyQ01FZ255RVoxLUlmR09tRi0wYUo4QnJldHB5ZTdlaVFodjdUcHFXMWQ4Q3EtdjhtZ3JPMmQ2a2VyOWtSakhhYXRiZlhaanAxZ3dPMkotQUJHZXhLR3c?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Daily Texan
discovered-144d2e794443f7f8,UT Austin says it laid off nearly 60 people on April 2. Most came in response to Texas' anti-DEI law - KUT,staff_layoff,2024-04-16,,,,TX,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMizAFBVV95cUxQY1lwSW9JQ0dIVlZIcndSVVRtNlNKLUZzZmxrR2dLMy1pcVVCMXVJN1J2X3V6cXVjX051dUxQNWxNWWtvMk43azRDUHdzWTBQZlFLZ2d1RzJLVlI1VnE4empVRVgzbGF5ZHdDSXhGRXBrbE9Vc1JVbEdEcXVFUWxLdDNvbFZHZkhVYUpzMkVISm81dmdVS20wQ3RadGNuR1VILW5nYWtaekI5QkxZUldtM1BsREpKdnlWZXJSUWZQRk5rbHRYY09pYXJzdWw?oc=5&hl=en-US&gl=US&ceid=US%3Aen,KUT
discovered-64eaa3c6ef107d14,"Google announces more layoffs, plans to relocate jobs overseas - San Francisco Chronicle",staff_layoff,2024-04-17,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMifkFVX3lxTE9qNTBkSzhPT3lWV3hseHljWm9nYmRJOEhld2t3NjBXRENhQnNiRzBTZGNCbEl0UUZEY1E0Q1pfVkd0THMtdXl0MnlXM1hqNzg4dVJjZ19NS3NlaVNFNkdhSTFwOGdnb0R6OEZvS1NBaXpoaFdsTjlrcXFLbVpwUQ?oc=5&hl=en-US&gl=US&ceid=US%3Aen,San Francisco Chronicle
discovered-2edc64fed70324cb,UT Austin students protest school’s DEI layoffs amid state ban - NBC News,staff_layoff,2024-04-18,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMipgFBVV95cUxPQU9jcE9fNzUweUpKMi1XbjlDQnBNN3lxR3E0enBVWk42WnBwRUVOZmlvNnM5VWh2WWZaUTVmZ1F4TUFOWllrXzVaMThYRGtyMlRkaWxjVHZXUTBjQmdrTWVyaUx0d3JFOWo3ay1DWnhKNV9nWXdxcjU3TmQ3M1BZRGMtS3Jzc1RiSUdiNlpvUUpSTGt6MUxVaVhpazZyUUlsZTVsMTVB?oc=5&hl=en-US&gl=US&ceid=US%3Aen,NBC News
discovered-7b67d39e198b9562,Over 100 San Antonio employees to be laid off from airbag maker - MySA,staff_layoff,2024-04-18,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMikgFBVV95cUxOWGlsZmh3YTlpM1ZlYU1NSzhwYXhvU29udXlia3gyc1B4dXJZdFdCRVIwSTdYWnN6eTFjaXN3blE0ZDFlWE12aG1RRDIwbVJ5eHRNaEdSZlBSdnVpdTBjdm0xYlZXZlJJdG9OYzdQdjJOUDdYRWtvTXBfeFkyWkh6OHRadEtDd2VxMjdIWXliMHlRdw?oc=5&hl=en-US&gl=US&ceid=US%3Aen,MySA
discovered-d0ef38a200e2f7df,Nike says layoffs will impact 740 at Oregon headquarters - OregonLive.com,staff_layoff,2024-04-19,,,,OR,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiogFBVV95cUxPdGEwVFZZMVRjZk1qMFVPQlA4NFE0T01aMEdJcDNTQ1k0UXJsTjZEclFOY2dkeGdrU0l0bzBXMlhZS0hCcGVIRURscnNGNElOMVFpTzBMd20tSDZkX1BiQlM4VnRNeVkwem5mTDFYNEs3MjJ6RTRIeUsyZlBFOTVzcFNaNWZNLXBqRl9nN2hSeUZlNXl6OVJQQVJrTnNiZTVCU0HSAbYBQVVfeXFMTk5LUXNPZjNxMXVJZHBMOXMzX0x4OWlaN2czS0hzaEhwNjlWNjBWUmh6Q2w2enF4YThiNzBxTXNMOURkUTBkRkJqaTBMLVJFZTNCVWlSM3RTTG1rRENKYXZ0blRyTEl1bW4wU0RwRHNNRzBkdXdVX2NIczN1VTAzMUhQZTRRWlVKSjdGRDZJOGttdUEyWjd2bjhaa2VQenYyMXFkMXFNZlkxRnpIQmdEcklTTXJxOGc?oc=5&hl=en-US&gl=US&ceid=US%3Aen,OregonLive.com
discovered-a74e770c672211ef,‘I still am grieving’: Staff move forward following University layoffs - The Daily Texan,staff_layoff,2024-04-22,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQQ2JnYkVUci01eDVocHI2d0p4WWl3QWxoUmhtZ2plQTY0bGcwRHExWXBZZVJ6RnJFQzRfLWtJdU5VZE12RndpYWJTX3g5UEx2aVdkRWoxREtoNGZvdEVwdUNRR2xiblNSOHU2NlFLVUZEZk92X3FoenJQTS0xbllGTjcxM0tmcENPTGowWnhqNl9SSncydDRGVE8zWk5XNjFaVFhXMnY0dlM?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Daily Texan
discovered-9f37f34e1a5f8fc7,Expedia to make second round of layoffs in Austin this year - The Business Journals,staff_layoff,2024-04-24,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMikgFBVV95cUxNeWVCUmlLamFkelpUMlBsNUdxT0drbDlUczNBS0swTkxwNF9xbHJ1UWtPNWNiUktsTTBudFlSdEsyUWNBRnNIN1VYZlk1VlhVNnNzSXJ6YjhWTnhiR0ZOTGFsZkx3aS1sOVlmOTBlaHZRdXh5QTQzVHNsMFg2anZPQVBrbVpzVkw0ajdpSFZJOXNFdw?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Business Journals
discovered-c0dc5de5e628a7b7,WBUR Announces Buyouts & Layoffs As Part Of Cost Cuts - RadioInsight,staff_layoff,2024-04-24,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMimgFBVV95cUxNQjA5TVZKT1JPZWtMYWZjNjBBWGF1VU5zQXNKQUw2b2pjNUNpc1JHYzBfVFF6OUFmazZQTXFGNWtqei1yejB4c2tLaDBfTW1nRTZ3UE44RXQwU3lPUXAxTVF2MllDN19EVFYyVktmSkF5T3E2ZjFSeXRyOTZURmRmRGhTUUlmdFVvWi0yRGVYUDVfaDlrYUFUcV9R?oc=5&hl=en-US&gl=US&ceid=US%3Aen,RadioInsight
discovered-282e0a69215333a4,"Hiring freeze, reluctance to work at small firms: Young South Koreans’ difficulties in getting a job - CNA",hiring_freeze,2024-04-26,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOeDlzdjM1MU1xTWNzSk1pQ0RVUGlZQTZ4VnUtZ2lJWTg1djRsNGNHWVpuNzZiUnNWM1UwTTVZeG5ncTltYWhldU15VzBlamxYU2VHRTRhTDI3MklfRmRLTVR4Wml3Wk9yWTg2bW9TeTJXVTJMQmJ2SzRSOWZjWDVEZlFKcE1iOVdVa0ZwWFdkSUNiejZPY0RPd011cmxmMHVYMWN1OFVZN1UxUQ?oc=5&hl=en-US&gl=US&ceid=US%3Aen,CNA
discovered-0c99cfd68c6c6902,Cuts on campus: How enrollment in public and private colleges is leading to layoffs and closures - Cleveland.com,staff_layoff,2024-04-27,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNelNXSGJJQWpJeE15ZzAyVldpMkRsT2lZR2hKWHBnZHp5Ylk4VG5NYmlrTUhGY2Fjb0pZeHJLd09IbWtZYVBJd1pOSVhPMlVjRnN0WEUwQjJ6ZG9kanpQVzdNbzZKM05OYmN2RmI5VUtnaXI4RU80Z0Myc0hRSENybmtRZEk0WjBpMy1ab3o2MzIxYWI5dWhQQTVjMzN4WGlNb0hQdi1KcHB0bUM3eTdGM3o0WnpyakQ0WEQ5UjJBbzRFZDFEWldvVDgzdkE1bjJtaHcwc0xB0gHqAUFVX3lxTE5HMnZhcFV1MXQwRzIzZE05bmFuekg0bmVMTEhlMVJYNXRSQmM0UUFueUxwNzc0UzRmY1ltandjeE5LcGtNRndBZzdrM2QxRWRMNmhqSWx2c0JnLXAzbnhQdG16bHNfUWhINnlXMXY4S09VWHRfNE92RlVfdFI4T3cxQ29ZN2k2LW1fRGFOUi1OYWI3b0JYNUZNNl9SbXQ3Wi0tQ0ZHMjZFQUlXT29HSXRucGFsVmg4VWRQV1ZkTWRycWZ1WXVJZzEwVjZXdzNoU01pNEpxYXJ1LWNJVHR6SjNJRThRV0V3R3FWUQ?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Cleveland.com
discovered-5c05696c4305614c,"Plant closure, 350 layoffs could have wide-ranging impact - St. Cloud Live",staff_layoff,2024-04-27,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMimAFBVV95cUxObGFiRTNSSDlJRkJuZjRod2stTjI0UGh2WnMxWnpsUzRXUWxhS2dmZ3VKbmJDamVnTkZZTE9CX1pSVkFHdkphQXlKYVpKVHhZTmpxNGRJY0w3NHFLbTlSYmZYVUFwMndvLXNCRC1saXRTdnY4eHVlSDQ2VzFfQ3g2YWs0cnhLNVJxcnB2WVVhVDc2blZoQmIwMg?oc=5&hl=en-US&gl=US&ceid=US%3Aen,St. Cloud Live
discovered-36c75e05393ad9fc,Schwan's delivery trucks are an American icon. But layoffs and a new name may shake that image - KCUR,staff_layoff,2024-04-29,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMifEFVX3lxTE01aUFJWE9GRFF5bVlxT3lSWVppZ01UZ3RwOU1RWTVuNXJ1UXJkOGd4UUpQSHIxUU02Rnl6TktuRFQ4dmN1Qk43aFN3LWdxZTVlVTBLS1VCR2RCa1pzbmtPa3lHQ3FSTmNTSGVVc2c4dnNYcjBtejJneUVHbmU?oc=5&hl=en-US&gl=US&ceid=US%3Aen,KCUR
discovered-773353cd78a0800a,"Another upstate college is closing, with one week's notice - Times Union",campus_closure,2024-04-29,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQdkswd3E4ZUtCSlpZY3pBU090eFFORHVRcW1udEFiUngxc0dTbE9VQ0xzZ2sxdnZVRklPMzNnTU1IWXVBUXczVHphVWVlLUN0ejItb3YtcHBxS2tpbVpib0JERDJ6M092RFk4WmxNXzJ0QmRib2gteFA1bTQ3dEoyLWhiQlAwU3VmRi1ZRk0tU005UHJ2cUxIUllCUTljWnRCZVRvNHZPdkctcWc?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Times Union
discovered-a8c18d10a5f1cf53,"Saint Rose students express confusion, sorrow ahead of private institution's upcoming closure - WAMC",campus_closure,2024-04-29,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMixwFBVV95cUxNQXhfaW5uYU9MbE5Fal96Rk9MaDhYNVUyQVcyeVZTOVZVQWRJcVNvbTNkbm5Ndm5wUU8wclZ5SkV2TFRhWnVQRDIwdkxaNWU1SDYxS2hrdXVQamVJMUdIU2VmTjVtZlB0MDhKMTZSZDRBZ1lxUmlET1J5LWRuMk9oRWplbXVEUF9OT3N1UU5mOVBGaHNCalp0LW8tY21WazhHX3NCOUxnclhZY0V1YjVWc19nSTJnS2lTTDJWWnBNZkl3TkdqZVdv?oc=5&hl=en-US&gl=US&ceid=US%3Aen,WAMC
discovered-0d7c680d670121e6,"Nine Wisconsin companies, including CNH Industrial, announced layoffs in April. About 890 workers affected. - Milwaukee Journal Sentinel",staff_layoff,2024-04-30,,,,WI,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOX3lqZVBiTkRvMjd3eHFOWXEtM3pNcWtUUkEtdkc1UkFmeE9wM0h3SUZITEwzR0JEejZyZ0VRQkVvSEVtNG04UmxXSTVVMW9tNmp5R1V2RHQ3UnZ6a1Mwa1AybC1mUkJVaHBrWUE5ZVJ5YjhvdEFDdEl0NWMyLUQzalhvU2gxNUJlb0dtbHAxNFZjRy1tdXRtQk9oSmRPR1p2dkl0ODI1bGk0OTN5X3NXNHhpaHJ2VXJncDBXNFc0WjZMX242TGk4WHdqX2JCOVZrcnc?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Milwaukee Journal Sentinel
