UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
235316,7263,8130,5453,7166,964,1240,202,3756,255,2677,5140,1240,199,3642,59,2026,313,0,3,114,196,651,1,6,2,11,0,62,6,6,5,58,1,7,1,12,0,64,7,3,4,54,1,4,3,9,0,59,4,13,7,65,13,28,59,1,27,72,37,31,32
235334,1307,2157,2157,1239,918,395,205,919,638,0,1239,274,107,523,335,0,918,121,98,396,303,0,3,2,4,16,0,58,8,9,0,51,3,2,4,16,0,58,8,9,0,51,,,,,,,,,,,22,43,35,22,43,35,,,
235343,5766,9349,9349,4700,4649,1382,804,4181,2982,0,4700,729,316,2100,1555,0,4649,653,488,2081,1427,0,1,14,8,13,1,35,8,9,10,52,1,14,8,13,1,35,8,9,10,52,,,,,,,,,,,23,55,21,23,55,21,,,
235352,135,168,168,168,0,51,0,117,0,0,168,51,0,117,0,0,0,0,0,0,0,0,2,8,12,19,1,48,2,10,0,80,2,8,12,19,1,48,2,10,0,80,,,,,,,,,,,0,0,100,0,0,100,,,
235422,792,980,881,782,198,171,142,568,0,99,734,144,114,476,0,48,147,27,28,92,0,51,12,1,1,69,0,14,1,2,0,75,13,1,1,73,0,9,1,2,0,75,0,6,2,28,1,59,1,3,0,75,13,37,50,7,39,54,67,24,9
235431,3842,7048,7048,3161,3887,1121,815,3300,1812,0,3161,530,276,1323,1032,0,3887,591,539,1977,780,0,0,19,20,19,1,23,8,5,5,64,0,19,20,19,1,23,8,5,5,64,,,,,,,,,,,26,54,21,26,54,21,,,
235501,526,526,526,526,0,319,0,207,0,0,526,319,0,207,0,0,0,0,0,0,0,0,2,1,17,19,2,33,1,23,0,60,2,1,17,19,2,33,1,23,0,60,,,,,,,,,,,0,0,100,0,0,100,,,
235547,699,830,88,657,173,0,44,43,1,742,44,0,25,19,0,613,44,0,19,24,1,129,0,10,7,12,1,59,6,3,2,86,0,3,1,6,3,76,7,2,1,86,0,10,8,13,0,57,6,4,2,86,9,0,91,0,0,100,11,0,89
235671,3365,6574,6574,3145,3429,559,408,2161,3446,0,3145,395,263,1584,903,0,3429,164,145,577,2543,0,1,8,6,12,1,50,7,15,0,37,1,8,6,12,1,50,7,15,0,37,,,,,,,,,,,16,22,62,16,22,62,,,
235699,2260,4320,4320,1901,2419,556,573,1824,1367,0,1901,317,243,1041,300,0,2419,239,330,783,1067,0,1,13,6,15,0,44,6,12,5,60,1,13,6,15,0,44,6,12,5,60,,,,,,,,,,,19,41,40,19,41,40,,,
235750,1779,3338,3338,1534,1804,588,363,1494,893,0,1534,333,99,693,409,0,1804,255,264,801,484,0,1,3,2,13,0,70,7,4,1,71,1,3,2,13,0,70,7,4,1,71,,,,,,,,,,,27,52,21,27,52,21,,,
236018,76,132,132,112,20,0,0,132,0,0,112,0,0,112,0,0,20,0,0,20,0,0,1,5,43,11,2,17,11,11,0,60,1,5,43,11,2,17,11,11,0,60,,,,,,,,,,,0,0,100,0,0,100,,,
236072,2858,7707,7707,2065,5642,1055,858,2189,3605,0,2065,558,237,737,533,0,5642,497,621,1452,3072,0,0,11,11,13,0,38,7,15,4,61,0,11,11,13,0,38,7,15,4,61,,,,,,,,,,,40,26,34,40,26,34,,,
236133,978,1128,786,963,165,159,89,467,71,342,731,157,79,434,61,232,55,2,10,33,10,110,0,6,5,11,1,56,6,1,13,65,0,4,6,13,1,57,7,2,11,66,0,10,4,9,1,53,5,1,18,64,4,16,80,5,21,74,3,4,94
236188,4136,7378,7378,3701,3677,1231,473,3035,2639,0,3701,601,158,1307,1635,0,3677,630,315,1728,1004,0,1,7,4,12,1,55,10,9,1,55,1,7,4,12,1,55,10,9,1,55,,,,,,,,,,,27,45,29,27,45,29,,,
236212,1084,1308,1308,1308,0,506,99,703,0,0,1308,506,99,703,0,0,0,0,0,0,0,0,1,1,1,59,1,32,2,1,2,17,1,1,1,59,1,32,2,1,2,17,,,,,,,,,,,0,12,88,0,12,88,,,
236230,2725,3055,2506,2789,266,541,245,1656,64,549,2350,540,242,1554,14,439,156,1,3,102,50,110,1,11,5,16,2,52,10,2,2,65,1,11,5,17,2,50,11,1,2,64,1,10,5,11,1,60,8,3,2,71,1,27,72,1,31,68,3,9,88
236258,1188,2309,2309,954,1355,290,182,912,925,0,954,186,56,404,308,0,1355,104,126,508,617,0,5,3,3,11,0,59,8,9,2,62,5,3,3,11,0,59,8,9,2,62,,,,,,,,,,,31,37,32,31,37,32,,,
236328,1836,2121,1769,1978,143,406,52,1307,4,352,1717,406,52,1259,0,261,52,0,0,48,4,91,0,8,3,11,1,65,8,3,1,60,0,7,3,12,1,65,9,3,1,57,1,13,2,9,0,61,7,6,0,72,0,4,96,0,4,96,0,1,99
236382,1853,4949,4949,1430,3519,586,469,1466,2428,0,1430,358,192,672,208,0,3519,228,277,794,2220,0,1,12,12,16,1,27,6,26,0,32,1,12,12,16,1,27,6,26,0,32,,,,,,,,,,,15,31,54,15,31,54,,,
236452,1518,1848,1534,1358,490,292,301,913,28,314,1308,289,178,826,15,50,226,3,123,87,13,264,1,11,8,20,5,39,12,1,3,56,1,11,8,22,6,37,12,1,2,57,1,10,8,12,2,49,9,4,5,55,3,49,49,3,49,49,2,49,49
236504,3238,7517,7517,1980,5537,830,410,1218,5059,0,1980,533,180,598,669,0,5537,297,230,620,4390,0,1,10,11,13,1,37,7,19,2,28,1,10,11,13,1,37,7,19,2,28,,,,,,,,,,,19,19,61,19,19,61,,,
236513,3932,8115,8115,3947,4168,1497,925,3003,2690,0,3947,965,421,1823,738,0,4168,532,504,1180,1952,0,0,17,17,11,0,27,8,9,11,58,0,17,17,11,0,27,8,9,11,58,,,,,,,,,,,28,45,26,28,45,26,,,
236577,2855,3514,2682,2831,683,557,218,1820,87,832,2470,556,205,1707,2,361,212,1,13,113,85,471,0,14,7,15,1,44,9,4,7,68,0,15,8,17,1,40,10,4,6,67,0,12,5,7,0,57,5,5,8,73,7,18,75,2,14,84,24,31,45
236595,6172,7954,4439,5871,2083,1004,302,3115,18,3515,4170,987,293,2889,1,1701,269,17,9,226,17,1814,0,20,6,13,1,38,8,2,12,63,0,25,5,14,1,34,9,1,9,61,0,14,6,10,0,44,6,3,16,65,0,50,49,0,51,49,0,50,50
236610,3337,6830,6830,2753,4077,1011,848,3200,1771,0,2753,551,286,1467,449,0,4077,460,562,1733,1322,0,1,14,8,11,0,37,7,9,12,58,1,14,8,11,0,37,7,9,12,58,,,,,,,,,,,41,37,23,41,37,23,,,
