UNITID,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1SWINSP,F1SWRSRP,F1SWPBSP,F1SWACSP,F1SWSTSP,F1SWISPP,F1SWOTEP,F1SWCREP,F1ENDMFT,F1SAFBPC,F1SALRPC,F1EQUITR,F2CORREV,F2TUFEPC,F2GVGCPC,F2PGGCPC,F2INVRPC,F2OTRVPC,F2TUFEFT,F2GVGCFT,F2PGGCFT,F2INVRFT,F2OTRVFT,F2COREXP,F2INSTFT,F2RSRCFT,F2PBSVFT,F2ACSPFT,F2STSVFT,F2INSUFT,F2OTEXFT,F2INSTPC,F2RSRCPC,F2PBSVPC,F2ACSPPC,F2STSVPC,F2INSUPC,F2OTEXPC,F2SWINSP,F2SWRSRP,F2SWPBSP,F2SWACSP,F2SWSTSP,F2SWISPP,F2SWOTEP,F2SWCREP,F2ENDMFT,F2SAFBPC,F2SALRPC,F2EQUITR,F3CORREV,F3TUFEPC,F3GVGCPC,F3PGGCPC,F3INVRPC,F3SSEAPC,F3OTRVPC,F3TUFEFT,F3GVGCFT,F3PGGCFT,F3INVRFT,F3SSEAFT,F3OTRVFT,F3COREXP,F3INSTFT,F3RSRCFT,F3PBSVFT,F3ACSPFT,F3STSVFT,F3INSUFT,F3OTEXFT,F3INSTPC,F3RSRCPC,F3PBSVPC,F3ACSPPC,F3STSVPC,F3INSUPC,F3OTEXPC,F3SWINSP,F3SWRSRP,F3SWPBSP,F3SWACSP,F3SWSTSP,F3SWISPP,F3SWOTEP,F3SWCREP,F3SAFBPC,F3SALRPC,F3EQUITR
101648,17102890,7,75,0,16,1,0,0,3481,39108,0,8525,764,8,259,14245818,6536,0,0,2500,14436,10780,9181,15,0,0,6,33,25,21,75,,,62,62,41,0,46,28622,52,39,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27240721,50,21,16,10,3,18933,7715,5954,3864,1106,25852281,7612,0,0,3066,12233,12748,0,21,0,0,9,34,36,0,63,,,54,38,27,,41,41850,45,38,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24308162,58,1,30,10,2,9960,114,5177,1757,281,21569930,8091,0,0,535,2345,4370,0,53,0,0,3,15,28,0,54,,,22,48,40,,48,17933,49,37,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101709,86005721,21,34,0,26,0,1,19,7645,12395,0,9614,0,370,6935,88363282,15957,21,321,3858,7126,8904,1786,42,0,1,10,19,23,5,50,52,57,48,47,18,0,39,19527,51,38,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101736,52813006,7,32,0,34,0,0,26,1682,7499,21,7944,15,117,6144,37507507,6725,0,711,868,2336,2539,3454,40,0,4,5,14,15,21,66,,59,54,59,37,0,46,941,62,46,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101879,173944947,36,44,0,11,0,3,6,8236,9949,0,2400,0,755,1260,147573180,7717,19,821,1012,2481,2307,4817,40,0,4,5,13,12,25,69,47,49,51,49,56,0,46,8305,60,43,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101897,50920066,2,26,0,28,0,1,43,627,7132,0,7694,56,252,11839,29231763,6467,0,38,1000,2375,2716,3248,41,0,0,6,15,17,20,65,,42,65,38,45,0,44,,58,43,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51909376,33,14,35,4,13,13116,5577,13855,1765,5161,55882353,9746,538,828,3160,4417,9828,13979,23,1,2,7,10,23,33,64,64,34,38,37,30,0,30,7419,38,27,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101994,18097115,4,33,0,62,0,0,1,1769,13455,0,25562,17,17,217,9835026,7899,0,0,1068,2421,4583,6330,35,0,0,5,11,21,28,54,,,50,51,61,10,43,,55,42,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102030,57510237,6,32,0,61,0,0,1,1583,8706,0,16291,8,41,295,44842841,8197,0,0,1098,2275,5196,4228,39,0,0,5,11,25,20,55,,,56,50,26,0,36,85,47,36,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200063480,60,1,13,20,6,19678,406,4137,6708,1829,172721617,16043,44,882,2157,5782,3373,0,57,0,3,8,20,12,0,56,34,23,35,36,53,,49,76961,56,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
